hom_2_9 preservation%1:04:00:: economy%1:04:00::
hom_467_12 absorbing%5:00:00:interesting:00 concentrate%2:31:00::
hom_468_10 bridge%1:06:00:: span%1:23:01::
hom_470_12 buffer_zone%1:15:00:: fender%1:06:03::
hom_473_23 dumbbell%1:18:00:: dummy%1:18:01::
hom_478_17 pay%2:40:02:: pay%2:31:03::
hom_479_11 change%1:04:00:: change%1:06:01::
hom_481_15 steep%1:17:00:: steep%3:00:00::
hom_482_9 fortify%2:35:00:: arm%2:33:00::
hom_483_9 run_out%2:42:00:: exhale%2:29:00::
hom_485_15 connection%1:18:01:: connection%1:24:00::
hom_486_8 relative%1:05:00:: relative%1:18:00::
hom_487_21 dream%1:26:00:: dream%1:09:01::
hom_488_9 bore%2:37:00:: bore%2:35:00::
hom_490_12 floor%1:06:01:: story%1:10:00::
hom_491_4 palm%1:08:00:: palm%1:20:00::
hom_493_7 hash%2:35:00:: hash%1:13:00::
hom_495_11 hold%2:35:00:: control%2:41:01::
hom_496_8 score%1:23:00:: score%1:10:00::
hom_497_12 impression%1:09:00:: impression%1:04:01::
hom_500_20 trigger%2:33:00:: trip%2:36:00::
hom_502_10 basic%1:06:00:: staple%5:00:00:essential:00
hom_503_14 validation%1:04:00:: proof%1:09:00::
hom_504_17 count%1:23:00:: count%1:04:00::
hom_508_9 icky%5:00:00:bad:00 dirty%5:00:00:nasty:00
hom_509_5 joke%1:10:00:: antic%1:04:00::
hom_511_22 addict%1:18:01:: crackpot%1:18:00::
hom_512_11 plant%2:35:06:: establish%2:36:00::
hom_513_16 occur%2:31:00:: come%2:30:01::
hom_514_10 trace%1:10:02:: trace%1:06:01::
hom_516_10 charge%2:40:02:: charge%2:32:00::
hom_520_9 bobby_pin%1:06:00:: grip%1:19:00::
hom_522_17 charge%2:32:00:: file%2:32:02::
hom_524_9 class%1:14:03:: class%1:14:04::
hom_525_6 flare%1:10:00:: flash%1:06:01::
hom_526_10 blended%3:00:00:: blend%2:30:00::
hom_531_12 comb%2:35:01:: comb%2:35:00::
hom_535_6 bounce%2:35:03:: bounce%2:38:01::
hom_538_7 hog%1:05:00:: informer%1:18:00::
hom_540_5 bicycle%1:06:00:: hertz%1:28:00::
hom_542_9 serve%2:33:01:: serve%2:42:03::
hom_543_14 late%5:00:00:dead:01 late%3:00:02::
hom_545_8 baseball_club%1:14:00:: clubhouse%1:06:00::
hom_546_34 augury%1:11:00:: sign%1:10:05::
hom_547_7 downhill%4:02:00:: downhill%1:11:00::
hom_548_21 stimulate%2:39:00:: stimulate%2:37:00::
hom_550_10 mammoth%1:05:00:: gigantic%5:00:01:large:00
hom_552_6 problem%1:26:00:: trouble%1:09:00::
hom_554_14 fashion%1:09:00:: manner%1:07:02::
hom_555_10 spruce_up%2:29:00:: spruce_up%2:30:00::
hom_557_9 slice%1:04:00:: slice%1:17:00::
hom_558_9 abrupt%5:00:00:steep:00 hasty%5:00:02:hurried:00
hom_563_6 fall%1:28:00:: fall%1:11:01::
hom_565_10 bottle%2:35:00:: bottle%2:40:00::
hom_566_14 squarely%4:02:02:: square%1:25:01::
hom_568_8 interest%1:09:00:: interest%1:07:02::
hom_569_1 electricity%1:19:01:: office%1:26:00::
hom_570_8 shrink%2:30:01:: shrink%2:30:11::
hom_571_10 support%1:09:00:: support%1:21:00::
hom_573_7 melt%2:30:10:: vanish%2:30:02::
hom_574_11 connection%1:18:01:: connection%1:24:00::
hom_575_11 charge%2:30:00:: charge%2:40:02::
hom_578_14 flash%1:06:00:: flash%1:06:01::
hom_579_13 base%1:15:01:: base%1:06:04::
hom_581_11 weather%1:19:00:: weather%2:30:00::
hom_584_17 lie%1:10:00:: lie%1:15:00::
hom_586_5 design%1:06:00:: design%1:04:00::
hom_587_7 exercise%1:04:02:: drill%1:04:01::
hom_588_8 steal%2:33:00:: steal%2:38:00::
hom_590_11 pop_music%1:10:00:: dad%1:18:00::
hom_591_10 floating-point_operation%1:22:00:: flop%1:11:00::
hom_593_13 fight%2:33:01:: react%2:41:00::
hom_594_7 incline%2:37:00:: dispose%2:31:00::
hom_595_14 downhill%4:02:00:: downhill%1:11:00::
hom_596_16 bore%1:07:00:: quality%1:07:02::
hom_597_6 stable%1:06:00:: stable%2:41:00::
hom_598_9 cold%3:00:01:: cold%5:00:00:cool:03
hom_599_12 kick%2:38:01:: kick%2:34:00::
hom_600_16 bench%1:14:01:: bench%1:06:03::
hom_602_10 grouper%1:13:00:: grouper%1:05:00::
hom_604_19 thin%3:00:02:: thin%3:00:04::
hom_605_6 melt%2:30:10:: fade%2:30:02::
hom_608_8 steal%2:33:00:: steal%2:38:00::
hom_609_13 clean%3:00:01:: clean%3:00:04::
hom_614_18 steep%1:17:00:: steep%3:00:00::
hom_619_12 drive%2:38:02:: drive%2:41:13::
hom_620_13 astir%5:00:00:awake:00 up%5:00:00:raised:00
hom_621_6 drill%1:04:01:: exercise%1:04:02::
hom_622_4 rash%1:14:00:: rash%1:26:00::
hom_624_11 swell%1:11:00:: swell%1:17:00::
hom_627_1 stand-in%1:18:00:: backup%1:22:00::
hom_628_13 storm%1:19:00:: storm%1:26:00::
hom_629_11 dough%1:13:00:: boodle%1:21:00::
hom_630_8 scale%1:10:00:: scale%1:06:02::
hom_635_18 degree%1:07:01:: academic_degree%1:10:00::
hom_636_10 relief%1:06:00:: relief%1:04:04::
hom_637_11 frank%1:13:00:: blunt%5:00:00:direct:02
hom_638_11 expression%1:10:02:: saying%1:10:00::
hom_640_8 waste%2:38:00:: waste%2:40:00::
hom_642_12 carry%2:41:12:: carry%2:32:02::
hom_644_9 imagination%1:09:01:: vision%1:09:02::
hom_646_15 present%1:21:00:: present%1:28:00::
hom_648_3 high%4:02:02:: high%4:02:00::
hom_650_14 still%4:02:02:: however%4:02:00::
hom_654_11 staff%1:14:00:: faculty%1:09:00::
hom_655_14 afraid%5:00:02:concerned:00 afraid%5:00:00:concerned:00
hom_656_3 defeated%5:00:00:unsuccessful:00 foil%2:35:00::
hom_658_12 suggestion%1:09:00:: suggestion%1:10:01::
hom_659_7 elastic%5:00:00:adaptable:00 flexible%3:00:01::
hom_660_12 check%2:41:14:: check%2:31:01::
hom_662_10 sift%2:35:00:: strain%2:35:02::
hom_663_18 resonate%2:39:00:: resonate%2:31:00::
hom_664_10 hook%1:04:00:: hook_shot%1:04:00::
hom_666_9 angelic%5:00:00:lovable:00 sweet%1:09:00::
hom_667_10 celebrated%5:00:00:known:00 note%2:32:01::
hom_668_10 discard%2:40:00:: cast-off%5:00:00:unwanted:00
hom_670_15 snap%2:35:03:: snap%2:38:01::
hom_671_6 contact%1:11:00:: strike%2:32:00::
hom_672_10 peak%1:15:00:: top%1:06:03::
hom_673_13 fall%2:30:13:: fall%2:30:15::
hom_675_16 point%1:10:02:: period%1:10:00::
hom_676_7 steal%2:33:00:: steal%2:38:00::
hom_677_6 log%1:06:01:: log%1:27:01::
hom_680_17 fertilize%2:30:00:: fertilize%2:30:01::
hom_681_7 degree%1:23:03:: degree%1:07:00::
hom_686_11 decamp%2:38:00:: skim%2:35:02::
hom_687_11 department_of_state%1:14:00:: state%1:03:00::
hom_688_6 press%1:04:00:: atmospheric_pressure%1:19:00::
hom_689_15 nag%2:37:00:: nag%2:31:00::
hom_690_5 goal%1:06:00:: goal%1:04:00::
hom_691_13 jerky%1:13:00:: arrhythmic%5:00:00:unsteady:00
hom_692_7 overboard%4:02:00:: overboard%4:02:01::
hom_693_44 bug%1:05:02:: microbe%1:05:00::
hom_694_10 deep%3:00:02:: deep%5:00:00:profound:00
hom_697_12 snap%1:06:00:: snap%1:04:03::
hom_698_11 hot%5:00:00:unpleasant:00 hot%3:00:01::
hom_699_17 rash%1:26:00:: rash%1:14:00::
hom_703_8 atmospheric_pressure%1:19:00:: press%1:04:00::
hom_704_11 rose%1:07:00:: blush_wine%1:13:00::
hom_705_9 toll%1:21:00:: price%1:07:02::
hom_707_15 bring_around%2:29:01:: cure%2:30:01::
hom_710_24 schoolchild%1:18:00:: student%1:18:00::
hom_711_8 cut%1:04:01:: cut%1:04:00::
hom_713_5 relative%1:05:00:: relative%1:18:00::
hom_714_14 crisp%5:00:00:cold:01 frosty%5:00:02:cold:01
hom_715_9 tease%2:37:00:: wiretap%2:39:00::
hom_716_3 keep%2:40:13:: keep%2:35:10::
hom_717_10 dawn%1:28:00:: dawn%1:11:01::
hom_718_10 tip%1:15:00:: peak%1:15:00::
hom_723_13 work%2:41:00:: function%2:35:00::
hom_726_15 hip%1:08:02:: hip%1:08:00::
hom_727_9 stage%1:10:00:: phase%1:28:00::
hom_728_9 pound%1:06:00:: pound%1:10:00::
hom_729_17 mope%2:38:00:: moped%1:06:00::
hom_732_15 case-hardened%5:00:00:hard:02 tempered%3:00:02::
hom_735_3 beckon%2:32:00:: roll%2:38:10::
hom_736_9 start%1:15:00:: scrape%1:11:00::
hom_737_9 boot%1:06:00:: luggage_compartment%1:06:00::
hom_740_10 blast%2:33:01:: shoot%2:41:00::
hom_741_8 mercantile_establishment%1:06:00:: wall_socket%1:06:00::
hom_742_11 fifth_wheel%1:07:00:: deadwood%1:20:00::
hom_745_14 thread%1:06:00:: train_of_thought%1:09:00::
hom_748_7 prior%1:18:00:: anterior%5:00:00:antecedent:00
hom_749_11 position%1:09:00:: perspective%1:07:00::
hom_751_8 rattle%2:38:00:: rattle%2:39:00::
hom_753_17 underhand%3:00:00:: sneaky%5:00:00:crooked:02
hom_754_7 lie%2:32:00:: lie%2:42:02::
hom_756_16 draw%2:36:02:: draw%2:36:00::
hom_758_11 chicken%1:13:00:: chicken%1:05:01::
hom_759_7 assume%2:38:00:: take%2:40:01::
hom_762_7 point_of_view%1:09:00:: vantage_point%1:15:00::
hom_763_9 bowl%2:35:04:: bowl%2:33:00::
hom_764_14 crane%1:05:00:: crane%1:06:00::
hom_765_11 overall%1:06:02:: overall%1:06:00::
hom_766_13 calf%1:27:00:: calf%1:05:01::
hom_767_13 smart%1:26:00:: smart%5:00:00:automatic:00
hom_768_14 pin%1:06:06:: fall%1:11:02::
hom_769_13 average%5:00:02:normal:01 median%5:00:00:normal:01
hom_770_10 trip%1:04:00:: stumble%2:38:00::
hom_771_16 weight%1:06:01:: system_of_weights%1:23:00::
hom_774_4 staff%1:14:00:: staff%1:14:01::
hom_775_23 joint%1:08:00:: articulation%1:25:00::
hom_778_12 cool%1:07:01:: aplomb%1:07:00::
hom_779_12 connection%1:18:01:: joining%1:04:00::
hom_780_19 log%1:10:00:: log%1:06:01::
hom_787_33 change%2:30:03:: change%2:30:02::
hom_788_11 racking%5:00:00:painful:00 wrench%2:35:00::
hom_790_13 blow%2:43:00:: blow%2:30:08::
hom_791_18 reduce%2:30:00:: cut%2:36:11::
hom_793_7 fit%2:42:02:: proceed%2:30:00::
hom_796_10 luminosity%1:07:00:: lighter%1:06:00::
hom_799_11 dry%3:00:01:: dry%3:00:06::
hom_800_15 office%1:26:00:: power%1:18:00::
hom_805_9 salvage%2:41:00:: deliver%2:41:03::
hom_806_3 charge%2:40:02:: charge%2:30:03::
hom_807_10 appendix%1:10:00:: appendix%1:08:00::
hom_810_12 fret%1:06:00:: fret%1:06:01::
hom_811_17 marked%3:00:00:: check%2:31:01::
hom_812_8 draw%2:36:02:: draw%2:36:00::
hom_814_12 snip%2:35:00:: cut%2:30:02::
hom_815_6 down%1:08:00:: devour%2:34:01::
hom_817_11 date%1:18:00:: date%1:28:05::
hom_819_15 find%2:40:00:: recover%2:40:00::
hom_820_11 peanut%1:13:00:: peanut%1:20:00::
hom_821_10 number%1:07:00:: figure%1:21:00::
hom_825_13 plow%2:36:00:: turn%2:38:01::
hom_828_18 taut%5:00:00:tense:01 compressed%5:00:00:closed:03
hom_829_17 bar%1:06:07:: barroom%1:06:00::
hom_833_11 cuckoo%1:05:00:: fathead%1:18:00::
hom_834_13 crown%1:06:04:: crown%1:06:00::
hom_835_19 clean%2:35:02:: clean%3:00:01::
hom_836_7 leak%2:32:01:: leak%2:30:04::
hom_838_10 call%2:32:01:: career%1:04:00::
hom_843_15 addict%1:18:01:: nut%2:35:00::
hom_845_9 right%1:08:00:: right_field%1:06:00::
