hom_2_9	saving%1:04:00::	saving%1:04:02::
hom_90_3	chill%2:30:01::	chill%2:30:00::
hom_91_15	root%1:15:00::	root%1:08:00::
hom_93_14	branch%1:06:00::	branch%1:20:00::
hom_96_12	blow%2:29:00::	blow%2:40:02::
hom_99_10	unhinge%2:37:00::	unhinge%2:30:00::
hom_100_20	racket%1:06:00::	racket%1:04:00::
hom_103_7	croak%2:30:00::	croak%2:32:01::
hom_104_17	pick%2:34:00::	pick%2:40:00::
hom_108_10	zest%1:07:01::	zest%1:12:00::
hom_109_10	boring%3:00:00:uninteresting:00	boring%3:00:00:uninteresting:00
hom_110_11	rut%1:25:00::	rut%1:04:00::
hom_112_7	get%2:40:00::	get%2:35:03::
hom_113_11	type%1:06:00::	type%1:09:00::
hom_115_11	cue%1:06:00::	cue%1:10:00::
hom_116_14	potty%1:06:01::	potty%1:06:00::
hom_117_5	grind%1:04:01::	grind%1:04:00::
hom_119_7	alarming%3:00:00::	alarming%3:00:00::
hom_120_12	differentiate%2:31:01::	differentiate%2:30:00::
hom_124_7	see%2:36:00::	see%2:39:00::
hom_125_17	possessive%3:01:00::	possessive%3:00:00:dominant:01
hom_128_16	pitch%1:04:03::	pitch%1:04:00::
hom_130_11	bristle%2:42:00::	bristle%2:38:00::
hom_133_12	dough%1:13:00::	dough%1:21:00::
hom_135_10	ripe%3:00:00::	ripe%3:00:00:mature:02
hom_136_15	drain%1:06:00::	drain%1:04:01::
hom_137_5	integral%3:00:00:intrinsic:00	integral%3:00:00:whole:00
hom_138_15	pitch%1:04:03::	pitch%1:04:00::
hom_140_12	general%1:09:00::	general%1:18:00::
hom_141_17	stable%3:00:00:unchangeable:00	stable%3:00:00:balanced:00
hom_142_17	front%1:18:00::	front%1:06:00::
hom_145_11	shot%1:18:00::	shot%1:04:00::
hom_147_8	average%2:31:00::	average%2:42:00::
hom_148_15	show%1:04:00::	show%1:10:00::
hom_149_9	register%2:41:00::	register%2:41:01::
hom_150_8	contact%1:04:00::	contact%1:04:02::
hom_152_21	material%1:06:00::	material%1:27:00::
hom_153_2	call%2:32:05::	call%2:32:01::
hom_154_9	pawn%1:06:00::	pawn%1:04:00::
hom_156_10	bombshell%1:18:00::	bombshell%1:06:00::
hom_157_8	pipe%1:06:01::	pipe%1:06:00::
hom_159_21	fly%1:05:00::	fly%1:04:00::
hom_160_9	mean%3:00:00:normal:01	mean%3:00:01:stingy:00
hom_163_13	vent%2:30:00::	vent%2:32:00::
hom_164_12	cut%1:04:02::	cut%1:04:01::
hom_165_13	steal%2:40:00::	steal%2:33:00::
hom_169_8	flop%2:38:00::	flop%2:38:01::
hom_170_23	stage%1:26:00::	stage%1:06:00::
hom_172_10	vein%1:17:00::	vein%1:10:00::
hom_173_8	tender%1:18:00::	tender%1:06:02::
hom_174_17	mail%1:06:00::	mail%1:10:01::
hom_175_8	blast%1:11:00::	blast%1:04:00::
hom_177_8	sweep%2:35:00::	sweep%2:35:01::
hom_178_15	click%2:39:00::	click%2:32:01::
hom_179_10	focus%1:09:00::	focus%1:15:00::
hom_181_17	net%3:00:00::	net%3:00:00:ultimate:00
hom_183_7	cavity%1:22:00::	cavity%1:25:00::
hom_185_12	problem%1:10:00::	problem%1:09:00::
hom_186_13	bone%1:08:00::	bone%1:27:00::
hom_188_22	chicken%1:11:00::	chicken%1:13:00::
hom_189_11	drive%1:04:03::	drive%1:07:00::
hom_191_11	identity%1:07:00::	identity%1:09:00::
hom_193_14	baseball%1:04:00::	ball%1:04:00::
hom_196_14	point%1:28:00::	point%1:10:01::
hom_197_13	short%1:04:00::	short%1:06:00::
hom_198_3	march%2:35:00::	march%2:38:01::
hom_199_21	recount%2:32:00::	recount%2:32:02::
hom_201_13	hitch%1:04:00::	hitch%1:06:00::
hom_202_12	get%2:40:00::	get%2:37:12::
hom_203_7	pop%1:10:00::	pop%1:11:00::
hom_206_15	rake%1:18:00::	rake%1:06:00::
hom_207_8	combination%1:04:01::	combination%1:14:00::
hom_208_13	arm%1:06:01::	arm%1:08:00::
hom_209_17	lot%1:26:00::	lot%1:15:00::
hom_214_13	fly%1:06:01::	fly%1:04:00::
hom_217_12	domain%1:14:00::	domain%1:14:01::
hom_218_5	stand%1:15:00::	stand%1:06:00::
hom_219_12	dough%1:21:00::	dough%1:13:00::
hom_220_11	root%1:14:00::	root%1:08:00::
hom_221_19	right%4:02:09::	right%4:02:01::
hom_222_7	high%3:00:03::	high%3:00:01::
hom_223_9	still%4:02:04::	still%4:02:02::
hom_224_11	cut%2:30:06::	cut%2:35:00::
hom_225_8	nail%2:35:02::	nail%2:35:00::
hom_226_10	alarm%2:32:00::	alarm%2:37:00::
hom_227_14	get%2:40:00::	get%2:31:10::
hom_228_10	kid%1:18:01::	kid%1:18:00::
hom_229_3	boil%2:30:00::	boil%2:30:02::
hom_231_14	mass%1:14:01::	mass%1:17:00::
hom_233_26	tension%1:26:00::	tension%1:26:02::
hom_234_6	suit%2:42:01::	suit%2:42:02::
hom_235_9	crowning%3:00:00:top:00	crowning%3:00:00:ultimate:00
hom_236_12	mass%1:14:01::	mass%1:17:00::
hom_237_8	buzz%2:38:00::	buzz%2:39:00::
hom_238_3	commit%2:40:00::	commit%2:40:02::
hom_243_11	sweep%2:35:00::	sweep%2:35:01::
hom_245_10	uproot%2:35:00::	uproot%2:36:00::
hom_250_9	slip%1:06:00::	slip%1:04:05::
hom_251_13	multiply%2:31:00::	multiply%2:29:00::
hom_254_16	scratch%2:35:00::	scratch%2:39:00::
hom_255_10	retainer%1:18:00::	retainer%1:06:00::
hom_258_14	gravity%1:19:00::	gravity%1:07:00::
hom_259_13	flake%1:19:00::	flake%1:17:00::
hom_260_12	ghost%1:18:00::	ghost%1:18:01::
hom_261_11	fall%2:38:00::	fall%2:30:15::
hom_262_5	sap%2:35:00::	sap%2:40:00::
hom_266_12	buck%1:05:00::	buck%1:06:01::
hom_267_9	faculty%1:09:00::	faculty%1:14:00::
hom_268_12	see%2:31:13::	see%2:39:00::
hom_273_9	punch%2:35:04::	punch%2:35:00::
hom_274_14	dribble%1:04:00::	dribble%1:08:00::
hom_276_13	log%2:35:00::	log%2:32:00::
hom_277_7	putter%2:35:00::	putter%2:35:01::
hom_278_18	tip%1:21:00::	tip%1:15:00::
hom_281_15	bat%1:04:00::	bat%1:06:00::
hom_282_19	reservation%1:09:00::	reservation%1:09:01::
hom_283_22	overboard%4:02:01::	overboard%4:02:00::
hom_284_14	stock%1:21:00::	stock%1:21:01::
hom_285_19	sentence%1:10:00::	sentence%1:04:00::
hom_286_10	hop%2:38:03::	hop%2:38:04::
hom_288_17	fan%1:06:00::	fan%1:18:01::
hom_289_7	seasoned%3:00:00::	seasoned%3:00:00:experienced:00
hom_293_18	impression%1:09:00::	impression%1:06:00::
hom_294_11	spark%2:43:00::	spark%2:36:00::
hom_296_7	mold%1:06:02::	mold%1:20:00::
hom_298_11	tuning%1:04:00::	tuning%1:04:00::
hom_300_5	hedge%1:10:00::	hedge%1:06:00::
hom_301_14	chick%1:05:00::	chick%1:18:00::
hom_308_35	take%2:30:00::	take%2:40:05::
hom_310_17	peach%1:18:00::	peach%1:13:00::
hom_313_12	expression%1:10:00::	expression%1:10:01::
hom_315_21	maroon%2:30:00::	maroon%2:40:00::
hom_316_14	prone%3:00:00:inclined:02	prone%3:00:00:unerect:00
hom_317_20	dress%2:29:00::	dress%2:29:01::
hom_318_17	blow%1:19:00::	blow%1:11:00::
hom_319_13	plaque%1:08:00::	plaque%1:06:00::
hom_320_7	scratch%1:07:00::	scratch%1:13:00::
hom_323_11	shallow%3:00:00:superficial:00	shallow%3:00:01::
hom_324_11	fluke%1:05:01::	fluke%1:06:01::
hom_325_12	account%1:10:05::	account%1:26:00::
hom_327_13	square%3:00:00:paid:00	square%3:00:00::
hom_328_14	peep%2:39:00::	peep%2:32:00::
hom_330_8	tie%1:06:01::	tie%1:06:00::
hom_334_10	gas%1:06:00::	gas%1:27:03::
hom_338_9	take%2:40:01::	take%2:34:00::
hom_339_17	keep%2:40:00::	keep%2:42:03::
hom_341_10	arrangement%1:14:00::	arrangement%1:10:00::
hom_342_14	alive%3:00:00:lively:00	alive%3:00:00:aware:00
hom_344_5	stuff%1:06:00::	stuff%1:07:00::
hom_345_10	jam%1:13:00::	jam%1:14:00::
hom_348_19	accident%1:11:00::	accident%1:11:01::
hom_349_7	window%1:06:00::	window%1:06:01::
hom_350_11	plane%1:06:00::	plane%1:06:01::
hom_354_3	submerge%2:30:02::	submerge%2:38:00::
hom_355_15	stock%1:21:01::	stock%1:21:02::
hom_356_8	stripe%1:10:00::	stripe%1:07:00::
hom_357_7	suck%2:34:04::	suck%2:43:00::
hom_358_8	stir%2:38:01::	stir%2:39:00::
hom_359_8	state%2:32:00::	state%2:32:02::
hom_360_10	spark%2:43:00::	spark%2:36:00::
hom_361_7	dead%3:00:00:tired:00	dead%3:00:01::
hom_362_11	false%3:00:00:artificial:00	false%3:00:00:dishonest:00
hom_363_15	heel%1:06:00::	heel%1:13:00::
hom_366_14	prune%2:35:00::	prune%2:30:00::
hom_367_12	terminal%3:01:01::	terminal%3:01:00::
hom_369_11	grilled%3:00:02:cooked:00	grilled%3:00:01:cooked:00
hom_371_6	taper%2:30:00::	taper%2:30:02::
hom_373_21	rough%3:00:00:inexact:00	rough%3:00:00:unrefined:01
hom_374_11	tip%1:15:00::	tip%1:10:00::
hom_375_11	score%1:04:00::	score%1:23:00::
hom_378_12	funny%3:00:00:humorous:00	funny%3:00:00:ill:01
hom_380_20	step%1:06:00::	step%1:04:00::
hom_381_10	drive%1:04:03::	drive%1:04:00::
hom_382_8	beef%1:13:00::	beef%1:05:00::
hom_383_10	song%1:10:00::	song%1:04:00::
hom_386_9	arrange%2:29:00::	arrange%2:35:00::
hom_389_10	cut%1:04:00::	cut%1:04:02::
hom_390_13	date%1:13:00::	date%1:28:05::
hom_391_10	longer%4:02:00::	longer%4:02:00::
hom_392_5	bang%1:12:00::	bang%1:11:01::
hom_393_10	blow%2:40:02::	blow%2:43:00::
hom_394_10	load%2:35:10::	load%2:35:01::
hom_395_8	take%2:31:09::	take%2:40:05::
hom_396_18	let%2:40:00::	let%2:30:01::
hom_397_13	august%1:28:00::	august%1:28:00::
hom_399_13	draw%1:06:01::	draw%1:11:00::
hom_400_9	fly%1:05:00::	fly%1:04:00::
hom_401_13	add%2:30:00::	add%2:31:00::
hom_402_14	stink%2:42:00::	stink%2:39:00::
hom_405_12	mint%1:13:00::	mint%1:20:00::
hom_406_6	element%1:27:00::	element%1:27:01::
hom_408_11	pass%2:40:00::	pass%2:30:00::
hom_409_10	exhaust%2:29:00::	exhaust%2:30:00::
hom_411_8	align%2:30:01::	align%2:30:00::
hom_412_30	change%1:04:00::	change%1:11:00::
hom_414_13	contain%2:41:00::	contain%2:42:13::
hom_417_14	quarter%1:15:00::	quarter%1:21:00::
hom_418_9	downhill%4:02:00::	downhill%4:02:01::
hom_421_16	dirt%1:27:01::	dirt%1:27:02::
hom_422_20	miss%2:32:00::	miss%2:35:00::
hom_423_12	deliverer%1:18:02::	deliverer%1:18:00::
hom_424_16	barking_frog%1:05:00::	knit%2:35:00::
hom_426_7	book%1:10:00::	book%1:06:00::
hom_428_10	pan%2:35:00::	pan%2:38:00::
hom_429_8	pointless%3:00:00:worthless:00	pointless%3:00:00::
hom_430_16	slip%2:38:00::	slip%2:30:00::
hom_431_15	landslide%1:11:00::	landslide%1:11:01::
hom_432_20	deal%1:11:00::	deal%1:14:00::
hom_434_13	clerical%3:01:00::	clerical%3:01:01::
hom_437_6	suspended%3:00:01:supported:00	suspended%3:00:01:supported:00
hom_440_9	ground%1:17:00::	ground%1:17:01::
hom_441_9	faculty%1:14:00::	faculty%1:09:00::
hom_443_10	potential%1:19:00::	potential%1:26:00::
hom_447_29	snap%2:32:01::	snap%2:39:00::
hom_449_17	calf%1:05:00::	calf%1:05:01::
hom_451_17	flag%1:10:00::	flag%1:06:00::
hom_452_8	ruin%1:26:00::	ruin%1:11:01::
hom_454_11	cabinet%1:14:00::	cabinet%1:06:00::
hom_457_12	crow%2:32:02::	crow%2:32:01::
hom_463_8	pine%2:37:00::	pine%2:37:00::
hom_464_10	iron%2:35:00::	iron%2:35:00::
hom_467_12	riveting%3:00:00:interesting:00	riveting%3:00:00:interesting:00
hom_468_10	span%1:06:00::	span%1:28:00::
hom_470_12	buffer%1:06:02::	buffer%1:06:03::
hom_473_23	dummy%1:18:00::	dummy%1:06:00::
hom_478_17	pay%2:40:00::	pay%2:40:13::
hom_479_11	change%1:04:00::	change%1:11:00::
hom_481_15	steep%3:00:00:immoderate:00	steep%3:00:00:high:01
hom_482_9	fortify%2:33:00::	fortify%2:35:00::
hom_483_9	expire%2:30:00::	expire%2:42:00::
hom_485_15	most%4:02:00::	connection%1:18:01::
hom_486_8	feminise%2:30:01::	relative%3:00:00::
hom_487_21	dream%1:09:01::	dream%1:09:02::
hom_488_9	bore%2:37:00::	bore%2:35:00::
hom_490_12	story%1:06:00::	story%1:10:00::
hom_491_4	palm%1:23:00::	palm%1:08:00::
hom_493_7	hash%2:35:00::	hash%2:35:00::
hom_495_11	hold%2:35:00::	hold%2:35:02::
hom_496_8	score%1:10:00::	score%1:04:00::
hom_497_12	impression%1:25:00::	impression%1:06:00::
hom_500_20	trigger%2:33:00::	trigger%2:36:00::
hom_502_10	staple%3:00:00:essential:00	staple%3:00:00:essential:00
hom_503_14	proof%1:23:00::	proof%1:10:00::
hom_504_17	count%1:04:00::	count%1:18:00::
hom_508_9	lousy%3:00:00:bad:00	lousy%3:00:00:dirty:01
hom_509_5	joke%1:04:00::	joke%1:04:01::
hom_511_22	nut%1:18:01::	nut%1:06:00::
hom_512_11	plant%2:35:00::	plant%2:35:06::
hom_513_16	come%2:30:01::	come%2:38:00::
hom_514_10	trace%1:06:01::	trace%1:06:00::
hom_516_10	charge%2:40:04::	charge%2:30:00::
hom_520_9	grip%1:04:00::	grip%1:07:00::
hom_522_17	file%2:32:01::	file%2:32:00::
hom_524_9	class%1:14:04::	class%1:14:03::
hom_525_6	flash%1:06:00::	flash%1:11:00::
hom_526_10	blended%3:00:00::	blended%3:00:00::
hom_531_12	comb%2:29:00::	comb%2:35:01::
hom_535_6	bounce%2:38:00::	bounce%2:35:03::
hom_538_7	squealer%1:18:00::	squealer%1:05:00::
hom_540_5	cycle%1:06:00::	cycle%1:11:02::
hom_542_9	serve%2:41:01::	serve%2:33:01::
hom_543_14	late%3:00:00:dead:01	late%3:00:01::
hom_545_8	club%1:06:02::	club%1:14:00::
hom_546_34	sign%1:15:00::	sign%1:10:00::
hom_547_7	downhill%4:02:00::	downhill%4:02:01::
hom_548_21	stir%2:39:00::	stir%2:38:01::
hom_550_10	mammoth%3:00:01:large:00	mammoth%3:00:01:large:00
hom_552_6	problem%1:10:00::	problem%1:09:00::
hom_554_14	fashion%1:04:00::	fashion%1:09:00::
hom_555_10	spruce%2:30:00::	spruce%2:29:00::
hom_557_9	slice%1:04:00::	slice%1:13:00::
hom_558_9	precipitous%3:00:00:steep:00	precipitous%3:00:00:hurried:00
hom_563_6	fall%1:28:00::	fall%1:28:01::
hom_565_10	bottle%2:35:00::	bottle%2:40:00::
hom_566_14	square%4:02:00::	square%4:02:02::
hom_568_8	interest%1:21:03::	interest%1:07:01::
hom_569_1	power%1:19:00::	power%1:18:01::
hom_570_8	shrink%2:38:00::	shrink%2:30:02::
hom_571_10	support%1:04:00::	support%1:21:00::
hom_573_7	disappear%2:30:00::	disappear%2:39:00::
hom_574_11	connection%1:24:00::	connection%1:18:01::
hom_575_11	charge%2:40:05::	charge%2:30:00::
hom_578_14	flash%1:06:00::	flash%1:11:00::
hom_579_13	base%1:06:04::	base%1:06:02::
hom_581_11	weather%1:19:00::	weather%1:19:00::
hom_582_9	buffalo%2:37:00::	buffalo%2:37:00::
hom_584_17	lie%1:10:00::	lie%1:15:00::
hom_586_5	design%1:06:00::	design%1:06:01::
hom_587_7	drill%1:04:00::	drill%1:06:00::
hom_588_8	steal%2:40:00::	steal%2:33:00::
hom_590_11	pop%1:18:00::	pop%1:10:00::
hom_591_10	flop%1:04:00::	flop%1:11:00::
hom_593_13	oppose%2:33:01::	oppose%2:32:00::
hom_594_7	inclined%3:00:01::	inclined%3:00:02::
hom_595_14	downhill%4:02:00::	downhill%4:02:01::
hom_596_16	caliber%1:07:01::	caliber%1:07:00::
hom_597_6	stable%3:00:00:sound:00	stable%3:00:00:unreactive:00
hom_598_9	cold%3:00:00:unloving:00	cold%3:00:01::
hom_599_12	kick%2:35:01::	kick%2:35:00::
hom_600_16	bench%1:14:00::	bench%1:14:01::
hom_602_10	grouper%1:13:00::	grouper%1:05:00::
hom_604_19	thin%3:00:03::	thin%3:00:02::
hom_605_6	melt%2:30:04::	melt%2:30:05::
hom_608_8	steal%2:40:00::	steal%2:33:00::
hom_609_13	clean%3:00:01::	clean%3:00:02::
hom_614_18	steep%1:17:00::	steep%1:17:00::
hom_619_12	drive%2:38:02::	drive%2:38:01::
hom_621_6	drill%1:04:00::	drill%1:06:00::
hom_622_4	rash%1:26:00::	rash%1:14:00::
hom_624_11	swell%1:18:00::	swell%1:11:00::
hom_627_1	backup%1:18:00::	backup%1:06:00::
hom_628_13	storm%1:19:00::	storm%1:04:00::
hom_629_11	dough%1:13:00::	dough%1:21:00::
hom_630_8	scale%1:17:00::	scale%1:06:00::
hom_635_18	degree%1:10:00::	degree%1:26:01::
hom_636_10	relief%1:06:00::	relief%1:26:00::
hom_637_11	frank%3:00:00:obvious:00	frank%3:00:00:direct:02
hom_638_11	expression%1:10:00::	expression%1:10:01::
hom_640_8	waste%2:38:00::	waste%2:40:00::
hom_642_12	carry%2:35:02::	carry%2:35:01::
hom_644_9	vision%1:09:04::	vision%1:09:03::
hom_646_15	present%1:28:00::	present%1:21:00::
hom_648_3	high%3:00:02::	high%3:00:01::
hom_650_14	still%4:02:04::	still%4:02:00::
hom_654_11	faculty%1:09:00::	faculty%1:14:00::
hom_655_14	afraid%3:00:02:concerned:00	afraid%3:00:00::
hom_656_3	foiled%3:00:00:unsuccessful:00	foiled%3:00:00:unsuccessful:00
hom_658_12	suggestion%1:04:02::	suggestion%1:09:00::
hom_659_7	flexible%3:00:01::	flexible%3:00:00:adaptable:00
hom_660_12	check%2:33:06::	check%2:31:02::
hom_662_10	strain%2:35:01::	strain%2:35:10::
hom_663_18	resonate%2:39:00::	resonate%2:31:00::
hom_664_10	hook%1:06:00::	hook%1:04:00::
hom_666_9	sweet%3:00:02::	sweet%3:00:01:pleasing:00
hom_667_10	noted%3:00:00:known:00	noted%3:00:00:noticeable:00
hom_668_10	discard%2:40:00::	discard%2:40:00::
hom_670_15	snap%2:32:01::	snap%2:35:03::
hom_671_6	striking%3:00:00:impressive:00	striking%3:00:00:conspicuous:00
hom_672_10	top%1:06:00::	top%1:15:00::
hom_673_13	fell%2:35:00::	fell%2:35:02::
hom_675_16	point%1:06:00::	point%1:15:00::
hom_676_7	steal%2:40:00::	steal%2:33:00::
hom_677_6	log%1:27:01::	log%1:06:01::
hom_680_17	fertilize%2:30:01::	fertilize%2:30:00::
hom_681_7	degree%1:09:00::	degree%1:07:00::
hom_686_11	skip%2:38:02::	skip%2:38:03::
hom_687_11	state%1:03:00::	state%1:26:01::
hom_688_6	pressure%1:19:00::	pressure%1:04:00::
hom_689_15	nag%2:31:00::	nag%2:37:00::
hom_690_5	goal%1:09:00::	goal%1:04:00::
hom_691_13	jerky%1:13:00::	jerky%1:13:00::
hom_692_7	overboard%4:02:01::	overboard%4:02:00::
hom_693_44	bug%1:05:01::	bug%1:05:02::
hom_694_10	deep%3:00:00:low:03	deep%3:00:02::
hom_697_12	snap%1:04:00::	snap%1:06:00::
hom_698_11	hot%3:00:00:unpleasant:00	hot%3:00:02::
hom_699_17	rash%3:00:00:imprudent:00	rash%3:00:00:bold:00
hom_703_8	pressure%1:19:00::	pressure%1:26:01::
hom_704_11	rose%1:07:00::	rose%1:20:00::
hom_705_9	toll%1:21:00::	toll%1:07:01::
hom_707_15	cure%2:30:00::	cure%2:29:00::
hom_710_24	pupil%1:18:00::	pupil%1:18:01::
hom_711_8	cutting%1:04:00::	cutting%1:04:01::
hom_713_5	relative%3:00:00::	feminise%2:30:01::
hom_714_14	frosty%3:00:01:cold:01	frosty%3:00:00:cold:02
hom_715_9	bug%2:39:00::	bug%2:37:00::
hom_716_3	keep%2:41:05::	keep%2:40:00::
hom_717_10	dawn%1:28:00::	dawn%1:11:01::
hom_718_10	tip%1:21:00::	tip%1:15:00::
hom_723_13	work%2:29:00::	work%2:41:02::
hom_726_15	hip%1:08:02::	hip%1:08:01::
hom_727_9	stage%1:06:00::	stage%1:10:00::
hom_728_9	pound%1:06:00::	pound%1:23:09::
hom_729_17	mop%2:29:00::	mop%2:35:01::
hom_732_15	hardened%3:00:05:hard:02	hardened%3:00:02:hard:01
hom_735_3	wave%2:29:00::	wave%2:32:00::
hom_736_9	scratch%1:11:00::	scratch%1:13:00::
hom_737_9	boot%1:06:00::	boot%1:06:03::
hom_740_10	shoot%2:33:01::	shoot%2:33:00::
hom_741_8	outlet%1:06:02::	outlet%1:06:01::
hom_742_11	fifth_wheel%1:06:00::	fifth_wheel%1:06:00::
hom_745_14	thread%1:06:00::	thread%1:09:00::
hom_748_7	delegacy%1:04:00::	delegacy%1:04:00::
hom_749_11	perspective%1:07:00::	perspective%1:09:00::
hom_751_8	rattle%2:38:00::	rattle%2:39:00::
hom_753_17	underhanded%3:00:00::	underhanded%3:00:00:crooked:02
hom_754_7	lie%2:38:00::	lie%2:35:00::
hom_756_16	draw%2:36:00::	draw%2:38:00::
hom_758_11	chicken%1:13:00::	chicken%1:05:01::
hom_759_7	take%2:40:05::	take%2:30:00::
hom_762_7	viewpoint%1:15:00::	viewpoint%1:09:00::
hom_763_9	bowl%2:38:00::	bowl%2:33:00::
hom_764_14	crane%1:05:00::	crane%1:06:00::
hom_765_11	overall%3:00:00:gross:00	overall%3:00:00:general:00
hom_766_13	calf%1:05:00::	calf%1:05:01::
hom_767_13	smart%3:00:00::	smart%3:00:00:forward:02
hom_768_14	pin%1:06:04::	pin%1:06:00::
hom_769_13	average%3:00:02:normal:01	average%3:00:01:normal:01
hom_770_10	trip%1:04:00::	trip%1:26:00::
hom_771_16	weight%1:06:00::	weight%1:06:01::
hom_774_4	staff%1:06:00::	staff%1:14:01::
hom_775_23	joint%1:08:00::	joint%1:06:01::
hom_778_12	cool%1:07:01::	cool%1:07:02::
hom_779_12	connection%1:24:00::	connection%1:18:01::
hom_780_19	log%1:27:01::	log%1:06:01::
hom_785_23	clam%2:35:00::	clam%2:35:00::
hom_787_33	change%2:30:00::	change%2:30:01::
hom_788_11	wrenching%3:00:00:painful:00	wrenching%3:00:00:painful:00
hom_790_13	bunny%1:05:00::	blow%2:43:00::
hom_791_18	cut%2:30:06::	cut%2:35:00::
hom_793_7	go%2:30:00::	go%2:38:00::
hom_796_10	light%3:00:06::	light%3:00:01::
hom_799_11	dry%3:00:00:humorous:00	dry%3:00:00:unstimulating:00
hom_800_15	power%1:26:00::	power%1:19:00::
hom_805_9	save%2:41:01::	save%2:41:02::
hom_806_3	charge%2:31:10::	charge%2:40:03::
hom_807_10	appendix%1:08:00::	appendix%1:10:00::
hom_810_12	fret%1:06:00::	fret%1:26:00::
hom_811_17	marked%3:00:00::	marked%3:00:00:noticeable:00
hom_812_8	draw%2:36:00::	draw%2:34:01::
hom_814_12	prune%2:35:00::	prune%2:30:00::
hom_817_11	date%1:18:00::	date%1:28:05::
hom_819_15	find%2:32:01::	find%2:40:01::
hom_820_11	peanut%1:13:00::	peanut%1:20:02::
hom_821_10	figure%1:08:00::	figure%1:10:01::
hom_825_13	turn%2:36:00::	turn%2:38:00::
hom_828_18	tight%3:00:00:intoxicated:00	tight%3:00:00:difficult:00
hom_829_17	bar%1:04:00::	bar%1:06:04::
hom_833_11	cuckoo%1:05:00::	cuckoo%1:18:00::
hom_834_13	crown%1:06:02::	crown%1:06:00::
hom_835_19	clean%3:00:01::	clean%3:00:04::
hom_836_7	leak%2:32:01::	leak%2:30:04::
hom_838_10	calling%1:04:00::	calling%1:04:00::
hom_843_15	nut%1:18:01::	nut%1:06:00::
hom_845_9	right%1:07:00::	right%1:08:00::
hom_847_26	drop%2:29:01::	drop%2:38:01::
hom_848_14	plate%1:06:09::	plate%1:06:00::
hom_851_8	sweep%2:35:00::	sweep%2:35:01::
hom_852_12	touch%1:04:00::	touch%1:11:00::
hom_854_10	run%2:38:00::	run%2:38:05::
hom_855_5	change%1:04:00::	change%1:11:00::
hom_857_15	shot%1:18:00::	shot%1:04:00::
