hom_2_9 saving%1:04:02:: saving%1:04:01::
hom_358_8 stirring%1:04:00:: stirring%5:00:00:stimulating:00
hom_359_8 stated%5:00:00:explicit:00 stated%5:00:00:explicit:00
hom_360_10 spark%1:23:00:: spark%1:19:00::
hom_361_7 dead%3:00:01:: dead%5:00:00:insensitive:01
hom_362_11 false%3:00:00:: false%5:00:00:inharmonious:00
hom_363_15 heel%1:06:00:: heel%1:13:00::
hom_364_14 pony_up%2:40:00:: pony%1:10:00::
hom_366_14 prune%2:35:00:: prune%1:13:00::
hom_367_12 terminal%1:06:01:: terminal%1:06:02::
hom_369_11 grilled%5:00:02:cooked:00 grilled%5:00:02:cooked:00
hom_371_6 tapered%5:00:00:narrow:00 tapered%5:00:00:narrow:00
hom_373_21 rough%2:36:01:: rough%1:15:00::
hom_374_11 tip%1:25:00:: tip%2:30:04::
hom_375_11 score%1:23:00:: score%1:26:00::
hom_378_12 funny%5:00:00:strange:00 funny%1:10:00::
hom_380_20 steps%1:06:00:: steps%1:17:00::
hom_381_10 drive%2:38:02:: drive%1:04:04::
hom_382_8 beef%1:13:00:: beef%2:32:00::
hom_383_10 for_a_song%4:02:00:: song%1:10:00::
hom_386_9 arranged%3:00:00:: arranged%3:00:00::
hom_389_10 cut%2:35:08:: cut%1:10:00::
hom_390_13 date%1:18:00:: date%1:28:05::
hom_391_10 longer%4:02:00:: longer%1:18:00::
hom_392_5 big_bang%1:11:00:: bang%1:04:00::
hom_393_10 blowing%1:22:00:: blowing%1:22:00::
hom_394_10 loaded%5:00:00:prejudiced:00 loaded%5:00:00:intoxicated:00
hom_395_8 take_for%2:31:00:: take%2:30:00::
hom_396_18 let%2:32:02:: let%1:04:00::
hom_397_13 august%1:28:00:: august%5:00:00:honorable:00
hom_399_13 draw%2:42:00:: draw%1:17:00::
hom_400_9 fly%1:05:00:: fly%2:38:00::
hom_401_13 add%2:30:00:: add%2:32:01::
hom_402_14 stink%1:09:00:: stink%2:42:00::
hom_405_12 mint%1:20:00:: mint%5:00:00:perfect:00
hom_406_6 element%1:27:00:: element%1:26:00::
hom_408_11 pass%1:17:00:: pass%1:28:00::
hom_409_10 exhausted%5:00:00:tired:00 exhausted%5:00:00:drained:00
hom_411_8 align%2:30:01:: align%2:30:00::
hom_412_30 change%2:30:01:: change%1:11:00::
hom_414_13 contain%2:41:00:: contain%2:33:00::
hom_417_14 quarter%1:23:04:: quarter%1:18:00::
hom_418_9 downhill%4:02:00:: downhill%1:17:00::
hom_421_16 dirt%1:27:01:: dirt%1:10:00::
hom_422_20 missing%5:00:00:lost:01 missing%5:00:00:nonexistent:00
hom_423_12 deliverer%1:18:03:: deliverer%1:18:02::
hom_424_16 knitting%1:06:00:: knitting%1:06:00::
hom_426_7 book%1:10:00:: book%1:10:04::
hom_428_10 pan_out%2:41:00:: pan_out%2:35:00::
hom_429_8 pointless%5:00:00:worthless:00 pointless%3:00:00::
hom_430_16 slipping%5:00:00:slippery:00 slipping%5:00:00:slippery:00
hom_431_15 landslide%1:11:01:: landslide%1:11:00::
hom_432_20 deal%1:14:00:: deal%1:23:00::
hom_434_13 clerical%3:01:00:: clerical%5:00:00:white-collar:00
hom_437_6 suspended%5:00:01:supported:00 suspended%5:00:01:supported:00
hom_440_9 ground%1:17:01:: ground%1:17:00::
hom_441_9 faculty%1:09:00:: faculty%1:14:00::
hom_443_10 potential%5:00:00:prospective:00 potential%1:19:00::
hom_447_29 snap%2:37:00:: snap%2:35:01::
hom_449_17 calf%1:05:00:: calf%1:08:00::
hom_451_17 flag%1:10:00:: flag%1:20:00::
hom_452_8 ruin%1:11:01:: ruin%2:35:00::
hom_454_11 cabinet%1:06:02:: cabinet%1:14:00::
hom_457_12 crow%2:32:00:: crow%2:32:02::
hom_463_8 pine_away%2:30:00:: pine%1:20:00::
hom_464_10 ironed%3:00:00:: ironed%3:00:00::
hom_467_12 riveting%5:00:00:interesting:00 riveting%5:00:00:interesting:00
hom_468_10 span%1:06:00:: span%1:28:00::
hom_470_12 buffer_zone%1:15:00:: buffer%1:15:00::
hom_473_23 dummy%1:06:00:: dummy%1:18:01::
hom_478_17 pay%2:40:00:: pay%1:21:01::
hom_479_11 change%1:11:00:: change%2:30:00::
hom_481_15 steep%2:30:00:: steep%1:17:00::
hom_482_9 fortified%5:00:00:protected:00 fortified%5:00:00:strong:00
hom_483_9 expire%2:30:00:: expire%2:42:00::
hom_485_15 connection%1:24:00:: connection%1:06:00::
hom_486_8 relative%1:18:00:: relative%3:00:00::
hom_487_21 dream%1:09:01:: dream%2:36:00::
hom_488_9 bored%5:00:00:tired:00 bored%5:00:00:uninterested:00
hom_490_12 story%1:06:00:: story%1:10:03::
hom_491_4 palm%1:20:00:: palm%1:10:00::
hom_493_7 hash%1:06:00:: hash%1:13:00::
hom_495_11 hold%1:06:00:: hold%2:40:00::
hom_496_8 scores%1:23:00:: scores%1:23:00::
hom_497_12 impression%1:09:00:: impression%1:07:00::
hom_500_20 trigger%2:36:00:: trigger%2:36:00::
hom_502_10 staple%1:27:00:: staple%5:00:00:essential:00
hom_503_14 proof%1:04:00:: proof%1:09:00::
hom_504_17 count_on%2:31:01:: count%1:23:00::
hom_508_9 lousy%5:00:00:bad:00 lousy%5:00:00:nasty:00
hom_509_5 joke%1:10:00:: joke%2:32:00::
hom_511_22 nuts%5:00:00:insane:00 nuts%5:00:00:insane:00
hom_512_11 planted%5:00:00:established:00 planted%3:00:00::
hom_513_16 come%2:38:00:: come%2:38:03::
hom_514_10 trace%1:23:00:: trace%2:35:00::
hom_516_10 charge%1:21:02:: charge%2:40:05::
hom_520_9 grip%1:06:01:: grip%2:35:03::
hom_522_17 file%2:32:02:: file%2:32:01::
hom_524_9 class%1:04:00:: class%2:31:00::
hom_525_6 in_a_flash%4:02:00:: flash%1:11:00::
hom_526_10 blended%3:00:00:: blended%3:00:00::
hom_531_12 combing%1:04:00:: combing%1:04:00::
hom_535_6 bouncing%1:11:00:: bouncing%5:00:00:healthy:00
hom_538_7 squealer%1:18:00:: squealer%1:05:00::
hom_540_5 cycle%1:06:00:: cycle%1:28:00::
hom_542_9 serving%1:13:00:: serving%1:13:00::
hom_543_14 late%3:00:00:: late%3:00:02::
hom_545_8 club%1:14:00:: club%1:06:00::
hom_546_34 sign%1:10:03:: sign%1:26:00::
hom_547_7 downhill%1:17:00:: downhill%4:02:00::
hom_548_21 stir%2:37:01:: stir%2:36:00::
hom_550_10 mammoth%1:05:00:: mammoth%5:00:01:large:00
hom_552_6 problem%1:10:00:: problem%1:09:00::
hom_554_14 fashion%1:07:00:: fashion%1:04:00::
hom_555_10 spruced_up%5:00:00:clothed:00 spruce%2:29:00::
hom_557_9 slice%1:13:00:: slice%2:33:00::
hom_558_9 precipitous%5:00:00:hurried:00 precipitous%5:00:00:steep:00
hom_563_6 fall%2:38:00:: fall%2:30:08::
hom_565_10 bottle%2:40:00:: bottle%2:35:00::
hom_566_14 square%5:00:00:direct:02 square%3:00:04::
hom_568_8 interest%1:21:03:: interest%1:09:00::
hom_569_1 power%1:07:00:: power%1:09:01::
hom_570_8 shrink%2:38:00:: shrink%1:18:00::
hom_571_10 support%1:06:00:: support%2:31:04::
hom_573_7 disappear%2:30:00:: disappear%2:39:00::
hom_574_11 connection%1:24:00:: connection%1:26:00::
hom_575_11 charged%3:00:00:: charged%5:00:00:provocative:00
hom_578_14 flash%1:11:00:: flash%1:09:00::
hom_579_13 base%1:06:04:: base%1:27:01::
hom_581_11 under_the_weather%5:00:00:ill:01 weather%1:19:00::
hom_582_9 buffalo%2:37:00:: buffalo%2:37:00::
hom_584_17 lie%2:42:00:: lie%2:35:00::
hom_586_5 design%1:06:00:: design%1:09:03::
hom_587_7 drill%1:04:00:: drill%1:06:00::
hom_588_8 steal_away%2:38:00:: steal%1:04:00::
hom_590_11 pop%1:18:00:: pop%2:30:03::
hom_591_10 flop%1:04:00:: flop%1:11:00::
hom_593_13 opposed%3:00:00:: opposed%3:00:00::
hom_594_7 inclined%3:00:01:: inclined%3:00:02::
hom_595_14 downhill%1:17:00:: downhill%4:02:00::
hom_596_16 caliber%1:07:00:: caliber%1:07:01::
hom_597_6 stable%1:06:00:: stable%3:00:00::
hom_598_9 cold%3:00:01:: cold%5:00:00:perfect:00
hom_599_12 kicking%1:04:00:: kicking%1:04:01::
hom_600_16 bench%1:14:00:: bench%1:06:00::
hom_602_10 grouper%1:05:00:: grouper%1:13:00::
hom_604_19 thinner%1:27:00:: thinner%1:27:00::
hom_605_6 melting%1:22:00:: melting%5:00:00:unfrozen:00
hom_608_8 steal_away%2:38:00:: steal%1:04:00::
hom_609_13 clean%5:00:00:complete:00 clean%5:00:00:empty:00
hom_614_18 steep%3:00:00:: steep%5:00:00:high:01
hom_619_12 drive%1:04:02:: drive%1:04:04::
hom_620_13 up%3:00:00:: up%2:30:00::
hom_621_6 drill%1:06:00:: drill%1:04:00::
hom_622_4 rash%1:26:00:: rash%5:00:00:imprudent:00
hom_624_11 swell%2:30:00:: swell%5:00:00:good:01
hom_627_1 backup%1:18:00:: backup%1:10:00::
hom_628_13 storm%1:19:00:: storm%2:43:00::
hom_629_11 dough%1:13:00:: dough%1:21:00::
hom_630_8 scale%1:24:03:: scale%1:05:00::
hom_635_18 degree%1:07:00:: degree%1:23:00::
hom_636_10 relief%1:11:00:: relief%1:04:01::
hom_637_11 frank%5:00:00:direct:02 frank%1:18:00::
hom_638_11 expression%1:10:01:: expression%1:10:00::
hom_640_8 waste%1:27:00:: waste%1:07:00::
hom_642_12 carry%1:04:00:: carry%2:40:13::
hom_644_9 vision%1:09:04:: vision%1:09:01::
hom_646_15 present%2:40:00:: present%2:32:02::
hom_648_3 high%3:00:01:: high%1:15:00::
hom_650_14 still%1:06:00:: still%2:30:00::
hom_654_11 faculty%1:09:00:: faculty%1:14:00::
hom_655_14 afraid%3:00:00:: afraid%5:00:00:concerned:00
hom_656_3 foiled%5:00:00:unsuccessful:00 foiled%5:00:00:unsuccessful:00
hom_658_12 suggestion%1:10:00:: suggestion%1:09:00::
hom_659_7 flexible%5:00:00:adaptable:00 flexible%3:00:02::
hom_660_12 checked%5:00:00:patterned:00 checked%5:00:00:patterned:00
hom_662_10 strained%5:00:00:awkward:00 strained%5:00:00:tense:03
hom_663_18 resonate%2:39:00:: resonate%2:31:00::
hom_664_10 hooks%1:08:00:: hooks%1:08:00::
hom_666_9 sweet%4:02:00:: sweet%1:13:01::
hom_667_10 noted%5:00:00:known:00 noted%5:00:00:noticeable:00
hom_668_10 discarded%5:00:00:unwanted:00 discarded%5:00:00:unwanted:00
hom_670_15 snap%2:35:00:: snap%2:35:01::
hom_671_6 striking%5:00:00:conspicuous:00 striking%1:04:00::
hom_672_10 tops%5:00:00:superior:02 tops%5:00:00:superior:02
hom_673_13 fell%2:35:00:: fell%1:27:00::
hom_675_16 point%2:33:02:: point%1:09:00::
hom_676_7 steal_away%2:38:00:: steal%1:04:00::
hom_677_6 log%1:06:01:: log%1:10:01::
hom_680_17 fertilize%2:29:00:: fertilize%2:30:00::
hom_681_7 degree%1:26:01:: degree%1:07:00::
hom_686_11 skip%2:38:02:: skip%2:42:00::
hom_687_11 state%1:03:00:: state%1:14:00::
hom_688_6 pressure%1:19:00:: pressure%1:26:01::
hom_689_15 nag%2:32:00:: nag%2:31:00::
hom_690_5 goal%1:09:00:: goal%1:06:00::
hom_691_13 jerky%5:00:00:unsteady:00 jerky%5:00:00:sudden:00
hom_692_7 overboard%4:02:00:: overboard%4:02:01::
hom_693_44 bug%1:05:01:: bug%1:05:02::
hom_694_10 deep%3:00:01:: deep%5:00:00:intense:00
hom_697_12 snap%1:07:00:: snap%2:37:00::
hom_698_11 hot%3:00:01:: hot%5:00:00:near:00
hom_699_17 rash%1:26:00:: rash%5:00:00:imprudent:00
hom_703_8 pressure%1:19:00:: pressure%2:41:00::
hom_704_11 rose%1:20:00:: rose%5:00:00:chromatic:00
hom_705_9 toll%1:11:00:: toll%1:21:00::
hom_707_15 cured%5:00:00:well:01 cured%5:00:00:processed:00
hom_710_24 pupil%1:18:00:: pupil%1:08:00::
hom_711_8 cutting%5:00:00:unkind:00 cutting%1:04:05::
hom_713_5 relative%1:18:00:: relative%5:00:00:proportionate:00
hom_714_14 frosty%5:00:00:cold:02 frosty%5:00:01:cold:01
hom_715_9 bugged%5:00:00:wired:00 bugged%5:00:00:wired:00
hom_716_3 keep%2:42:00:: keep%1:21:00::
hom_717_10 dawn%1:28:00:: dawn%2:42:01::
hom_718_10 tip%1:21:00:: tip%1:25:00::
hom_723_13 work%2:41:05:: work%2:31:13::
hom_726_15 hip%1:08:02:: hip%1:08:00::
hom_727_9 stage%1:26:00:: stage%1:15:00::
hom_728_9 pound%1:23:09:: pound%2:35:04::
hom_729_17 moped%1:06:00:: moped%1:06:00::
hom_732_15 hardened%3:00:04:: hardened%5:00:00:tough:02
hom_735_3 wave%2:35:00:: wave%2:38:00::
hom_736_9 from_scratch%4:02:00:: scratch%1:15:00::
hom_737_9 to_boot%4:02:00:: boot%1:06:00::
hom_740_10 shoot_for%2:31:00:: shoot%1:20:00::
hom_741_8 outlet%1:06:01:: outlet%1:04:00::
hom_742_11 deadwood%1:20:00:: deadwood%1:07:00::
hom_745_14 threads%1:06:00:: threads%1:06:00::
hom_748_7 prior%1:18:00:: prior%5:00:00:antecedent:00
hom_749_11 perspective%1:09:00:: perspective%1:07:00::
hom_751_8 rattled%5:00:00:discomposed:00 rattled%5:00:00:discomposed:00
hom_753_17 underhanded%5:00:00:crooked:02 underhanded%3:00:00::
hom_754_7 lied%1:10:00:: lied%1:10:00::
hom_756_16 draw%2:38:11:: draw%1:17:00::
hom_758_11 chicken_out%2:41:00:: chicken%1:13:00::
hom_759_7 take%2:30:00:: take_off%2:31:00::
hom_762_7 viewpoint%1:09:00:: viewpoint%1:15:00::
hom_763_9 bowl%2:33:00:: bowl%2:35:04::
hom_764_14 crane%1:06:00:: crane%1:05:00::
hom_765_11 overall%5:00:00:general:00 overall%1:06:00::
hom_766_13 calf%1:05:00:: calf%1:08:00::
hom_767_13 smart%2:39:00:: smart%5:00:00:intelligent:00
hom_768_14 pin%2:35:01:: pin%2:35:03::
hom_769_13 average%2:42:00:: average%5:00:01:normal:01
hom_770_10 trip%2:38:00:: trip%1:04:00::
hom_771_16 weight%1:23:00:: weight%2:35:00::
hom_774_4 staff%1:14:01:: staff%2:33:01::
hom_775_23 joint%1:08:00:: joint%1:06:01::
hom_778_12 cool%3:00:01:: cool%2:30:02::
hom_779_12 connection%1:24:00:: connection%1:09:00::
hom_780_19 log%1:27:01:: log%1:06:01::
hom_785_23 clam%2:35:00:: clam%2:35:00::
hom_787_33 changed%3:00:00:: changed%5:00:00:altered:00
hom_788_11 wrenching%5:00:00:painful:00 wrenching%5:00:00:painful:00
hom_790_13 blow%2:38:00:: blow%2:29:00::
hom_791_18 cutting%1:04:01:: cutting%1:04:05::
hom_793_7 go_out%2:38:00:: go_out%2:41:00::
hom_796_10 light%1:06:00:: light%5:00:00:undemanding:01
hom_799_11 dry%3:00:01:: dry%2:30:01::
hom_800_15 power%1:07:00:: power%1:07:02::
hom_805_9 save%2:40:00:: save%1:04:00::
hom_806_3 charged%3:00:00:: charged%5:00:00:emotional:00
hom_807_10 appendix%1:10:00:: appendix%1:08:00::
hom_810_12 fret%1:06:00:: fret%1:06:01::
hom_811_17 marked%3:00:00:: marked%5:00:00:noticeable:00
hom_812_8 draw%2:40:01:: draw%2:35:03::
hom_814_12 prune%2:35:00:: prune%2:30:00::
