hom_2_9 write%2:32:03:: keep_open%2:40:00::
hom_228_10 kid%2:32:00:: child%1:18:01::
hom_229_3 seethe%2:37:00:: boiling_point%1:07:01::
hom_231_14 multitude%1:14:01:: multitude%1:14:01::
hom_233_26 tension%1:04:00:: tension%1:04:00::
hom_234_6 suit%2:42:02:: befit%2:42:00::
hom_235_9 crown%2:35:00:: crown%2:35:00::
hom_236_12 multitude%1:14:01:: bulk%1:07:00::
hom_237_8 hum%2:42:00:: hum%2:42:00::
hom_238_3 give%2:32:03:: commit%2:40:02::
hom_243_11 sweep%2:33:00:: brush%2:38:00::
hom_245_10 uproot%2:36:00:: uproot%2:35:00::
hom_250_9 slip%2:40:10:: chemise%1:06:01::
hom_251_13 reproduce%2:29:00:: multiply%2:30:00::
hom_254_16 strike%2:35:08:: scrape%2:35:03::
hom_255_10 servant%1:18:00:: servant%1:18:00::
hom_258_14 gravity%1:12:00:: gravity%1:19:00::
hom_259_13 bit%1:17:00:: peel_off%2:35:01::
hom_260_12 ghostwriter%1:18:00:: haunt%2:37:00::
hom_261_11 fall%2:38:03:: hang%2:35:02::
hom_262_5 sap%2:35:00:: fool%1:18:00::
hom_266_12 vaulting_horse%1:06:00:: buck%2:38:00::
hom_267_9 staff%1:14:00:: faculty%1:09:00::
hom_268_12 experience%2:39:01:: see%2:31:03::
hom_273_9 punch%2:35:01:: punch%1:06:00::
hom_274_14 drool%1:08:00:: drip%1:11:00::
hom_276_13 logarithm%1:10:00:: log%2:35:00::
hom_277_7 putter%2:35:01:: potter%2:41:00::
hom_278_18 tiptoe%2:38:00:: gratuity%1:21:00::
hom_281_15 bat%2:35:02:: bat%2:29:00::
hom_282_19 reservation%1:09:01:: booking%1:04:00::
hom_283_22 overboard%4:02:00:: overboard%4:02:00::
hom_284_14 stock_certificate%1:21:00:: store%1:21:00::
hom_285_19 sentence%2:32:00:: prison_term%1:28:00::
hom_286_10 hop%2:38:05:: hop%2:38:01::
hom_288_17 winnow%2:30:00:: sports_fan%1:18:00::
hom_289_7 seasoned%5:00:00:experienced:00 seasoned%5:00:00:experienced:00
hom_293_18 stamp%1:10:00:: impression%1:10:02::
hom_294_11 trip%2:36:00:: sparkle%1:07:01::
hom_296_7 mold%1:20:00:: mold%2:30:00::
hom_298_11 tune%2:30:00:: tune%2:30:01::
hom_300_5 hedge%2:30:00:: hedge%2:35:00::
hom_301_14 dame%1:18:00:: chick%1:05:00::
hom_308_35 take%2:40:08:: learn%2:31:02::
hom_310_17 yellowish_pink%1:07:00:: spill_the_beans%2:32:00::
hom_313_12 saying%1:10:00:: formulation%1:10:00::
hom_315_21 maroon%2:30:00:: maroon%2:40:00::
hom_316_14 prone%5:00:00:unerect:00 prone%5:00:00:unerect:00
hom_317_20 trim%2:36:00:: stuffing%1:13:00::
hom_318_17 blow%2:40:00:: float%2:38:00::
hom_319_13 plaque%1:08:00:: brass%1:06:01::
hom_320_7 strike%2:35:08:: scratch%2:35:00::
hom_323_11 shoal%1:17:01:: shallow%2:30:00::
hom_324_11 good_luck%1:19:00:: fluke%1:05:00::
hom_325_12 explanation%1:10:00:: account%1:21:02::
hom_327_13 hearty%5:00:00:wholesome:00 straight%3:00:04::
hom_328_14 peep%2:39:00:: peep%2:30:00::
hom_330_8 tie%2:33:00:: necktie%1:06:00::
hom_334_10 natural_gas%1:27:00:: flatulence%1:26:00::
hom_338_9 take%2:40:08:: consider%2:31:01::
hom_339_17 keep%2:42:00:: keep%1:06:00::
hom_341_10 placement%1:07:00:: musical_arrangement%1:10:00::
hom_342_14 alert%5:00:00:aware:00 alive%5:00:00:active:05
hom_344_5 thrust%2:38:02:: stuff%1:10:00::
hom_345_10 throng%2:38:00:: jam%2:35:03::
hom_348_19 accident%1:11:00:: accident%1:11:00::
hom_349_7 windowpane%1:06:00:: window%1:06:03::
hom_350_11 plane%2:35:03:: airplane%1:06:00::
hom_354_3 submerge%2:35:00:: submerge%2:35:01::
hom_355_15 broth%1:13:01:: stock%2:40:00::
hom_356_8 stripe%2:35:00:: stripe%1:07:00::
hom_357_7 suck%2:43:00:: suck%2:42:00::
hom_358_8 stirring%5:00:00:moving:01 stir%2:35:04::
hom_359_8 express%2:32:03:: submit%2:32:00::
hom_360_10 trip%2:36:00:: sparkle%1:07:01::
hom_361_7 dead%5:00:00:noncurrent:00 absolutely%4:02:00::
hom_362_11 fake%5:00:00:artificial:00 false%5:00:00:inconstant:00
hom_363_15 list%2:38:00:: list%2:38:00::
hom_364_14 pony%1:05:01:: shot_glass%1:06:00::
hom_366_14 snip%2:35:00:: cut%2:30:02::
hom_367_12 terminal%5:00:00:fatal:00 terminal%1:06:00::
hom_369_11 grill%2:30:00:: grill%2:32:00::
hom_371_6 taper%2:30:02:: tapered%5:00:00:narrow:00
hom_373_21 approximate%5:00:00:inexact:00 rough%3:00:04::
hom_374_11 topple%2:38:01:: tap%2:35:00::
hom_375_11 score%1:26:00:: score%2:32:00::
hom_378_12 funny_story%1:10:00:: curious%5:00:00:strange:00
hom_380_20 step%2:38:00:: step%2:30:01::
hom_381_10 force%2:35:02:: drive%2:32:00::
hom_382_8 gripe%2:32:00:: beef%1:13:00::
hom_383_10 song%1:21:00:: song%1:10:00::
hom_386_9 arranged%5:00:01:organized:02 dress%2:29:04::
hom_389_10 write_out%2:32:00:: trimmed%3:00:00::
hom_390_13 go_steady%2:41:00:: go_steady%2:41:00::
hom_391_10 longer%4:02:00:: long%5:00:00:abundant:00
hom_392_5 spang%2:35:00:: bang%1:11:00::
hom_393_10 waste%2:40:00:: suck%2:42:00::
hom_394_10 load%2:30:12:: besotted%5:00:00:intoxicated:00
hom_395_8 take%2:40:08:: aim%2:33:00::
hom_396_18 permit%2:32:00:: get%2:30:02::
hom_397_13 august%5:00:00:honorable:00 august%5:00:00:noble:02
hom_399_13 draw%2:36:00:: hook%1:04:02::
hom_400_9 fly%1:06:02:: fly%2:38:01::
hom_401_13 total%2:32:00:: add%2:42:00::
hom_402_14 stink%2:42:00:: reek%2:39:00::
hom_405_12 mint%2:36:00:: batch%1:23:00::
hom_406_6 element%1:25:00:: component%1:06:00::
hom_408_11 public_address_system%1:06:00:: dad%1:18:00::
hom_409_10 exhausted%3:00:00:: exhaust%2:29:02::
hom_411_8 align%2:30:01:: align%2:31:00::
hom_412_30 change%2:30:02:: exchange%2:40:00::
hom_414_13 incorporate%2:42:00:: check%2:33:06::
hom_417_14 quarter%1:28:01:: one-fourth%1:23:00::
hom_418_9 downhill%4:02:00:: downhill%4:02:00::
hom_421_16 soil%1:27:01:: crap%1:27:00::
hom_422_20 missing%5:00:00:lost:01 miss%2:42:02::
hom_423_12 deliveryman%1:18:00:: savior%1:18:00::
hom_424_16 pucker%2:35:00:: knit%2:36:01::
hom_426_7 book%1:06:02:: script%1:10:00::
hom_428_10 pan%2:32:00:: pan%2:32:00::
hom_429_8 scoreless%5:00:00:unsuccessful:00 pointless%3:00:00::
hom_430_16 steal%2:38:00:: skid%2:38:00::
hom_431_15 landslide%1:11:00:: landslide%1:11:00::
hom_432_20 share%2:40:00:: hand%1:14:00::
hom_434_13 clerical%5:00:00:white-collar:00 clerical%5:00:00:white-collar:00
hom_437_6 suspend%2:42:00:: suspend%2:35:00::
hom_440_9 reason%1:16:00:: grind%2:36:04::
hom_441_9 staff%1:14:00:: faculty%1:09:00::
hom_443_10 potential%1:26:00:: potential%3:00:00::
hom_447_29 break_down%2:37:00:: tear%2:35:00::
hom_449_17 calf%1:05:01:: calf%1:27:00::
hom_451_17 masthead%1:10:01:: pin%1:06:06::
hom_452_8 ruin%2:30:00:: dilapidation%1:22:00::
hom_454_11 cabinet%1:06:01:: cabinet%1:06:02::
hom_457_12 gloat%2:32:00:: crow%2:32:02::
hom_463_8 ache%2:37:06:: ache%2:37:06::
hom_464_10 iron%2:35:00:: iron%2:35:00::
hom_467_12 rivet%2:31:01:: rivet%2:31:01::
hom_468_10 bridge%1:06:00:: straddle%1:04:00::
hom_470_12 buffer_zone%1:15:00:: cushion%2:35:00::
hom_473_23 dummy%2:36:00:: dummy%5:00:00:artificial:00
hom_478_17 give%2:32:01:: pay%2:40:02::
hom_479_11 change%2:30:00:: variety%1:07:01::
hom_481_15 steep%2:30:00:: steep%2:31:00::
hom_482_9 strengthen%2:30:01:: spike%2:30:00::
hom_483_9 die%2:30:00:: exhale%2:29:00::
hom_485_15 joining%1:04:00:: connection%1:04:01::
hom_486_8 relative%1:18:00:: relative%1:05:00::
hom_487_21 pipe_dream%1:09:00:: dream%1:09:02::
hom_488_9 bore%2:35:00:: bore%2:37:00::
hom_490_12 floor%1:06:01:: history%1:10:00::
hom_493_7 hashish%1:06:00:: hashish%1:06:00::
hom_495_11 keep%2:42:00:: handle%1:06:00::
hom_496_8 mark%1:09:01:: sexual_conquest%1:04:00::
hom_497_12 stamp%1:10:00:: depression%1:25:00::
hom_500_20 trip%2:36:00:: trigger%2:33:00::
hom_502_10 staple%2:35:00:: basic%1:06:00::
hom_503_14 proof%2:36:00:: proof%2:36:00::
hom_504_17 count%2:42:00:: count%2:31:02::
hom_508_9 lousy%5:00:00:dirty:01 icky%5:00:00:bad:00
hom_509_5 joke%2:29:00:: joke%1:10:00::
hom_511_22 testis%1:08:00:: nut%2:35:00::
hom_512_11 plant%2:31:00:: implant%2:35:00::
hom_513_16 occur%2:31:00:: arrive%2:38:00::
hom_514_10 trace%2:38:03:: trace%2:31:00::
hom_516_10 charge%2:30:00:: load%2:35:02::
hom_520_9 handle%1:06:00:: grip%1:07:00::
hom_522_17 file%2:32:00:: charge%2:32:00::
hom_524_9 course%1:04:01:: classify%2:31:00::
hom_525_6 ostentation%1:10:00:: flash%1:06:00::
hom_526_10 blend%2:30:00:: blend%2:42:00::
hom_531_12 comb%2:35:00:: comb%2:29:00::
hom_535_6 bounce%2:35:00:: bounce%2:40:01::
hom_538_7 hog%1:05:00:: informer%1:18:00::
hom_540_5 bicycle%2:38:00:: hertz%1:28:00::
hom_542_9 suffice%2:42:00:: serve%2:33:01::
hom_543_14 recently%4:02:00:: late%3:00:02::
hom_545_8 club%2:41:10:: club%2:41:03::
hom_546_34 sign_of_the_zodiac%1:15:00:: signboard%1:06:00::
hom_547_7 downhill%4:02:00:: downhill%4:02:00::
hom_548_21 stir%1:26:01:: touch%2:37:00::
hom_550_10 mammoth%1:05:00:: mammoth%1:05:00::
hom_552_6 trouble%1:09:00:: problem%1:10:00::
hom_554_14 manner%1:07:02:: fashion%2:36:00::
hom_555_10 spruce_up%2:29:00:: spruce_up%2:29:00::
hom_557_9 slit%2:35:01:: slice%1:21:00::
hom_558_9 hasty%5:00:02:hurried:00 abrupt%5:00:00:steep:00
hom_563_6 fall%2:42:00:: fall%1:28:00::
hom_565_10 bottle%2:35:00:: bottle%2:40:00::
hom_566_14 square%2:42:01:: straight%3:00:04::
hom_568_8 sake%1:07:00:: interest%1:07:02::
hom_569_1 world_power%1:14:00:: power%1:07:00::
hom_570_8 shrivel%2:30:00:: flinch%2:38:00::
hom_571_10 support%2:41:00:: back%2:41:00::
hom_573_7 disappear%2:30:00:: vanish%2:30:02::
hom_574_11 joining%1:04:00:: joining%1:04:00::
hom_575_11 charge%2:30:00:: blame%2:31:00::
hom_578_14 ostentation%1:10:00:: brassy%5:00:00:tasteless:02
hom_579_13 base%5:00:00:ignoble:01 free-base%2:34:00::
hom_581_11 weather%2:30:00:: weather%2:42:00::
hom_582_9 buffalo%2:37:00:: buffalo%2:37:00::
hom_584_17 lie_down%2:38:00:: dwell%2:42:01::
hom_586_5 purpose%1:09:00:: blueprint%1:09:00::
hom_587_7 exercise%1:04:02:: drill%2:31:00::
hom_588_8 steal%2:38:00:: steal%2:40:00::
hom_590_11 pop_music%1:10:00:: pop%1:11:00::
hom_591_10 right%4:02:09:: flop%1:04:00::
hom_593_13 react%2:41:00:: pit%2:33:00::
hom_594_7 tend%2:42:01:: slope%2:38:00::
hom_595_14 downhill%4:02:00:: downhill%4:02:00::
hom_596_16 quality%1:07:02:: bore%1:07:00::
hom_597_6 static%5:00:00:unchangeable:00 stable%1:06:00::
hom_598_9 cold%1:26:00:: coldness%1:07:00::
hom_599_12 kick_back%2:35:00:: complain%2:32:00::
hom_600_16 workbench%1:06:00:: workbench%1:06:00::
hom_602_10 grouper%1:05:00:: grouper%1:05:00::
hom_604_19 thin%3:00:01:: thin%5:00:00:spiritless:00
hom_605_6 thaw%1:22:00:: fade%2:30:02::
hom_608_8 steal%2:38:00:: steal%2:40:00::
hom_609_13 cleanse%2:29:00:: scavenge%2:30:00::
hom_614_18 steep%2:30:00:: exorbitant%5:00:00:immoderate:00
hom_619_12 tug%2:41:00:: drive%2:42:00::
hom_621_6 drill%2:31:03:: exercise%1:04:02::
hom_622_4 rash%5:00:00:imprudent:00 foolhardy%5:00:00:bold:00
hom_624_11 swell%1:11:00:: dandy%1:18:00::
hom_627_1 stand-in%1:18:00:: accompaniment%1:10:00::
hom_628_13 storm%2:33:00:: storm%1:26:00::
hom_629_11 boodle%1:21:00:: boodle%1:21:00::
hom_630_8 scale%2:30:01:: plate%1:06:01::
hom_635_18 degree%1:07:01:: degree%1:07:00::
hom_636_10 stand-in%1:18:00:: relief%1:06:00::
hom_637_11 frank%2:32:00:: postmark%2:35:00::
hom_638_11 saying%1:10:00:: expression%1:04:00::
hom_640_8 waste%2:29:00:: waste%2:30:01::
hom_642_12 carry%2:34:00:: behave%2:41:01::
hom_644_9 vision%1:11:00:: sight%1:09:00::
hom_646_15 stage%2:36:00:: salute%2:32:01::
hom_648_3 high%1:15:00:: senior_high_school%1:14:00::
hom_650_14 still%4:02:01:: hush%2:30:01::
hom_654_11 staff%1:14:00:: staff%1:14:00::
hom_655_14 afraid%5:00:00:concerned:00 afraid%5:00:00:concerned:00
hom_656_3 thwart%2:41:00:: foil%2:35:00::
hom_658_12 trace%1:23:00:: hypnotism%1:04:00::
hom_659_7 flexible%5:00:00:elastic:00 compromising%3:00:00::
hom_660_12 see%2:31:03:: crack%2:30:01::
hom_662_10 sift%2:35:00:: filter%2:35:00::
hom_663_18 resonate%2:39:00:: resonate%2:39:00::
hom_664_10 addict%2:34:00:: bait%1:09:00::
hom_666_9 sweet%1:13:00:: sugared%5:00:00:sugary:00
hom_667_10 notice%2:39:00:: celebrated%5:00:00:known:00
hom_668_10 discard%2:40:00:: cast-off%5:00:00:unwanted:00
hom_670_15 photograph%2:32:00:: tear%2:35:00::
hom_671_6 strike%2:41:00:: fall%2:42:04::
hom_672_10 top%2:30:03:: top%2:35:00::
hom_673_13 hide%1:27:00:: fell%2:35:00::
hom_675_16 point%1:06:00:: sharpen%2:30:08::
hom_676_7 steal%2:38:00:: bargain%1:21:01::
hom_677_6 logarithm%1:10:00:: log%2:35:00::
hom_680_17 inseminate%2:29:00:: fertilize%2:30:01::
hom_681_7 degree%1:07:01:: degree%1:26:01::
hom_686_11 skip%2:38:03:: cut%2:42:00::
hom_687_11 express%2:32:03:: state%1:14:00::
hom_688_6 coerce%2:41:00:: coerce%2:41:00::
hom_689_15 nag%2:31:00:: nag%2:31:00::
hom_690_5 goal%1:04:00:: goal%1:09:00::
hom_691_13 jerky%1:13:00:: anserine%5:00:00:stupid:00
hom_692_7 overboard%4:02:00:: overboard%4:02:00::
hom_693_44 bug%1:26:00:: wiretap%2:39:00::
hom_694_10 deep%5:00:00:intense:00 deep%5:00:00:colorful:00
hom_697_12 snap%1:06:00:: cinch%1:04:01::
hom_698_11 hot%3:00:02:: hot%5:00:00:violent:00
hom_699_17 rash%5:00:00:imprudent:00 foolhardy%5:00:00:bold:00
hom_703_8 pressure%1:26:01:: press%1:04:00::
hom_704_11 rise%2:38:08:: surface%2:38:00::
hom_705_9 toll%2:40:00:: toll%2:40:00::
hom_707_15 cured%5:00:03:preserved:02 corned%5:00:00:preserved:02
hom_710_24 student%1:18:00:: pupil%1:08:00::
hom_711_8 cut%2:38:15:: clipping%1:10:00::
hom_713_5 relative%1:18:00:: relative%3:00:00::
hom_714_14 crisp%5:00:00:cold:01 frigid%5:00:00:cold:02
hom_715_9 wiretap%2:39:00:: tease%2:37:00::
hom_716_3 keep%2:42:00:: support%1:21:00::
hom_717_10 dawn%2:30:00:: dawn%1:11:01::
hom_718_10 tip%2:40:00:: tiptoe%2:38:00::
hom_723_13 work%2:37:10:: exercise%2:29:01::
hom_726_15 hip%1:08:02:: pelvis%1:08:00::
hom_727_9 stagecoach%1:06:00:: stage%2:36:01::
hom_728_9 thump%2:35:00:: hammer%1:04:00::
hom_729_17 wipe_up%2:35:00:: mope%2:37:00::
hom_732_15 tempered%3:00:02:: temper%2:30:02::
hom_735_3 wave%2:29:00:: beckon%2:32:00::
hom_736_9 start%1:15:00:: incision%1:25:00::
hom_737_9 luggage_compartment%1:06:00:: kick%1:04:00::
hom_740_10 tear%2:38:00:: shoot%2:41:00::
hom_741_8 mercantile_establishment%1:06:00:: exit%1:06:00::
hom_742_11 fifth_wheel%1:07:00:: fifth_wheel%1:07:00::
hom_745_14 weave%2:38:00:: thread%1:06:00::
hom_748_7 prior%1:18:00:: anterior%5:00:00:antecedent:00
hom_749_11 position%1:09:00:: position%1:09:00::
hom_751_8 rattle%2:39:00:: rattle%2:38:00::
hom_753_17 underhand%3:00:00:: sneaky%5:00:00:crooked:02
hom_754_7 lie%2:35:00:: lie_down%2:38:00::
hom_756_16 tie%2:33:00:: draw%2:33:01::
hom_758_11 wimp%1:18:00:: chicken%1:13:00::
hom_759_7 take%2:40:08:: consume%2:34:00::
hom_762_7 vantage_point%1:15:00:: point_of_view%1:09:00::
hom_763_9 bowl%2:33:00:: bowl%2:35:04::
hom_764_14 crane%2:29:00:: crane%2:29:00::
hom_765_11 overall%5:00:00:gross:00 overall%1:06:02::
hom_767_13 smart%5:00:00:automatic:00 ache%2:39:00::
hom_768_14 pin%1:06:01:: peg%1:10:04::
hom_769_13 modal%5:00:00:normal:01 average%1:09:00::
hom_770_10 trip%2:34:00:: trip%1:04:01::
hom_771_16 weight_unit%1:23:00:: slant%2:31:00::
hom_774_4 staff%2:33:01:: staff%1:14:00::
hom_775_23 joint%1:08:00:: roast%1:13:00::
hom_778_12 cool%2:30:00:: cool%2:30:01::
hom_779_12 joining%1:04:00:: connection%1:04:01::
hom_780_19 log%2:35:00:: logarithm%1:10:00::
hom_785_23 clam%2:35:00:: clam%2:35:00::
hom_787_33 exchange%2:40:00:: exchange%2:40:00::
hom_788_11 racking%5:00:00:painful:00 wrench%2:38:00::
hom_790_13 botch%2:41:00:: float%2:38:00::
hom_791_18 cut%2:38:15:: write_out%2:32:00::
hom_796_10 light%2:30:00:: light%1:26:00::
hom_799_11 dry%5:00:00:humorous:00 dry%5:00:00:unstimulating:00
hom_800_15 office%1:26:00:: electricity%1:19:01::
hom_805_9 salvage%2:41:00:: save%2:40:04::
hom_806_3 tear%2:38:00:: charge%2:30:13::
hom_807_10 appendix%1:08:00:: appendix%1:08:00::
hom_810_12 fret%2:40:00:: rub%2:35:01::
hom_811_17 marked%5:00:00:conspicuous:00 mark%2:30:00::
hom_812_8 tie%2:33:00:: puff%2:34:00::
hom_814_12 snip%2:35:00:: cut%2:30:02::
hom_817_11 go_steady%2:41:00:: go_steady%2:41:00::
hom_819_15 find_oneself%2:30:00:: find%2:31:10::
hom_820_11 peanut%1:13:00:: insignificant%5:00:00:minor:06
hom_821_10 visualize%2:36:00:: calculate%2:31:03::
hom_825_13 twist%2:29:00:: sour%2:30:01::
hom_828_18 tight%5:00:00:compact:00 fast%4:02:02::
hom_829_17 bar%2:35:01:: cake%1:06:00::
hom_833_11 cuckoo%2:32:00:: cuckoo%2:32:00::
hom_834_13 crown%1:06:04:: crown%1:06:04::
hom_835_19 cleanse%2:29:00:: scavenge%2:30:00::
hom_836_7 leak%2:32:01:: leak%2:32:00::
hom_838_10 call%2:32:04:: address%2:41:08::
