hom_8_17	vault%1:04:00::	bank_vault%1:06:00::
hom_349_7	window%1:06:05::	window%1:06:01::
hom_350_11	plane%1:06:01::	plane%1:25:00::
hom_354_3	submerge%2:35:00::	submerge%2:38:00::
hom_355_15	stock%1:21:01::	out_of_stock%5:00:00:unavailable:00
hom_356_8	stripe%1:09:00::	strip%2:40:00::
hom_359_8	state%2:32:02::	state%1:15:00::
hom_360_10	spark%1:23:00::	spark%2:43:00::
hom_362_11	false%5:00:00:artificial:00	false%3:00:00::
hom_363_15	heel%2:36:00::	heel%1:06:02::
hom_364_14	pony_up%2:40:00::	pony%1:05:01::
hom_366_14	prune%2:35:00::	prune%2:30:00::
hom_367_12	terminal%3:00:00::	terminal%3:01:01::
hom_369_11	grilled%5:00:02:cooked:00	grill%2:30:00::
hom_371_6	taper_off%2:42:00::	taper%2:30:00::
hom_373_21	rough%3:00:00::	rough%1:15:00::
hom_375_11	score%1:23:00::	score%2:33:00::
hom_380_20	step%2:38:00::	steps%1:17:00::
hom_382_8	beef%1:10:00::	beef%2:32:00::
hom_383_10	song%1:10:00::	for_a_song%4:02:00::
hom_386_9	arrange%2:32:04::	arrange%2:35:00::
hom_390_13	date%1:13:00::	date_palm%1:20:00::
hom_391_10	long%4:02:00::	long%5:00:00:tall:00
hom_392_5	bang%1:12:00::	bang_out%2:36:00::
hom_394_10	load%2:35:02::	work_load%1:04:00::
hom_395_8	take%2:30:00::	take%2:40:05::
hom_396_18	let_down%2:38:00::	let%2:32:02::
hom_397_13	august%1:28:00::	august%5:00:00:noble:02
hom_401_13	add%2:30:00::	add%2:32:01::
hom_402_14	stink%2:42:00::	stink%2:39:00::
hom_405_12	mint%1:23:00::	mint%5:00:00:perfect:00
hom_406_6	element%1:27:00::	element%1:26:00::
hom_408_11	pass%2:29:00::	pass%2:30:11::
hom_409_10	exhaust%2:34:00::	exhaust%2:40:00::
hom_412_30	change%1:04:00::	change%1:11:00::
hom_414_13	contain%2:42:13::	contain%2:42:00::
hom_417_14	quarter%1:23:04::	quarter%1:18:00::
hom_418_9	downhill%4:02:01::	downhill%1:11:00::
hom_424_16	knit%2:35:00::	knit%1:06:02::
hom_426_7	book%1:10:04::	book%1:10:03::
hom_428_10	pan_out%2:35:00::	pan%2:35:00::
hom_429_8	pointless%5:00:00:worthless:00	pointless%3:00:00::
hom_431_15	landslide%1:11:01::	landslide%1:11:00::
hom_432_20	deal%1:14:00::	deal%2:31:10::
hom_434_13	clerical%5:00:00:white-collar:00	clerical%3:01:00::
hom_440_9	ground%1:17:00::	ground%2:35:10::
hom_441_9	faculty%1:14:00::	faculty%1:09:00::
hom_443_10	potential%1:26:00::	potential%1:19:00::
hom_447_29	snap%2:35:00::	snap%2:37:00::
hom_449_17	calf%1:08:00::	calve%2:29:00::
hom_451_17	flag%1:06:00::	flag%1:20:00::
hom_452_8	ruin%2:41:00::	ruin%2:40:00::
hom_457_12	crow%2:32:01::	crow%2:32:00::
hom_463_8	pine_away%2:30:00::	pine%2:37:00::
hom_464_10	iron%2:35:00::	iron%1:27:00::
hom_467_12	riveting%5:00:00:interesting:00	rivet%2:31:00::
hom_468_10	span%1:06:00::	span%1:23:02::
hom_470_12	buffer_zone%1:15:00::	buffer%1:15:00::
hom_473_23	dummy%1:18:01::	dummy%1:06:00::
hom_478_17	pay%2:40:00::	pay%1:21:01::
hom_479_11	change%1:21:03::	change%2:30:01::
hom_487_21	dream%1:09:01::	dream%2:36:00::
hom_488_9	bear_on%2:30:00::	bear%2:35:01::
hom_491_4	palm%1:08:00::	palm%1:23:00::
hom_493_7	hash_over%2:32:00::	hash%2:35:00::
hom_496_8	score%1:09:00::	score%1:23:00::
hom_500_20	trigger%2:36:00::	trigger%1:06:00::
hom_502_10	staple%5:00:00:essential:00	staple%2:35:00::
hom_503_14	proof%1:10:00::	proof%1:04:00::
hom_504_17	count%1:23:00::	count%2:42:00::
hom_512_11	plant%2:35:00::	plant%1:03:00::
hom_514_10	trace%2:39:00::	trace%2:35:00::
hom_516_10	charge%2:30:03::	charge%1:19:00::
hom_520_9	grip%1:04:00::	grip%1:06:01::
hom_522_17	file%2:32:01::	file%2:32:00::
hom_524_9	class%1:14:01::	class%1:14:02::
hom_525_6	flash%1:11:00::	flash%1:07:00::
hom_526_10	blended%3:00:00::	blend%2:30:00::
hom_531_12	comb%2:29:00::	comb%1:06:00::
hom_535_6	bounce%2:40:00::	bounce%2:38:01::
hom_538_7	squealer%1:05:00::	squealer%1:18:00::
hom_540_5	cycle%1:11:02::	cycle%1:28:00::
hom_542_9	serve%2:33:01::	serve%1:04:00::
hom_543_14	late%3:00:00::	late%3:00:01::
hom_545_8	club%1:14:00::	club%2:35:01::
hom_546_34	sign%1:10:03::	sign%1:10:00::
hom_547_7	downhill%4:02:01::	downhill%1:11:00::
hom_548_21	stir%2:38:01::	stir%2:37:00::
hom_550_10	mammoth%5:00:01:large:00	mammoth%1:05:00::
hom_552_6	problem%1:26:00::	problem%1:10:00::
hom_554_14	fashion%1:09:00::	fashion%1:04:00::
hom_555_10	spruce%2:29:00::	spruce_up%2:29:00::
hom_558_9	precipitous%5:00:00:hurried:00	precipitous%5:00:00:steep:00
hom_563_6	fall%1:07:00::	fall%2:30:06::
hom_565_10	bottle_up%2:41:00::	bottle%2:40:00::
hom_566_14	square%4:02:00::	square%4:02:02::
hom_570_8	shrink%2:30:02::	shrink%2:38:00::
hom_571_10	support%1:04:00::	support%2:40:00::
hom_574_11	connection%1:04:01::	connection%1:06:00::
hom_575_11	charge%2:40:03::	charge%2:40:02::
hom_578_14	flash%2:30:04::	flash%2:39:02::
hom_581_11	weather%1:19:00::	weather%2:30:00::
hom_582_9	buffalo%2:37:00::	buffalo%1:05:02::
hom_584_17	lie%1:10:00::	lie%2:32:00::
hom_586_5	design%1:09:00::	design%1:06:00::
hom_587_7	drill%1:04:00::	drill%1:06:00::
hom_590_11	pop%1:18:00::	pop%1:11:00::
hom_594_7	inclined%3:00:01::	inclined%3:00:02::
hom_595_14	downhill%4:02:01::	downhill%4:02:00::
hom_596_16	caliber%1:07:00::	caliber%1:07:01::
hom_597_6	stable%5:00:00:sound:00	stable%1:06:00::
hom_599_12	kick%2:34:00::	kick%2:32:00::
hom_600_16	bench%1:14:02::	bench%1:06:00::
hom_602_10	grouper%1:05:00::	grouper%1:13:00::
hom_604_19	thin%3:00:03::	thin%3:00:01::
hom_605_6	melt%2:30:01::	melt%2:30:05::
hom_609_13	clean%3:00:01::	clean%2:35:00::
hom_614_18	steep%1:17:00::	steep%3:00:00::
hom_620_13	up%4:02:02::	up%4:02:05::
hom_621_6	drill%1:06:00::	drill%1:04:00::
hom_622_4	rash%1:14:00::	rash%1:26:00::
hom_627_1	backup%1:06:00::	backup%1:18:00::
hom_628_13	storm%1:19:00::	storm%1:04:00::
hom_635_18	degree%1:26:01::	degree%1:10:00::
hom_637_11	frank%5:00:00:direct:02	frank%1:13:00::
hom_640_8	waste%2:30:02::	waste%1:27:00::
hom_646_15	present%1:21:00::	present%1:28:00::
hom_648_3	high%3:00:01::	high%3:00:02::
hom_650_14	still%4:02:01::	still%4:02:04::
hom_654_11	faculty%1:14:00::	faculty%1:09:00::
hom_655_14	afraid%5:00:00:concerned:00	afraid%3:00:00::
hom_659_7	flexible%3:00:02::	flexible%3:00:01::
hom_660_12	check%1:04:02::	check%1:04:04::
hom_662_10	strain%2:29:00::	strain%1:10:00::
hom_663_18	resonate%2:39:00::	resonate%2:31:00::
hom_664_10	hook%1:04:00::	hook%2:35:02::
hom_666_9	sweet%1:13:00::	sweet%1:13:01::
hom_668_10	discard%2:40:00::	discarded%5:00:00:unwanted:00
hom_670_15	snap%2:32:01::	snap%2:35:00::
hom_671_6	striking%5:00:00:conspicuous:00	striking%5:00:00:impressive:00
hom_673_13	fall%2:30:06::	fell%2:35:00::
hom_675_16	point%1:06:00::	point%1:21:00::
hom_676_7	steal%2:40:00::	steal_away%2:38:00::
hom_680_17	fertilize%2:29:00::	fertilize%2:30:00::
hom_681_7	degree%1:26:01::	degree%1:07:00::
hom_686_11	skip%2:31:01::	skip%1:04:00::
hom_687_11	state%1:03:00::	state%2:32:00::
hom_689_15	nag%2:37:00::	nag%1:18:00::
hom_690_5	goal%1:06:00::	goal%1:09:00::
hom_691_13	jerky%1:13:00::	jerky%5:00:00:sudden:00
hom_692_7	overboard%4:02:01::	overboard%4:02:00::
hom_693_44	bug%1:06:00::	bug%2:39:00::
hom_697_12	snap%1:04:00::	snap%1:07:00::
hom_699_17	rash%5:00:00:imprudent:00	rash%1:14:00::
hom_704_11	rise%1:11:02::	rise%1:04:00::
hom_705_9	toll%1:07:01::	toll%1:11:00::
hom_707_15	cure%2:29:00::	cured%5:00:00:well:01
hom_710_24	pupil%1:18:00::	pupil%1:18:01::
hom_711_8	cut%2:35:00::	cut%1:04:08::
hom_714_14	frosty%5:00:02:cold:01	frosty%5:00:01:cold:01
hom_715_9	bug%2:39:00::	bug%2:37:00::
hom_717_10	dawn%1:28:00::	dawn%2:30:00::
hom_718_10	tip%1:10:00::	tip%1:21:00::
hom_726_15	hip%1:25:00::	hip%1:08:00::
hom_728_9	pound%1:18:00::	pound%2:30:03::
hom_729_17	mope%2:37:00::	mope_around%2:38:00::
hom_732_15	hardened%5:00:00:tough:02	harden%2:30:00::
hom_737_9	boot%1:06:03::	boot%1:06:00::
hom_741_8	outlet%1:04:00::	outlet%1:06:01::
hom_742_11	deadwood%1:07:00::	deadwood%1:20:00::
hom_745_14	thread%1:17:00::	thread%1:06:00::
hom_748_7	prior%5:00:00:antecedent:00	prior%1:18:00::
hom_749_11	perspective%1:07:00::	perspective%1:09:00::
hom_751_8	rattle%2:39:00::	rattle_off%2:32:00::
hom_753_17	underhanded%3:00:00::	underhanded%5:00:00:crooked:02
hom_754_7	lie%2:35:00::	lie%1:10:00::
hom_758_11	chicken%1:13:00::	chicken_out%2:41:00::
hom_762_7	viewpoint%1:09:00::	viewpoint%1:15:00::
hom_763_9	bowl_over%2:38:00::	bowl%1:06:03::
hom_764_14	crane%1:06:00::	crane%2:29:00::
hom_765_11	overall%5:00:00:general:00	overall%1:06:02::
hom_767_13	smart%5:00:00:forward:02	smart%5:00:00:fast:01
hom_768_14	bowling_pin%1:06:00::	pin%1:06:04::
hom_769_13	average%5:00:02:normal:01	average%1:09:00::
hom_770_10	trip%1:04:00::	trip%2:36:00::
hom_771_16	weight%1:07:00::	weight%1:23:00::
hom_775_23	joint%1:08:00::	joint%1:13:00::
hom_778_12	cool%1:07:01::	cool%2:30:02::
hom_780_19	log%1:10:00::	log%1:27:01::
hom_785_23	clam_up%2:32:00::	clam%1:05:00::
hom_787_33	change%2:30:01::	change%2:30:00::
hom_788_11	wrenching%5:00:00:painful:00	wrench%1:06:00::
hom_793_7	go%2:38:00::	go%2:39:00::
hom_796_10	light%5:00:00:insufficient:00	light%3:00:06::
hom_800_15	power%1:07:00::	power%1:26:00::
hom_806_3	charge%2:32:01::	charge%1:04:03::
hom_807_10	appendix%1:10:00::	appendix%1:08:00::
hom_810_12	fret%1:06:00::	fret%1:26:00::
hom_812_8	draw%2:41:13::	draw%2:34:01::
hom_814_12	prune%2:30:00::	prune%1:13:00::
hom_815_6	down%4:02:05::	down%5:00:00:dejected:00
hom_817_11	date%1:18:00::	date%1:14:00::
hom_819_15	find%2:30:00::	find%1:04:00::
hom_821_10	figure%1:25:00::	figure%1:10:01::
hom_825_13	turn%2:30:04::	turn%2:38:00::
hom_828_18	tight%5:00:00:difficult:00	tight%5:00:00:equal:00
hom_829_17	bar%1:04:00::	bar%1:06:02::
hom_833_11	cuckoo%1:18:00::	cuckoo%1:05:00::
hom_836_7	leak%2:32:00::	leak%2:32:01::
hom_838_10	calling%1:04:00::	call%1:10:02::
hom_843_15	nut%1:08:00::	nuts%5:00:00:insane:00
hom_847_26	drop%2:30:00::	drop%2:40:00::
hom_848_14	plate%1:08:00::	plate%1:06:02::
hom_852_12	touch%1:04:00::	touch%1:11:00::
hom_855_5	change%1:04:00::	change%1:19:00::
hom_858_6	digital%3:00:00::	digital%3:01:00::
hom_860_8	sweet%5:00:00:lovable:00	sweet%5:00:00:unsoured:00
hom_863_5	fallout%1:27:00::	fallout%1:19:00::
hom_866_26	pick_up%2:31:00::	pick_up%2:40:01::
hom_870_15	clog%2:35:00::	clog%1:06:00::
hom_871_10	bundle%1:14:00::	bundle%1:21:00::
hom_872_9	track%1:06:01::	track%1:17:00::
hom_873_10	spend%2:40:00::	spend%2:42:00::
hom_876_9	plug_away%2:30:00::	plug%2:30:00::
hom_878_10	chemistry%1:09:00::	chemistry%1:24:00::
hom_881_11	track%2:38:00::	track%1:17:00::
hom_886_12	work%2:41:01::	work%1:06:01::
hom_890_5	tired%3:00:00::	tire%2:29:01::
hom_891_9	scramble%2:35:02::	scramble%2:38:00::
hom_897_15	stick%2:31:00::	stick%2:32:00::
hom_898_6	bird%1:05:00::	bird%2:33:00::
hom_903_7	booming%5:00:00:successful:00	booming%5:00:00:full:01
hom_906_4	plant%2:31:00::	plant%2:35:01::
hom_907_13	ear%1:08:00::	ear%1:20:00::
hom_908_19	shoot%1:20:00::	shoot%1:04:00::
hom_910_8	drone%2:39:00::	drone%1:05:00::
hom_911_15	garnish%2:40:00::	garnish%2:36:00::
hom_912_9	express%5:00:00:fast:01	express%1:06:00::
hom_914_7	rare%5:00:00:raw:00	rare%5:00:00:uncommon:00
hom_915_16	observant%5:00:00:attentive:00	observant%5:00:00:lawful:00
hom_917_15	fire%2:41:00::	fire%1:11:01::
hom_918_17	dry%3:00:01::	dry%2:30:01::
hom_920_11	blowup%1:11:00::	blowup%1:06:00::
hom_925_10	dock%2:35:00::	dock%2:38:00::
hom_929_13	haywire%5:00:00:malfunctioning:00	haywire%5:00:00:insane:00
hom_937_22	complex%1:12:00::	complex%1:06:00::
hom_940_22	ball%1:04:01::	ball%1:04:00::
hom_941_28	change%1:04:00::	change%2:30:01::
hom_942_10	stroke%1:11:02::	stroke%2:35:00::
hom_943_9	leaf%1:10:00::	leaf%2:29:00::
hom_945_14	stack%2:35:06::	stack%2:35:01::
hom_946_12	drive%2:41:13::	drive%2:41:00::
hom_949_17	knock%2:32:02::	knock%1:11:01::
hom_954_13	line%1:14:03::	line%1:06:07::
hom_956_8	leap%1:11:01::	leap%2:38:00::
hom_958_15	toast%1:13:00::	toast%1:18:01::
hom_959_15	frank%5:00:00:direct:02	frank%2:35:00::
hom_962_16	operate%2:29:00::	operate%2:33:00::
hom_968_1	jump%2:38:12::	jump%2:38:07::
hom_970_8	exhaust%2:34:00::	exhaust%2:29:00::
hom_971_6	sign%1:11:00::	sign%1:10:03::
hom_973_7	beady%5:00:00:bright:00	beady%5:00:00:adorned:00
hom_974_8	downhill%4:02:01::	downhill%4:02:00::
hom_976_13	pull_together%2:35:00::	pull%2:35:00::
hom_977_11	stand%2:33:00::	stand%1:06:04::
hom_979_18	lousy%5:00:00:dirty:01	lousy%5:00:00:bad:00
hom_981_13	stunning%5:00:00:disorienting:00	stun%2:39:00::
hom_984_21	lock%2:35:01::	lock%1:04:00::
hom_987_10	calf%1:05:00::	calf%1:08:00::
hom_990_11	plant%1:09:00::	plant%1:03:00::
hom_992_21	poacher%1:06:00::	poacher%1:05:00::
hom_994_11	stave_off%2:41:00::	stave%1:06:00::
hom_995_17	calf%1:08:00::	calve%2:29:00::
hom_996_16	throw%2:31:00::	throw%2:35:07::
hom_998_19	kid%2:32:00::	kid%1:18:01::
hom_1002_11	point%1:10:01::	point%2:30:00::
hom_1006_11	faculty%1:14:00::	faculty%1:09:00::
hom_1007_15	look%2:39:00::	look_into%2:32:00::
hom_1008_8	knockout%1:04:00::	knockout%1:18:00::
hom_1014_17	drift%1:09:00::	drift%2:38:06::
hom_1015_13	strain%2:33:00::	strain%2:34:00::
hom_1016_18	sentence%1:28:00::	sentence%2:32:00::
hom_1024_12	connection%1:06:00::	connection%1:09:00::
hom_1025_8	render%2:30:04::	render%2:40:02::
hom_1028_20	make%1:09:00::	make%2:36:01::
hom_1030_8	state%1:26:02::	liquid_state%1:26:00::
hom_1031_11	circulation%1:10:00::	circulation%1:23:00::
hom_1032_11	stern%5:00:00:demanding:01	stern%1:06:00::
hom_1034_16	dark%3:00:01::	dark%1:28:00::
hom_1035_11	buzz%1:11:00::	buzz%2:32:00::
hom_1036_13	project%2:36:00::	project%2:36:01::
hom_1037_7	cop%1:18:00::	cop_out%2:31:00::
hom_1039_9	fire%2:41:00::	fire%2:37:00::
hom_1042_7	illuminating%3:00:00::	illuminate%2:31:00::
hom_1044_12	strike%2:41:00::	strike%1:04:00::
hom_1045_12	net%5:00:00:ultimate:00	net%3:00:00::
hom_1049_7	legend%1:10:01::	legend%1:10:00::
hom_1050_8	love%2:35:00::	love%1:23:00::
hom_1053_2	come%2:39:00::	coming%1:04:00::
hom_1054_4	turf_out%2:35:00::	turf%1:17:00::
hom_1056_43	look%2:39:01::	look%2:39:00::
hom_1057_9	pine_away%2:30:00::	pine%1:20:00::
hom_1058_9	delivery%1:10:00::	delivery%1:04:00::
hom_1060_15	sentence%1:28:00::	sentence%1:10:00::
hom_1066_15	break%2:30:02::	break%2:32:00::
hom_1067_16	serve%2:33:01::	serve%1:04:00::
hom_1072_17	harden%2:30:00::	harden%2:30:01::
hom_1074_12	hook%2:35:03::	hook%2:32:09::
hom_1079_13	grain%1:13:00::	grain%2:35:00::
hom_1082_12	core%1:15:00::	core%2:35:00::
hom_1085_10	fly%2:38:01::	fly%2:38:00::
hom_1086_7	put_down%2:35:00::	put%2:35:00::
hom_1090_18	rage%1:09:00::	rage%2:42:01::
hom_1092_12	heart%1:07:04::	heart%1:09:01::
hom_1101_21	bloomers%1:06:00::	bloomer%1:04:00::
hom_1102_13	mole%1:05:00::	mole%1:13:00::
hom_1103_8	walk%2:33:00::	walk%2:33:01::
hom_1107_22	relief_map%1:06:00::	relief%1:26:00::
hom_1109_4	itch%2:39:00::	itch%2:37:00::
hom_1111_3	miss%2:42:00::	miss%1:18:00::
hom_1116_16	cavity%1:17:00::	cavity%1:08:00::
hom_1119_44	mature%3:00:01::	mature%2:30:01::
hom_1122_14	hive%1:17:00::	hive%1:06:00::
hom_1123_18	hard%5:00:00:bad:00	hard%3:00:06::
hom_1130_14	drill%1:06:00::	drill%1:04:01::
hom_1133_10	current%3:00:00::	current%1:19:01::
hom_1136_16	concentration%1:04:01::	concentration%1:11:00::
hom_1140_25	fault%1:04:00::	fault%1:17:00::
hom_1144_26	table%1:06:01::	table%1:14:00::
hom_1148_18	float%2:38:01::	float%2:38:04::
hom_1151_20	aggregate%1:06:00::	aggregate%1:27:00::
hom_1153_10	ring%1:07:00::	ring%1:11:00::
hom_1155_10	evolve%2:30:03::	evolve%2:36:00::
hom_1158_9	lay_off%2:42:00::	lay_off%2:41:00::
hom_1160_16	elimination%1:22:00::	elimination%1:09:00::
hom_1161_13	reservation%1:10:00::	reservation%1:04:01::
hom_1164_24	pan%1:06:00::	pan%2:38:00::
hom_1165_9	downhill%4:02:01::	downhill%4:02:00::
hom_1166_4	nurse%1:18:00::	nurse%1:18:01::
hom_1168_14	kid%2:32:01::	kid%1:18:00::
hom_1171_21	batter%2:35:00::	batter%1:18:00::
hom_1172_3	drool%2:37:00::	drool%2:29:00::
hom_1173_8	strain%1:14:01::	strain%1:14:00::
hom_1174_9	thirst%1:07:00::	thirst%2:34:00::
hom_1175_13	tune%2:30:00::	tune%1:10:00::
hom_1179_7	scale%1:24:03::	scale%1:10:00::
hom_1181_19	bust%1:11:00::	bust%2:35:01::
hom_1182_18	fit%2:30:02::	fit%2:42:04::
hom_1184_18	boot%1:06:01::	boot%2:29:00::
hom_1185_8	recover%2:30:00::	recover%2:40:06::
hom_1186_14	hit%1:04:03::	hit%2:33:02::
hom_1190_11	rich%3:00:00::	rich%5:00:00:unwholesome:00
hom_1191_15	bar%1:04:00::	bar%1:06:02::
hom_1192_9	entrance%2:37:00::	entrance%2:29:00::
