het_1_14 allege%2:32:00:: alleged%5:00:00:declared:00
het_133_9 tact%1:07:00:: taut%5:00:00:tense:01
het_134_16 feat%1:04:00:: beat%2:33:00::
het_137_24 pore%2:31:00:: boring%5:00:00:uninteresting:00
het_140_14 asynergy%1:26:00:: synergy%1:22:00::
het_141_6 cosine%1:24:00:: arsine%1:27:00::
het_145_14 bellower%1:18:00:: bellow%2:32:00::
het_148_5 flippantly%4:02:00:: flippancy%1:07:00::
het_149_7 reflectively%4:02:00:: reflectivity%1:07:00::
het_150_9 bier%1:06:00:: pier%1:06:00::
het_153_13 steak%1:13:00:: sneak%2:41:00::
het_154_15 cannily%4:02:00:: cannery%1:06:00::
het_156_2 pistol%1:06:00:: pistil%1:20:00::
het_158_7 hammered%3:44:00:: yammer%2:32:01::
het_159_13 hotel%1:06:00:: hostel%1:06:01::
het_162_5 shite%1:27:00:: suite%1:10:00::
het_165_18 periodically%4:02:00:: periodical%3:00:00::
het_166_26 capitol%1:06:01:: capital%1:21:01::
het_172_20 crate%1:06:00:: grate%1:06:00::
het_174_7 beak%1:05:00:: weak%3:00:00::
het_177_7 granite%1:27:00:: craniate%1:05:00::
het_181_23 gracefully%4:02:01:: gratefully%4:02:01::
het_183_14 bee%1:05:00:: tee%1:15:00::
het_184_9 morning%1:28:00:: mourning%1:26:00::
het_185_13 kittee%1:04:00:: kitten%1:05:00::
het_186_20 sheika%1:18:00:: sheik%1:18:01::
het_187_18 gainfully%4:02:00:: painfully%4:02:00::
het_188_17 bullet%1:06:00:: pullet%1:13:00::
het_189_10 reflux%1:26:00:: reflux%1:11:00::
het_193_15 boo%1:10:00:: boo%2:32:00::
het_195_11 mourner%1:18:00:: mourn%2:37:01::
het_196_13 comet%1:17:00:: come%2:42:09::
het_197_6 peace%1:26:00:: pace%1:07:01::
het_200_17 sagely%4:02:00:: safely%4:02:00::
het_201_7 descant%1:10:00:: descent%1:04:00::
het_202_7 aare%1:17:00:: bare%5:00:00:unadorned:00
het_203_9 drip%2:38:00:: drip%1:06:00::
het_204_12 gnu%1:05:00:: anus%1:08:00::
het_206_12 ambiance%1:26:00:: ambience%1:26:00::
het_208_9 chant%2:32:01:: chant%1:10:00::
het_209_17 ass%1:08:00:: bass%1:07:01::
het_213_9 wok%1:06:00:: ok%1:15:00::
het_216_10 comp%1:10:00:: coup%1:04:00::
het_217_10 porpoise%1:05:00:: purpose%1:09:00::
het_218_9 phase%1:28:00:: chase_away%2:38:00::
het_219_11 aare%1:17:00:: fare%1:13:00::
het_221_14 role%1:04:00:: role%1:09:00::
het_222_22 grater%1:06:00:: crater%1:17:01::
het_223_7 foal%1:05:00:: foul%1:04:01::
het_224_9 dyed%5:00:00:artificial:00 ded%1:10:00::
het_227_11 geek%1:18:00:: gee%1:23:00::
het_228_11 gaily%4:02:00:: daily%1:10:00::
het_229_8 sail%1:06:00:: ail%2:29:01::
het_231_11 aerial%1:04:00:: cereal%1:20:00::
het_234_9 abience%1:16:00:: patience%1:04:01::
het_235_11 flute%1:06:02:: flute%1:06:00::
het_239_7 ai%1:14:00:: pi%1:06:00::
het_240_5 herd%1:14:00:: herd%2:38:01::
het_244_12 engorgement%1:26:00:: endorsement%1:10:00::
het_246_11 rote%1:09:00:: write%2:36:00::
het_247_20 de%1:15:00:: doe%1:14:00::
het_248_11 pious%3:00:00:: piously%4:02:01::
het_249_13 aphanite%1:27:00:: apatite%1:27:00::
het_250_9 spade%1:06:01:: sade%1:18:00::
het_251_20 wilde%1:18:00:: tilde%1:10:00::
het_252_13 officiously%4:02:00:: officious%5:00:00:intrusive:01
het_253_22 eight%1:14:00:: weight%1:23:00::
het_257_12 barker%1:05:00:: bark%2:30:00::
het_259_15 aengus%1:18:00:: census%2:32:00::
het_261_26 fissure%1:17:00:: figure%1:06:01::
het_263_10 grizzly%5:00:00:old:02 grizzle%2:37:00::
het_264_9 lapp%1:10:00:: lamp%1:06:00::
het_265_10 loess%1:27:00:: loss%1:21:00::
het_267_12 negative%3:00:02:: negatively%4:02:00::
het_268_15 booth%1:06:00:: broth%1:13:01::
het_276_6 craze%1:26:00:: graze%2:35:10::
het_277_22 balder%1:18:00:: bold%3:00:00::
het_278_12 diplomatical%3:00:00:: diplomatically%4:02:00::
het_282_6 marx%1:18:00:: marx%1:18:04::
het_283_19 at%1:27:00:: bat%1:05:00::
het_284_14 dace%1:05:00:: daze%2:39:01::
het_285_11 farce%1:10:00:: face%1:07:01::
het_287_4 warden%1:18:00:: garden%1:06:00::
het_288_8 borges%1:18:00:: gorge%1:17:00::
het_289_12 hymn%2:32:00:: damned%1:14:00::
het_292_7 flare%1:19:01:: blare%1:11:00::
het_293_1 abstinence%1:04:00:: abstinence%1:07:00::
het_294_22 fray%1:04:00:: fray%2:35:00::
het_296_8 steal%1:21:00:: steal%2:40:00::
het_298_17 staring%5:00:00:unmitigated:00 sharing%1:24:01::
het_300_8 symphony%1:10:00:: syphon%1:06:00::
het_302_20 dirk%1:06:00:: dark%3:00:02::
het_303_8 stink%2:42:00:: shank%1:08:00::
het_305_8 bravery%1:07:00:: bravely%4:02:00::
het_306_16 gamely%4:02:00:: lamely%4:02:00::
het_308_31 boar%1:05:02:: soar%2:38:01::
het_311_14 beast%1:03:00:: yeast%1:27:00::
het_312_8 granulated%5:00:00:coarse:00 granulate%2:30:01::
het_313_17 haik%1:06:00:: hack%1:06:00::
het_314_3 soul%1:03:00:: foul%1:04:01::
het_315_9 barbarous%5:00:00:inhumane:00 barbados%1:15:01::
het_316_11 pail%1:06:00:: ail%1:13:00::
het_318_12 bated%5:00:00:decreased:00 bait%2:32:00::
het_320_6 sod%1:17:00:: bod%1:08:00::
het_322_12 bone_up%2:31:00:: tone_up%2:29:00::
het_323_12 promise%2:32:02:: promise%1:10:00::
het_324_6 griot%1:18:00:: riot%1:04:00::
het_325_7 0%1:23:00:: c%1:27:00::
het_326_11 mall%1:06:01:: ball%1:04:00::
het_328_3 fraise%1:06:01:: praise%2:32:00::
het_329_8 weakener%1:17:00:: weakened%5:00:00:damaged:00
het_331_10 poodle%1:05:00:: oodles%1:23:00::
het_332_18 bow%1:10:01:: mow%1:06:00::
het_333_11 barish%1:10:00:: parish%1:15:00::
het_334_11 axis%1:09:00:: taxis%1:04:00::
het_335_25 breath%1:04:00:: breath%1:10:00::
het_336_14 essen%1:15:00:: lessen%2:30:00::
het_337_12 peddler%1:18:00:: peddle%2:40:00::
het_338_9 ways%1:06:00:: why%1:16:00::
het_341_13 lumbar%3:01:00:: lumber%1:27:00::
het_342_10 varnish%1:06:00:: garnish%2:40:00::
het_345_17 grimy%5:00:00:dirty:01 grimly%4:02:00::
het_350_11 shite%1:27:00:: white%5:00:00:diluted:00
het_351_38 bowl%1:06:03:: fowl%1:05:00::
het_353_14 meter%1:06:00:: meteor%1:17:00::
het_354_7 maine%1:15:00:: main%1:17:00::
het_356_14 candy%1:13:00:: handy%5:00:00:convenient:00
het_357_18 aare%1:17:00:: fare%1:13:00::
het_358_10 clatter%1:11:00:: platter%1:06:01::
het_360_10 sheepishly%4:02:00:: sheepish%5:00:00:docile:00
het_362_13 pair%1:23:00:: air%1:27:00::
het_363_8 bedder%1:20:00:: bidder%1:18:01::
het_364_11 aengus%1:18:00:: census%2:32:00::
het_365_16 jung%1:18:00:: bung%1:06:00::
het_366_25 feint%1:04:00:: feint%2:36:00::
het_369_8 flatly%4:02:00:: fatty%3:00:00::
het_370_33 belle%1:18:00:: bell%1:06:00::
het_374_9 lathe%1:06:00:: loathe%2:37:00::
het_375_20 homarus%1:05:00:: humerus%1:08:00::
het_377_19 canton%1:15:00:: wanton%2:42:01::
het_380_16 fleecy%5:00:00:soft:01 fleece%1:27:01::
het_381_12 loftily%4:02:00:: loathly%5:00:00:offensive:01
het_382_21 grazing%1:04:00:: razing%1:04:00::
het_384_10 bridle%1:06:00:: bride%1:18:00::
het_386_8 barque%1:06:00:: baroque%1:07:00::
het_387_16 kiln%1:06:00:: kill%2:35:00::
het_388_14 bell_cote%1:06:00:: bellicose%5:00:00:aggressive:00
het_389_18 sirius%1:17:00:: siris%1:20:00::
het_391_17 grossly%4:02:00:: crossly%4:02:00::
het_393_8 mutton%1:13:00:: button%1:06:01::
het_394_15 contentedly%4:02:00:: contented%3:00:00::
het_396_12 urn%1:06:01:: burn%2:43:02::
het_399_4 meddling%1:04:00:: peddling%1:04:00::
het_400_17 beck%1:10:00:: gecko%1:05:00::
het_405_8 ade%1:13:00:: wade%2:38:00::
het_406_19 wishfully%4:02:00:: wistfully%4:02:00::
het_408_10 ale%1:13:00:: bale_out%2:30:00::
het_410_16 slowly%4:02:02:: lowly%5:00:00:inferior:01
het_411_15 stationery%1:10:00:: stationer%1:18:00::
het_415_13 paucity%1:07:01:: saucily%4:02:01::
het_416_4 grace%2:36:00:: brace%1:06:00::
het_417_18 canvas%1:06:03:: canvass%1:06:03::
het_418_19 aar%1:17:00:: oar%1:06:00::
het_419_14 son%1:18:01:: con%2:31:00::
het_420_15 anne%1:18:00:: ante%1:21:00::
het_421_15 grave%1:06:00:: gravy%1:13:01::
het_424_12 whirler%1:18:00:: whirl%2:38:01::
het_426_15 callas%1:18:00:: callus%1:26:01::
het_427_29 rootage%1:15:00:: footage%1:06:00::
het_428_8 bitt%1:06:00:: butt%1:06:03::
het_429_12 bough%1:20:00:: cough%1:26:00::
het_430_5 alarming%3:00:00:: alarmingly%4:02:00::
het_431_11 spangly%5:00:00:adorned:00 sparingly%4:02:00::
het_434_3 4th%5:00:00:ordinal:00 4to%1:07:00::
het_435_32 ail%1:13:00:: tail%1:05:00::
het_440_13 gainly%5:00:00:graceful:00 vainly%4:02:00::
het_442_12 principe%1:15:00:: principal%1:21:02::
het_445_11 aare%1:17:00:: bare%5:00:00:unpainted:00
het_446_28 bullion%1:06:00:: billion%1:23:01::
het_450_11 monotonously%4:02:00:: monotonous%5:00:00:dull:03
het_451_15 gait%1:04:01:: bait%1:06:00::
het_453_10 rune%1:10:00:: dune%1:17:00::
het_454_16 obtusely%4:02:00:: obtuse%5:00:00:stupid:00
het_457_9 smarm%1:10:00:: swarm%1:14:01::
het_458_12 amen%1:18:00:: omen%2:32:00::
het_459_16 patently%4:02:00:: patiently%4:02:00::
het_464_10 fang%1:05:02:: fang%1:05:00::
het_467_5 influential%3:00:00:: inferential%3:01:00::
het_468_19 jacks%1:04:00:: tack%1:06:01::
het_469_13 innoxious%5:00:00:innocuous:00 innocuous%5:00:00:harmless:00
het_471_16 chased%1:18:00:: phase%2:30:00::
het_473_9 gladly%4:02:00:: gadfly%1:18:00::
het_477_3 seine%1:06:00:: seize%2:35:00::
het_478_14 guilty%3:00:00:: guiltily%4:02:00::
het_480_17 caw%2:32:00:: ca%1:15:00::
het_481_32 prince%1:18:00:: prance%2:38:03::
het_483_2 waist%1:06:00:: wait%1:28:00::
het_485_11 naval%3:01:00:: nasal%1:08:00::
het_486_15 musset%1:18:00:: mussel%1:13:00::
het_488_15 torque%1:19:00:: toque%1:06:01::
het_489_21 corps%1:14:00:: cords%1:06:04::
het_491_5 crotchety%5:00:00:ill-natured:00 crotchet%1:10:00::
het_492_8 crossly%4:02:00:: grossly%4:02:00::
het_493_13 adam%1:18:00:: dam%1:06:00::
het_494_7 clause%1:10:01:: clause%1:10:00::
het_496_5 illusion%1:04:02:: illusion%1:09:00::
het_497_5 homarus%1:05:00:: humerus%1:08:00::
het_498_17 aisle%1:06:02:: aisle%1:06:03::
het_499_9 stirrup%1:08:00:: stir_up%2:41:00::
het_501_16 hilarious%5:00:00:humorous:00 hilariously%4:02:00::
het_502_9 eight%1:14:00:: weight%1:23:00::
het_503_14 aire%1:17:00:: eire%1:15:00::
het_504_10 evilly%4:02:00:: billy%1:06:00::
het_505_7 raisin%1:13:00:: raising%1:11:00::
het_506_19 secretive%5:00:00:uncommunicative:00 secretively%4:02:00::
het_508_11 tastefully%4:02:00:: wastefully%4:02:00::
het_509_9 wailer%1:18:00:: wail%2:32:00::
het_510_8 heir%1:18:00:: hair%1:08:00::
het_513_28 adam%1:18:00:: edam%1:13:00::
het_514_9 geek%1:18:00:: peek%1:04:00::
het_516_11 sovereign%1:18:00:: sovereignty%1:26:02::
het_517_3 bod%1:08:00:: god%1:18:01::
het_518_8 tempo%1:28:01:: temp%1:18:00::
het_519_7 guesser%1:18:00:: guess%2:32:00::
het_522_5 snead%1:18:00:: knead%2:35:00::
het_523_17 grown%5:00:00:mature:01 brown%1:06:00::
het_525_27 carat%1:23:00:: carat%1:23:02::
het_527_31 frieze%1:06:01:: freeze%1:22:01::
het_528_11 rectified%5:00:00:corrected:00 rectifier%1:06:00::
het_530_5 toller%1:18:01:: toll%2:39:00::
het_534_11 glide%1:04:00:: slide%1:04:00::
het_535_18 dice%1:06:00:: louse%1:05:01::
het_537_18 sheet%1:06:04:: sweet%1:13:01::
het_538_7 holler%2:32:05:: holler%1:17:00::
het_539_20 corse%1:15:01:: coarse%3:00:00::
het_540_14 ironical%5:00:00:incongruous:00 ironically%4:02:01::
het_542_14 heavily%4:02:04:: heaving%1:11:01::
het_543_15 grandparent%1:18:00:: transparent%5:00:00:thin:01
het_545_15 privately%4:02:00:: philately%1:04:00::
het_548_8 womb%1:08:00:: bomb%1:06:00::
het_549_7 consonance%1:10:00:: consonant%1:10:00::
het_550_7 margarine%1:13:00:: margarin%1:13:00::
het_552_11 scree%1:17:00:: screen%1:06:00::
het_553_10 inc%1:14:00:: zinc%1:27:00::
het_555_7 derangement%1:04:00:: derangement%1:26:00::
het_556_18 plane%1:06:01:: lane%1:06:01::
het_559_13 consomme%1:13:00:: console%1:06:03::
het_560_8 cheetah%1:05:00:: chetah%1:05:00::
het_561_7 to_a_fault%4:02:00:: vault%2:38:00::
het_564_23 guan%1:05:00:: yuan%1:23:00::
het_566_6 bata%1:10:00:: beta%1:10:00::
het_567_12 psalms%1:10:00:: psalm%1:10:00::
het_571_9 clay%1:27:00:: slay%2:41:00::
het_573_11 ester%1:27:00:: esteem%1:26:00::
het_574_16 espresso%1:13:00:: empress%1:18:00::
het_578_10 wait%2:31:00:: bait%1:06:00::
het_579_8 dime%1:06:00:: dime%1:21:00::
het_580_25 aare%1:17:00:: hare%1:13:00::
het_582_15 briefly%4:02:00:: brief%5:00:00:short:02
het_583_2 led%1:06:00:: bed%1:06:00::
het_584_17 negative%3:00:02:: negatively%4:02:00::
het_585_8 gathering%1:14:00:: lather%2:29:00::
het_586_12 butter%1:13:00:: abutter%1:18:00::
het_587_8 slayer%1:18:00:: slay%2:41:00::
het_589_40 prophets%1:10:00:: prophet%1:18:01::
het_595_12 ache%1:26:00:: ache%2:39:00::
het_597_32 feat%1:04:00:: beat%1:10:02::
het_600_4 eas%1:10:00:: sea%1:17:00::
het_605_14 partly%4:02:00:: tartly%4:02:00::
het_606_19 trust%1:21:03:: tryst%1:04:00::
het_607_17 cooly%1:18:00:: coolly%4:02:00::
het_608_10 clotting%1:22:00:: clothing%1:06:00::
het_609_14 bise%1:19:00:: vise%1:06:00::
het_610_64 phlox%1:20:00:: lox%1:27:00::
het_611_7 ale%1:13:00:: sale%1:10:00::
het_612_12 pointlessly%4:02:00:: pointless%3:00:00::
het_617_7 finnish%1:10:00:: finnish%3:01:00::
het_619_8 ale%1:13:00:: sale%1:04:01::
het_621_17 shucks%1:07:00:: shuck%2:30:03::
het_622_8 whiskey%1:13:00:: whisker%1:23:00::
het_624_17 charmingly%4:02:00:: charming%5:00:00:supernatural:00
het_625_2 son%1:18:01:: con%1:18:00::
het_627_18 drought%1:26:00:: draught%2:36:00::
het_628_19 offal%1:13:00:: foal%1:05:00::
het_630_10 liaison%1:10:00:: liaison%1:26:00::
het_631_12 periodically%4:02:00:: periodical%1:10:00::
het_633_9 sagely%4:02:00:: safely%4:02:00::
het_634_4 son%1:18:01:: con%2:31:00::
het_635_12 root%1:20:00:: boot%1:06:00::
het_636_8 aave%1:10:00:: wave%1:11:01::
het_639_19 author%1:18:00:: actor%1:18:00::
het_640_8 junk%1:27:00:: bunk%1:06:00::
het_643_21 certitude%1:09:00:: fortitude%1:07:00::
het_644_23 heights%1:15:00:: weight%1:07:00::
het_645_11 creek%1:17:00:: cheek%1:08:00::
het_646_8 dragon%1:18:02:: aragon%1:18:00::
het_647_12 feud%1:04:00:: feudal%3:01:00::
het_649_8 wally%1:18:00:: wanly%4:02:00::
het_651_19 nicely%4:02:00:: nicety%1:10:00::
het_652_18 succor%1:04:00:: succory%1:20:00::
het_654_4 son%1:18:01:: con%2:31:00::
het_655_14 ponder%2:31:00:: ponderer%1:18:00::
het_656_14 navel%1:08:00:: gavel%1:06:00::
het_657_16 rationally%4:02:00:: nationally%4:02:02::
het_661_10 bole%1:20:00:: sole%1:06:00::
het_662_11 descent%1:04:00:: descant%1:10:00::
het_663_10 inn%1:06:00:: finn%1:18:00::
het_665_16 streaming%5:00:00:unprocessed:00 screaming%1:10:00::
het_666_11 don%2:29:00:: con%2:31:00::
het_669_8 bawl%2:32:01:: bawler%1:18:00::
het_670_5 now%1:28:00:: bow%1:06:00::
het_672_11 bore%1:07:00:: bored%5:00:00:tired:00
het_674_15 geek%1:18:00:: geek%1:18:01::
het_675_14 samurai%1:18:00:: samurai%1:14:00::
het_676_14 stationer%1:18:00:: stationery%1:10:00::
het_678_22 crutch%1:06:00:: clutch%1:04:00::
het_681_16 deer%1:05:00:: beer%1:13:00::
het_683_11 antony%1:18:00:: wantonly%4:02:00::
het_685_16 geek%1:18:00:: leek%1:20:00::
het_686_8 glade%1:15:00:: grade%1:07:00::
het_689_11 ai%1:14:00:: hi%1:10:00::
het_691_19 bitingly%4:02:00:: biting%5:00:00:painful:00
het_692_6 adh%1:08:00:: ash%1:20:00::
het_693_12 raze%2:36:00:: craze%1:26:00::
het_698_8 spade%1:06:01:: sade%1:18:00::
het_699_9 flue%1:06:02:: flue%1:06:00::
het_703_15 berth%1:04:00:: barth%1:18:01::
het_704_7 bye%1:10:01:: dye%1:27:00::
het_706_9 soot%1:27:00:: roots%1:26:00::
het_708_15 byte%1:23:00:: bite%1:13:01::
het_709_10 ale%1:13:00:: bale%1:06:00::
het_710_20 simile%1:10:00:: simple%1:18:00::
het_711_20 fugue%1:26:01:: queue%1:14:00::
het_714_11 trenchantly%4:02:00:: trenchancy%1:07:00::
het_716_11 manor%1:21:00:: major%1:09:00::
het_717_16 pensively%4:02:00:: pensive%5:00:00:thoughtful:00
het_718_18 crony%1:18:00:: irony%1:10:01::
het_719_8 haranguer%1:18:00:: harangue%2:32:00::
het_721_16 biter%1:18:00:: liter%1:23:00::
het_722_2 son%1:18:00:: con%1:18:00::
het_723_10 bane%1:26:00:: pane%1:06:01::
het_724_8 iamb%1:10:00:: lamb%2:29:00::
het_725_12 kiln%1:06:00:: kill%2:35:00::
het_730_11 knawe%1:20:00:: knave%1:06:00::
het_731_18 brain_surgery%1:04:00:: brain%1:08:00::
het_732_16 heartlessly%4:02:00:: heartless%5:00:00:spiritless:00
het_733_7 bait%1:06:00:: wait%1:28:00::
het_735_9 heal%2:29:01:: deal%1:14:00::
het_736_11 pace%1:23:00:: peace%1:26:00::
het_737_10 raven%1:05:00:: craven%5:00:00:cowardly:00
het_740_10 aengus%1:18:00:: census%2:32:00::
het_742_17 chased%1:18:00:: phase%2:30:00::
het_743_10 manes%1:18:00:: pane%1:06:01::
het_749_30 boll%1:20:00:: sausage_roll%1:13:00::
het_750_7 persistency%1:07:00:: persistence%1:07:02::
het_751_11 0%1:23:00:: c%1:27:00::
het_753_10 finn%1:18:00:: inn%1:06:00::
het_754_8 breed%1:14:00:: bread%1:13:00::
het_755_21 minster%1:06:00:: minstrel%1:18:01::
het_756_13 corporal%5:00:00:physical:00 corporeal%3:00:00::
het_757_16 cuttingly%4:02:00:: cutting%1:20:00::
het_758_15 niece%1:18:00:: piece%1:10:01::
het_759_12 incremental%5:00:00:additive:00 increment%1:22:00::
het_760_10 seed%1:20:00:: deed%1:03:00::
het_761_15 devolution%1:22:00:: revolution%1:04:00::
het_762_2 rite%1:04:01:: orites%1:20:00::
het_763_3 wet%3:00:01:: bet%2:31:00::
het_765_2 3d%1:10:00:: cd%1:06:00::
het_768_17 brail%1:06:01:: bail%1:21:00::
het_769_8 rugger%1:04:00:: rugged%3:00:00::
het_770_13 break%2:35:05:: break%1:04:03::
het_771_11 why%1:16:00:: whey%1:27:00::
het_773_11 quarterly%3:01:00:: quarter%1:15:00::
het_775_8 veiling%1:06:00:: ceiling%1:06:00::
het_776_12 suer%1:18:00:: seer%1:18:00::
het_777_23 talien%1:15:00:: tolkien%1:18:00::
het_781_13 bawl%2:32:01:: bawler%1:18:00::
het_782_18 disjointedly%4:02:00:: disjointed%5:00:00:divided:00
het_783_16 truffle%1:20:00:: ruffle%1:06:01::
het_785_13 stael%1:18:00:: steel%1:27:00::
het_786_7 mutton%1:13:00:: button%1:06:01::
het_791_9 why%1:16:00:: whey%1:27:00::
het_793_10 intoned%5:00:00:rhythmical:00 intone%2:32:04::
het_794_11 cryptically%4:02:00:: cryptical%5:00:00:inexplicable:00
het_795_21 summarise%2:32:00:: summarise%2:42:00::
het_798_17 doily%1:06:00:: oily%5:00:00:coated:00
het_799_15 chablis%1:13:00:: chablis%1:15:00::
het_802_12 hosta%1:20:00:: costa%1:08:01::
het_803_13 wicket%1:06:00:: picket%1:04:00::
het_804_11 pail%1:06:00:: ail%1:13:00::
het_805_11 beet%1:20:00:: foot%1:06:00::
het_806_15 boringly%4:02:00:: boring%5:00:00:uninteresting:00
het_807_11 maternity%1:26:00:: paternity%1:04:00::
het_810_11 aengus%1:18:00:: census%2:32:00::
het_813_9 pass_on%2:40:01:: passion%1:12:00::
het_814_19 torte%1:13:00:: cortes%1:18:00::
het_815_17 ovum%1:08:00:: cva%1:26:00::
het_818_9 geek%1:18:00:: leek%1:20:00::
het_821_25 boot%1:06:00:: root%1:20:00::
het_822_11 pigment%1:27:00:: figment%1:09:00::
het_824_10 dryly%4:02:00:: doyly%1:06:00::
het_825_12 plaque%1:08:00:: claque%1:14:00::
het_826_10 libel%1:10:01:: label%1:27:00::
het_827_31 beet%1:20:00:: beet%1:13:00::
het_828_7 dint%1:04:00:: pint%1:23:02::
het_830_10 stonefly%1:05:00:: stonily%4:02:00::
het_832_1 pray%2:32:00:: bray%2:32:00::
het_834_20 chine%1:13:00:: whine%1:10:00::
het_837_14 absinth%1:13:00:: absinthe%1:20:00::
het_840_19 krill%1:05:00:: brill%1:05:00::
het_843_24 fist%1:08:00:: mist%2:39:00::
het_844_16 pore%1:08:00:: bore%1:18:00::
het_847_19 diddly%1:23:00:: oddly%4:02:00::
het_848_12 breed%1:14:00:: reed%1:06:00::
het_849_13 reign%1:28:01:: rein%1:06:00::
het_851_8 decant%2:38:00:: secant%1:25:00::
het_852_4 gallous%1:06:00:: callous%5:00:00:insensitive:02
het_854_21 cent%1:23:00:: bent%1:09:01::
het_855_20 simile%1:10:00:: simple%3:00:01::
het_859_12 swear%2:32:03:: score_out%2:35:00::
het_861_9 chaos%1:18:00:: chap%2:30:00::
het_863_5 bard%2:36:00:: board%2:38:00::
het_864_13 assenter%1:18:00:: assent%2:32:00::
het_867_13 meany%1:18:00:: meanly%4:02:02::
het_870_14 ade%1:13:00:: adze%1:06:00::
het_871_19 bane%1:26:00:: mane%1:05:00::
het_872_18 pacific%1:17:00:: pacifier%1:06:00::
het_874_9 ironic%5:00:00:incongruous:00 ionic%3:01:00::
