het_1_14 charge%2:38:01:: alleged%5:00:00:declared:00
het_72_4 post%1:04:00:: pasta%1:13:00::
het_73_13 gangly%5:00:00:tall:00 glowingly%4:02:00::
het_74_13 disdainfully%4:02:02:: caustically%4:02:00::
het_75_17 hair%1:23:00:: petal%1:20:00::
het_77_5 convolute%2:35:00:: knotty%5:00:00:crooked:01
het_78_7 bonus%1:21:00:: vinyl%1:27:01::
het_82_11 massive%5:00:02:large:00 rabid%3:01:00::
het_86_10 pose%2:41:00:: clothed%3:00:00::
het_87_12 regular%1:07:00:: juggler%1:18:00::
het_90_6 beat%2:41:03:: muse%2:31:00::
het_92_8 beat%2:41:03:: meat%1:09:00::
het_94_7 pop%2:38:00:: bubble%2:30:01::
het_95_19 bear%2:40:02:: shoulder%2:35:01::
het_96_9 soften%2:39:00:: cotton%1:20:00::
het_99_12 income%1:21:00:: source%1:15:00::
het_100_7 larger%5:00:00:large:00 lion%1:05:00::
het_101_16 affect%2:42:00:: seriously%4:02:01::
het_102_6 scale%1:24:00:: mail%1:10:01::
het_104_5 tempo%1:28:00:: pensive%5:00:00:thoughtful:00
het_106_15 wretch%1:18:01:: cur%1:05:00::
het_107_8 ream%1:23:01:: esteem%1:26:00::
het_108_14 frequency%1:28:00:: easily%4:02:01::
het_111_8 protrude%2:30:00:: gilt%5:00:00:chromatic:00
het_112_11 epilation%1:22:00:: rogaine%1:06:00::
het_113_13 salute%2:32:01:: compliment%1:10:00::
het_116_7 shape%2:36:00:: redaction%1:10:00::
het_117_31 dwarf%1:18:00:: iris%1:08:00::
het_119_7 run%2:30:03:: son%1:18:01::
het_121_15 message%1:10:00:: cue%1:10:00::
het_122_7 hair%1:23:00:: mane%1:05:00::
het_123_15 mountain%1:23:00:: boulder%1:17:00::
het_124_12 mark%1:09:01:: pigeon%1:05:00::
het_125_7 post%1:04:00:: pest%1:26:01::
het_126_40 rum%5:00:00:strange:00 roomer%1:18:00::
het_129_12 hard%5:00:00:strong:00 doggedly%4:02:00::
het_131_17 strategy%1:09:00:: philately%1:04:00::
het_133_9 work%2:30:10:: taut%5:00:00:tense:01
het_134_16 beat%2:41:03:: feat%1:04:00::
het_137_24 important%3:00:00:: pore%2:31:00::
het_138_18 hair%1:23:00:: foliage%1:20:00::
het_140_14 relationship%1:24:00:: synergy%1:22:00::
het_141_6 tensor%1:09:00:: cosine%1:24:00::
het_145_14 glare%2:39:01:: bellow%2:32:00::
het_148_5 disdainfully%4:02:02:: flippantly%4:02:00::
het_149_7 questioningly%4:02:00:: reflectively%4:02:00::
het_150_9 bear%2:40:02:: pier%1:06:00::
het_153_13 flake%2:35:02:: steak%1:13:00::
het_154_15 craftily%4:02:00:: cannily%4:02:00::
het_156_2 spray%1:23:00:: pistol%1:06:00::
het_157_4 employ%2:34:00:: freud%1:18:00::
het_158_7 hiss%2:38:00:: yammer%2:32:01::
het_159_13 colossal%5:00:01:large:00 hostel%1:06:01::
het_162_5 beat%2:41:03:: suite%1:10:00::
het_165_18 regular%1:07:00:: periodically%4:02:00::
het_166_26 classical%1:10:00:: capitol%1:06:01::
het_168_10 lie%2:38:00:: monet%1:18:00::
het_172_20 great%5:00:01:large:00 grate%1:06:00::
het_174_7 puny%5:00:00:small:00 weak%3:00:00::
het_177_7 habit%1:22:00:: granite%1:27:00::
het_179_17 accept%2:40:01:: uphold%2:42:00::
het_181_23 agency%1:14:00:: gracefully%4:02:01::
het_183_14 ti%1:10:00:: tee%1:15:00::
het_184_9 turn%2:35:11:: mourning%1:26:00::
het_185_13 fit%2:42:04:: kitten%1:05:00::
het_186_20 swell%2:30:02:: sheik%1:18:01::
het_187_18 loud%3:00:00:: painfully%4:02:00::
het_188_17 full%5:00:00:high:02 pullet%1:13:00::
het_189_10 reflex%1:04:00:: reflux%1:26:00::
het_193_15 be%2:42:03:: boo%1:10:00::
het_195_11 salute%2:32:01:: mourn%2:37:01::
het_196_13 cosmic%5:00:00:large:00 comet%1:17:00::
het_197_6 increase%1:11:00:: peace%1:26:00::
het_200_17 haughtily%4:02:00:: sagely%4:02:00::
het_201_7 present%2:32:03:: descent%1:04:00::
het_202_7 hair%1:23:00:: bare%5:00:00:unadorned:00
het_203_9 nip%1:23:00:: drip%2:38:00::
het_204_12 quadruped%1:05:00:: gnu%1:05:00::
het_206_12 sound%2:39:01:: ambiance%1:26:00::
het_208_9 chart%1:10:00:: chant%2:32:01::
het_209_17 pace%1:28:01:: bass%1:07:01::
het_213_9 stock%1:21:00:: wok%1:06:00::
het_216_10 plot%1:09:00:: coup%1:04:00::
het_217_10 enormous%5:00:00:large:00 porpoise%1:05:00::
het_218_9 cycle%1:28:02:: phase%1:28:00::
het_219_11 hair%1:23:00:: fare%1:13:00::
het_221_14 support%2:41:00:: role%1:04:00::
het_222_22 great%5:00:01:large:00 grater%1:06:00::
het_223_7 cheat%2:41:00:: foul%1:04:01::
het_224_9 hair%1:23:00:: dyed%5:00:00:artificial:00
het_227_11 weak%5:00:00:perceptible:00 geek%1:18:00::
het_228_11 highly%4:02:01:: gaily%4:02:00::
het_229_8 scale%1:24:00:: sail%1:06:00::
het_231_11 grain%2:30:01:: cereal%1:20:00::
het_234_9 beat%2:41:03:: patience%1:04:01::
het_235_11 cittern%1:06:00:: lute%1:06:00::
het_239_7 lie%2:38:00:: pi%1:06:00::
het_240_5 bunch%2:35:00:: herd%1:14:00::
het_244_12 distension%1:04:00:: engorgement%1:26:00::
het_246_11 go%2:30:04:: write%2:36:00::
het_247_20 go%2:30:04:: doe%1:14:00::
het_248_11 nobly%4:02:00:: piously%4:02:01::
het_249_13 plight%2:32:00:: apatite%1:27:00::
het_250_9 speed%1:28:00:: spade%1:06:01::
het_251_20 knockout%5:00:00:strong:00 wilde%1:18:00::
het_252_13 haughtily%4:02:00:: officiously%4:02:00::
het_253_22 tons%1:23:00:: weight%1:23:00::
het_257_12 lark%2:38:00:: bark%2:30:00::
het_258_9 constant%1:09:00:: confidant%1:18:00::
het_259_15 tremendous%5:00:00:large:00 census%2:32:00::
het_261_26 issue%1:19:00:: fissure%1:17:00::
het_263_10 simply%4:02:03:: grizzly%5:00:00:old:02
het_264_9 dab%1:23:00:: lapp%1:10:00::
het_265_10 deposit%1:17:00:: loess%1:27:00::
het_267_12 negativity%1:07:03:: negatively%4:02:00::
het_268_15 stock%1:21:00:: broth%1:13:01::
het_276_6 raise%2:37:08:: graze%2:35:10::
het_277_22 bigger%5:00:00:large:00 bold%3:00:00::
het_278_12 plurality%1:23:01:: diplomatically%4:02:00::
het_282_6 lark%2:38:00:: marx%1:18:00::
het_283_19 batter%2:30:00:: bat%1:05:00::
het_284_14 twist%2:35:02:: daze%2:39:01::
het_285_11 far%5:00:00:long:01 farce%1:10:00::
het_287_4 plant%1:09:00:: garden%1:06:00::
het_288_8 mountain%1:23:00:: gorge%1:08:00::
het_289_12 sing%2:36:00:: hymn%2:32:00::
het_292_7 hair%1:23:00:: flare%1:19:01::
het_293_1 lend%2:40:01:: abstinence%1:04:00::
het_294_22 raise%2:37:08:: fray%1:04:00::
het_296_8 deal%1:23:00:: steal%2:40:00::
het_298_17 start%2:41:00:: staring%5:00:00:unmitigated:00
het_300_8 pop%2:38:00:: symphony%1:10:00::
het_302_20 work%2:30:10:: dirk%1:06:00::
het_303_8 lank%5:00:00:long:01 stink%2:42:00::
het_305_8 die%2:35:00:: bravely%4:02:00::
het_306_16 plainly%4:02:00:: lamely%4:02:00::
het_308_31 bear%2:40:02:: soar%2:38:01::
het_311_14 decrease%2:30:00:: yeast%1:27:00::
het_312_8 granulate%2:30:01:: granulated%5:00:00:coarse:00
het_313_17 flake%2:35:02:: haik%1:06:00::
het_314_3 jazz%1:10:00:: soul%1:03:00::
het_315_9 attitude%1:07:01:: barbarous%5:00:00:inhumane:00
het_316_11 scale%1:24:00:: pail%1:06:00::
het_318_12 bead%2:42:00:: bait%2:32:00::
het_320_6 wad%1:23:00:: sod%1:17:00::
het_322_12 turn%2:35:11:: tone_up%2:29:00::
het_323_12 secure%2:40:01:: promise%2:32:02::
het_324_6 break%2:30:04:: riot%1:04:00::
het_325_7 be%2:42:03:: c%1:27:00::
het_326_11 fall%2:30:11:: mall%1:06:01::
het_328_3 gospel%1:10:03:: praise%2:32:00::
het_329_8 intensity%1:07:02:: weakened%5:00:00:damaged:00
het_331_10 pole%1:23:01:: poodle%1:05:00::
het_332_18 flow%1:28:00:: mow%1:06:00::
het_333_11 package%1:10:00:: parish%1:15:00::
het_334_11 princely%5:00:00:rich:03 taxis%1:04:00::
het_335_25 cycle%1:28:02:: breath%1:04:00::
het_336_14 attenuate%2:30:00:: lessen%2:30:00::
het_337_12 settle%2:30:05:: peddle%2:40:00::
het_338_9 patronize%2:40:00:: why%1:16:00::
het_341_13 far%5:00:00:long:01 lumbar%3:01:00::
het_342_10 largish%5:00:00:large:00 varnish%1:06:00::
het_345_17 determine%2:32:05:: grimly%4:02:00::
het_350_11 plight%2:32:00:: white%1:18:00::
het_351_38 mite%1:23:00:: fowl%1:05:00::
het_353_14 constellation%1:09:00:: meteor%1:17:00::
het_354_7 mean%5:00:00:normal:01 maine%1:15:00::
het_356_14 pace%1:28:01:: handy%5:00:00:convenient:00
het_357_18 hair%1:23:00:: fare%1:13:00::
het_358_10 splatter%1:23:00:: platter%1:06:01::
het_360_10 cheaply%4:02:00:: sheepishly%4:02:00::
het_362_13 couple%1:23:01:: pair%1:23:00::
het_363_8 body%1:14:00:: bidder%1:18:00::
het_364_11 tremendous%5:00:00:large:00 census%2:32:00::
het_365_16 still%2:37:01:: jung%1:18:00::
het_366_25 stratagem%1:09:00:: feint%1:04:00::
het_369_8 strongly%4:02:01:: flatly%4:02:00::
het_370_33 fall%2:30:11:: belle%1:18:00::
het_374_9 way%1:09:01:: loathe%2:37:00::
het_375_20 humor%1:10:00:: humerus%1:08:00::
het_377_19 get%2:30:00:: wanton%2:42:01::
het_379_9 rum%5:00:00:strange:00 roomer%1:18:00::
het_380_16 rob%2:40:01:: fleece%1:27:01::
het_381_12 fatuously%4:02:00:: loftily%4:02:00::
het_382_21 building%1:06:00:: razing%1:11:00::
het_384_10 model%2:39:01:: bridle%1:06:00::
het_386_8 soak%2:40:00:: baroque%3:01:00::
het_387_16 pot%1:23:01:: kiln%1:06:00::
het_388_14 attempt%2:41:00:: bellicose%5:00:00:aggressive:00
het_389_18 period%1:28:00:: sirius%1:17:00::
het_391_17 disproportional%3:00:00:: grossly%4:02:00::
het_393_8 run%2:30:03:: mutton%1:13:00::
het_394_15 contend%2:33:01:: contentedly%4:02:00::
het_396_12 bear%2:40:02:: urn%1:06:01::
het_398_8 con%2:41:00:: cornea%1:08:00::
het_399_4 reckon%2:31:01:: peddling%1:04:00::
het_400_17 cello%1:06:00:: gecko%1:05:00::
het_405_8 try%2:41:00:: wade%2:38:00::
het_406_19 efficiency%1:24:00:: wistfully%4:02:00::
het_408_10 scale%1:24:00:: bale_out%2:30:00::
het_409_11 common%3:00:01:: stalin%1:18:00::
het_410_16 mph%1:28:01:: slowly%4:02:02::
het_411_15 extraordinary%3:00:00:: stationery%1:10:00::
het_415_13 slyly%4:02:00:: saucily%4:02:01::
het_416_4 blessing%1:04:01:: grace%2:36:00::
het_417_18 display%2:39:00:: canvas%1:06:03::
het_418_19 bear%2:40:02:: oar%1:06:00::
het_419_14 run%2:30:03:: son%1:18:01::
het_420_15 pot%1:23:01:: ante%1:21:00::
het_421_15 ukulele%1:06:00:: gravy%1:13:01::
het_424_12 fervor%1:12:00:: whirl%2:38:01::
het_426_15 callas%1:18:00:: callus%1:26:01::
het_427_29 picture%1:10:02:: footage%1:06:00::
het_428_8 beat%2:41:03:: butt%2:35:00::
het_429_12 be%2:42:03:: bough%1:20:00::
het_430_5 rate%1:24:00:: alarmingly%4:02:00::
het_431_11 spell%1:28:01:: sparingly%4:02:00::
het_434_3 fourth%5:00:00:ordinal:00 4th%5:00:00:ordinal:00
het_435_32 scale%1:24:00:: tail%1:05:00::
het_440_13 faintly%4:02:00:: vainly%4:02:00::
het_442_12 rev%1:28:00:: principal%1:21:02::
het_444_6 dwarf%1:18:00:: disney%1:18:00::
het_445_11 hair%1:23:00:: bare%5:00:00:unpainted:00
het_446_28 million%1:23:01:: bullion%1:06:00::
het_450_11 inanely%4:02:00:: monotonously%4:02:00::
het_451_15 pace%1:28:01:: gait%1:04:01::
het_453_10 run%2:30:03:: rune%1:10:00::
het_454_16 indistinct%3:00:00:: obtusely%4:02:00::
het_457_9 mass%1:07:01:: swarm%1:14:01::
het_458_12 swell%2:30:02:: omen%2:32:00::
het_459_16 agency%1:14:00:: patiently%4:02:00::
het_460_1 scintilla%1:23:00:: guerrilla%1:18:00::
het_461_10 decrease%1:07:00:: greece%1:15:00::
het_464_10 protrude%2:30:00:: fang%1:05:02::
het_467_5 lead%2:41:00:: influential%3:00:00::
het_468_19 act%2:36:00:: tack%1:06:01::
het_469_13 wear%2:29:01:: innocuous%5:00:00:inoffensive:01
het_471_16 behave%2:29:00:: phase%2:30:00::
het_473_9 return%1:21:00:: gladly%4:02:00::
het_477_3 take%2:38:00:: seize%2:35:00::
het_478_14 hesitantly%4:02:00:: guiltily%4:02:00::
het_479_15 reduction%1:04:02:: russian%1:18:00::
het_480_17 draw%2:30:00:: caw%2:32:00::
het_481_32 guardian%1:18:00:: prince%1:18:00::
het_483_2 deep%5:00:00:large:00 waist%1:06:00::
het_485_11 sea%1:23:00:: naval%3:01:00::
het_486_15 die%2:35:00:: mussel%1:13:00::
het_488_15 work%2:30:10:: torque%1:19:00::
het_489_21 bear%2:40:02:: corps%1:14:00::
het_491_5 gravity%1:19:00:: crotchety%5:00:00:ill-natured:00
het_492_8 disproportional%3:00:00:: grossly%4:02:00::
het_493_13 be%2:42:03:: dam%1:06:00::
het_494_7 draw%2:30:00:: clause%1:10:01::
het_496_5 sense%1:09:06:: illusion%1:04:02::
het_497_5 humor%1:10:00:: humerus%1:08:00::
het_498_17 lobby%1:14:00:: aisle%1:06:03::
het_499_9 square_up%2:32:00:: stirrup%1:08:00::
het_501_16 curiously%4:02:01:: hilariously%4:02:00::
het_502_9 tons%1:23:00:: weight%1:23:00::
het_503_14 act%2:36:00:: eire%1:15:00::
het_504_10 frequency%1:28:00:: evilly%4:02:00::
het_505_7 rise%2:38:00:: raisin%1:13:00::
het_506_19 craftily%4:02:00:: secretively%4:02:00::
het_508_11 cadency%1:07:00:: wastefully%4:02:00::
het_509_9 yelled%5:00:00:loud:00 wail%2:32:00::
het_510_8 bear%2:40:02:: heir%1:18:00::
het_513_28 form%2:30:05:: edam%1:13:00::
het_514_9 pack%1:23:00:: peek%1:04:00::
het_516_11 power%1:07:00:: sovereignty%1:26:02::
het_517_3 wad%1:23:00:: god%1:18:01::
het_518_8 rate%1:24:00:: tempo%1:28:01::
het_519_7 suppose%2:31:06:: guess%2:32:00::
het_520_20 strategy%1:09:00:: philately%1:04:00::
het_522_5 accede%2:41:00:: knead%2:35:00::
het_523_17 swell%2:30:02:: grown%5:00:00:mature:01
het_524_17 rum%5:00:00:strange:00 roomer%1:18:00::
het_525_27 paris%1:15:00:: carat%1:23:00::
het_527_31 mold%2:36:01:: frieze%1:06:01::
het_528_11 permutation%1:11:00:: rectified%5:00:00:corrected:00
het_530_5 manifold%1:14:00:: toll%2:39:00::
het_534_11 slump%2:38:01:: slide%1:04:00::
het_535_18 mite%1:23:00:: louse%1:05:01::
het_537_18 taste%1:13:00:: sweet%1:13:01::
het_538_7 tall%3:00:00:: holler%2:32:05::
het_539_20 grain%2:30:01:: coarse%3:00:00::
het_540_14 ironic%5:00:00:incongruous:00 ironically%4:02:01::
het_542_14 involve%2:42:01:: heavily%4:02:04::
het_543_15 second%5:00:00:ordinal:00 transparent%5:00:00:obvious:00
het_545_15 company%1:14:01:: privately%4:02:00::
het_548_8 fume%2:29:00:: womb%1:08:00::
het_549_7 constant%1:09:00:: consonant%1:10:00::
het_550_7 shorten%2:30:00:: margarine%1:13:00::
het_552_11 routine%1:04:00:: screen%2:41:00::
het_553_10 rethink%2:31:00:: zinc%1:27:00::
het_554_10 hoodwink%2:41:00:: bamboozle%2:32:00::
het_555_7 discernment%1:09:01:: derangement%1:04:00::
het_556_18 attain%2:38:01:: plane%1:06:01::
het_559_13 come_on%2:30:02:: consomme%1:13:00::
het_560_8 fetus%1:05:00:: cheetah%1:05:00::
het_561_7 fault%1:07:01:: vault%2:38:00::
het_564_23 take_on%2:41:01:: yuan%1:23:00::
het_566_6 iota%1:23:00:: beta%1:10:00::
het_567_12 con%2:41:00:: psalms%1:10:00::
het_571_9 lie%2:38:00:: slay%2:41:00::
het_573_11 ream%1:23:01:: esteem%2:31:01::
het_574_16 go%2:30:04:: espresso%1:13:00::
het_578_10 minute%5:00:00:small:00 wait%2:31:00::
het_579_8 prim%2:30:01:: dim%2:30:04::
het_580_25 bear%2:40:02:: hare%1:13:00::
het_582_15 short%3:00:03:: briefly%4:02:00::
het_583_2 lead%2:41:00:: led%1:06:00::
het_584_17 negativity%1:07:03:: negatively%4:02:00::
het_585_8 soak%2:40:00:: lather%2:29:00::
het_586_12 bundle%2:35:03:: butter%1:13:00::
het_587_8 play%2:36:02:: slay%2:41:00::
het_589_40 posit%2:31:00:: prophet%1:18:01::
het_592_13 jack%1:23:00:: bough%1:20:00::
het_593_21 period%1:28:00:: sirius%1:17:00::
het_595_12 beat%2:41:03:: ache%1:26:00::
het_597_32 beat%2:41:03:: feat%1:04:00::
het_600_4 ocean%1:23:00:: sea%1:17:00::
het_605_14 slyly%4:02:00:: tartly%4:02:00::
het_606_19 la%1:10:00:: tryst%1:14:00::
het_607_17 puny%5:00:00:small:00 coolly%4:02:00::
het_608_10 ocean%1:23:00:: clothing%1:06:00::
het_609_14 mite%1:23:00:: vise%1:06:00::
het_610_64 flock%1:23:00:: phlox%1:20:00::
het_611_7 scale%1:24:00:: sale%1:10:00::
het_612_12 inanely%4:02:00:: pointlessly%4:02:00::
het_617_7 diminish%2:30:00:: finnish%3:01:00::
het_618_11 blase%5:00:00:unconcerned:00 sunday%1:28:00::
het_619_8 scale%1:24:00:: sale%1:04:01::
het_621_17 flux%1:28:00:: shucks%1:07:00::
het_622_8 whisker%1:23:00:: whiskey%1:13:00::
het_624_17 harmony%1:10:01:: charmingly%4:02:00::
het_625_2 run%2:30:03:: son%1:18:01::
het_627_18 condition%1:26:00:: drought%1:26:00::
het_628_19 portal%1:06:01:: offal%1:13:00::
het_629_7 employ%2:34:00:: alloy%1:27:00::
het_630_10 don%2:29:00:: liaison%1:10:00::
het_631_12 regular%1:07:00:: periodically%4:02:00::
het_633_9 haughtily%4:02:00:: sagely%4:02:00::
het_634_4 run%2:30:03:: son%1:18:01::
het_635_12 integer%1:23:00:: root%1:20:00::
het_636_8 vector%1:09:00:: wave%1:11:01::
het_638_7 content%1:24:00:: condiment%1:13:00::
het_639_19 composer%1:18:00:: author%1:18:00::
het_640_8 pile%1:23:00:: junk%1:27:00::
het_643_21 magnitude%1:24:00:: fortitude%1:07:00::
het_644_23 loads%1:23:00:: weight%1:07:00::
het_645_11 mouth%2:32:00:: creek%1:17:00::
het_646_8 long%3:00:01:: dragon%1:18:02::
het_647_12 modal%3:01:01:: feudal%3:01:00::
het_649_8 wanly%4:02:00:: wanly%4:02:00::
het_651_19 hook%2:40:02:: nicely%4:02:00::
het_652_18 relief%1:26:00:: succor%1:04:00::
het_653_17 go%2:30:04:: beau%1:18:00::
het_654_4 run%2:30:03:: son%1:18:01::
het_655_14 order%1:07:01:: ponder%2:31:00::
het_656_14 table%1:14:01:: navel%1:08:00::
het_657_16 strategy%1:09:00:: rationally%4:02:00::
het_661_10 simply%4:02:03:: sole%1:06:00::
het_662_11 present%2:32:03:: descent%1:04:00::
het_663_10 unit%1:23:00:: inn%1:06:00::
het_665_16 loud%3:00:00:: screaming%1:10:00::
het_666_11 take_on%2:41:01:: don%2:29:00::
het_667_14 act%2:36:00:: miner%1:18:00::
het_669_8 bail%2:32:00:: bawl%2:32:01::
het_670_5 just%4:02:03:: now%1:28:00::
het_672_11 chord%2:36:00:: bored%5:00:00:tired:00
het_674_15 weak%5:00:00:perceptible:00 geek%1:18:00::
het_675_14 patronize%2:40:00:: samurai%1:18:00::
het_676_14 extraordinary%3:00:00:: stationery%1:10:00::
het_678_22 walk%2:38:00:: crutch%1:06:00::
het_681_16 bear%2:40:02:: deer%1:05:00::
het_683_11 property%1:07:00:: wantonly%4:02:00::
het_684_20 roost%2:30:00:: burrow%1:17:00::
het_685_16 chic%5:00:00:stylish:00 leek%1:20:00::
het_686_8 order%1:07:01:: grade%1:07:00::
het_689_11 lie%2:38:00:: hi%1:10:00::
het_691_19 characteristically%4:02:00:: bitingly%4:02:00::
het_692_6 ground%1:17:00:: ash%2:30:00::
het_693_12 present%2:32:03:: raze%2:36:00::
het_694_4 accusation%1:10:00:: misconception%1:09:00::
het_698_8 speed%1:28:00:: spade%1:06:01::
het_699_9 stack%1:23:00:: flue%1:06:00::
het_703_15 spot%1:23:00:: berth%1:04:00::
het_704_7 lie%2:38:00:: dye%1:27:00::
het_706_9 foot%1:23:00:: soot%1:27:00::
het_708_15 chunk%1:23:00:: byte%1:23:00::
het_709_10 scale%1:24:00:: bale%1:06:00::
het_710_20 poem%1:10:00:: simile%1:10:00::
het_711_20 view%2:31:00:: queue%1:14:00::
het_714_11 astutely%4:02:00:: trenchantly%4:02:00::
het_716_11 matter%1:09:00:: manor%1:21:00::
het_717_16 entity%1:03:00:: pensively%4:02:00::
het_718_18 variety%1:09:01:: irony%1:10:01::
het_719_8 term%1:09:00:: harangue%2:32:00::
het_721_16 light%3:00:07:: liter%1:23:00::
het_722_2 run%2:30:03:: son%1:18:00::
het_723_10 display%2:39:00:: pane%1:06:01::
het_724_8 scam%1:04:00:: lamb%2:29:00::
het_725_12 pot%1:23:01:: kiln%1:06:00::
het_730_11 behave%2:29:00:: knave%1:06:00::
het_731_18 pipe%1:06:04:: drain%1:06:00::
het_732_16 doubtlessly%4:02:00:: heartlessly%4:02:00::
het_733_7 minute%5:00:00:small:00 wait%1:28:00::
het_735_9 deal%1:23:00:: heal%2:29:01::
het_736_11 increase%1:11:00:: peace%1:26:00::
het_737_10 heavyweight%1:18:03:: raven%1:05:00::
het_740_10 tremendous%5:00:00:large:00 census%2:32:00::
het_742_17 behave%2:29:00:: phase%2:30:00::
het_743_10 pace%1:28:01:: pane%1:06:01::
het_746_13 sea%1:23:00:: seaman%1:18:00::
het_749_30 shape%2:36:00:: sausage_roll%1:13:00::
het_750_7 memory%1:09:01:: persistence%1:07:02::
het_751_11 be%2:42:03:: c%1:27:02::
het_752_15 runt%1:18:00:: aunt%1:18:00::
het_753_10 unit%1:23:00:: inn%1:06:00::
het_754_8 accede%2:41:00:: breed%1:14:00::
het_755_21 racist%1:18:00:: minstrel%1:18:01::
het_756_13 battalion%1:23:00:: corporal%5:00:00:physical:00
het_757_16 cunningly%4:02:00:: cuttingly%4:02:00::
het_758_15 increase%1:11:00:: piece%1:10:01::
het_759_12 monumental%5:00:00:large:00 incremental%5:00:00:additive:00
het_760_10 grain%2:30:01:: seed%1:20:00::
het_761_15 change%1:24:00:: revolution%1:04:00::
het_762_2 mite%1:23:00:: rite%1:04:01::
het_763_3 soak%2:40:00:: wet%3:00:01::
het_764_11 remove%2:30:00:: remora%1:05:00::
het_765_2 be%2:42:03:: cd%1:06:00::
het_768_17 scale%1:24:00:: brail%1:06:01::
het_769_8 mountain%1:23:00:: rugged%3:00:00::
het_770_13 die%2:35:00:: break%2:35:05::
het_771_11 lie%2:38:00:: whey%1:27:00::
het_773_11 cover%2:32:00:: quarterly%3:01:00::
het_775_8 fill%2:41:00:: ceiling%1:06:00::
het_776_12 sic%2:33:00:: suer%1:18:00::
het_777_23 fantasy%1:09:01:: tolkien%1:18:00::
het_781_13 bail%2:32:00:: bawl%2:32:01::
het_782_18 disjoint%2:35:01:: disjointedly%4:02:00::
het_783_16 bubble%1:09:01:: truffle%1:20:00::
het_785_13 deal%1:23:00:: steel%1:27:00::
het_786_7 run%2:30:03:: mutton%1:13:00::
het_791_9 lie%2:38:00:: whey%1:27:00::
het_793_10 scale%1:24:00:: intoned%5:00:00:rhythmical:00
het_794_11 order%1:07:01:: cryptically%4:02:00::
het_795_21 present%2:32:03:: summarise%2:32:00::
het_798_17 slick%5:00:00:artful:00 oily%5:00:00:coated:00
het_799_15 be%2:42:03:: chablis%1:13:00::
het_802_12 plant%1:09:00:: hosta%1:20:00::
het_803_13 gimmick%1:04:00:: wicket%1:06:00::
het_804_11 scale%1:24:00:: pail%1:06:00::
het_805_11 toe%2:38:00:: foot%1:06:00::
het_806_15 daringly%4:02:00:: boringly%4:02:00::
het_807_11 fertility%1:28:00:: maternity%1:26:00::
het_810_11 tremendous%5:00:00:large:00 census%2:32:00::
het_813_9 fervor%1:12:00:: passion%1:12:00::
het_814_19 distort%2:35:01:: torte%1:13:00::
het_815_17 soma%1:08:00:: ovum%1:08:00::
het_818_9 chic%5:00:00:stylish:00 leek%1:20:00::
het_821_25 integer%1:23:00:: root%1:20:00::
het_822_11 indifferent%5:00:00:unconcerned:00 pigment%1:27:00::
het_824_10 slyly%4:02:00:: dryly%4:02:00::
