het_1_14	allege%2:32:00::	alleged%5:00:00:declared:00
het_331_10	poodle%1:05:00::	boodle%1:04:00::
het_332_18	mow%2:35:00::	now%4:02:05::
het_333_11	parish%1:14:00::	paris%1:15:00::
het_334_11	taxi%1:06:00::	tax%1:21:00::
het_335_25	breath%1:04:00::	breathe%2:29:00::
het_336_14	lessen%2:30:00::	lesser%3:00:00::
het_337_12	peddle%2:40:00::	peddler%1:18:00::
het_338_9	why%1:16:00::	way%1:07:01::
het_341_13	lumbar%3:01:00::	lumber%1:27:00::
het_342_10	varnish%1:06:00::	vanish%2:30:00::
het_345_17	grimly%4:02:00::	primly%4:02:00::
het_350_11	white%3:00:01::	write%2:36:00::
het_351_38	fowl%1:05:00::	fool%1:18:00::
het_353_14	meteor%1:17:00::	meter%1:23:00::
het_354_7	maine%1:15:00::	mine%1:06:01::
het_356_14	handy%1:18:00::	hand%1:08:00::
het_357_18	fare%1:09:00::	face%1:08:00::
het_358_10	platter%1:06:00::	latter%3:00:00::
het_360_10	sheepishly%4:02:00::	sheepish%5:00:00:ashamed:00
het_362_13	pair%1:14:01::	hair%1:08:00::
het_363_8	bidder%1:18:00::	binder%1:06:03::
het_364_11	census%1:04:00::	ensue%2:42:00::
het_365_16	jung%1:18:00::	lung%1:08:00::
het_366_25	feint%2:36:00::	faint%2:29:00::
het_369_8	flatly%4:02:00::	lately%4:02:00::
het_370_33	belle%1:18:00::	bell%1:06:00::
het_374_9	loathe%2:37:00::	lathe%1:06:00::
het_375_20	humerus%1:08:00::	humorous%3:00:00::
het_377_19	wanton%1:18:00::	canton%1:15:00::
het_379_9	roomer%1:18:00::	roofer%1:18:00::
het_380_16	fleece%1:05:00::	fleecy%5:00:00:soft:01
het_381_12	loftily%4:02:00::	softly%4:02:00::
het_382_21	raze%2:36:00::	rate%1:28:00::
het_384_10	bridle%1:06:00::	bridge%1:06:00::
het_386_8	baroque%1:07:00::	barque%1:06:00::
het_387_16	kiln%1:06:00::	kill%2:35:00::
het_388_14	bellicose%5:00:00:aggressive:00	bell_cote%1:06:00::
het_389_18	sirius%1:17:00::	siris%1:20:00::
het_391_17	grossly%4:02:00::	crossly%4:02:00::
het_393_8	mutton%1:13:00::	button%1:06:00::
het_394_15	contentedly%4:02:00::	contented%3:00:00::
het_396_12	urn%1:06:00::	turn%2:38:00::
het_398_8	cornea%1:08:00::	corner%1:15:02::
het_399_4	peddle%2:40:00::	peddler%1:18:00::
het_400_17	gecko%1:05:00::	neck%1:08:00::
het_405_8	wade%2:38:00::	wage%1:21:00::
het_406_19	wistfully%4:02:00::	wishfully%4:02:00::
het_408_10	bale%1:06:00::	base%2:31:00::
het_409_11	stalin%1:18:00::	stain%2:30:01::
het_410_16	slowly%4:02:02::	lowly%5:00:00:inferior:01
het_411_15	stationery%1:10:00::	stationary%5:00:00:fixed:00
het_415_13	saucily%4:02:01::	paucity%1:07:01::
het_416_4	grace%1:07:01::	grade%1:14:00::
het_417_18	canvas%1:06:00::	canvass%2:41:01::
het_418_19	oar%1:06:00::	war%1:04:00::
het_419_14	son%1:18:00::	so%4:02:02::
het_420_15	ante%1:21:00::	anti%3:00:00::
het_421_15	gravy%1:11:00::	gray%1:07:00::
het_424_12	whirl%2:38:01::	whir%1:11:00::
het_426_15	callus%1:20:00::	gallus%1:06:00::
het_427_29	footage%1:06:00::	rootage%1:15:00::
het_428_8	butt%2:35:02::	putt%2:35:00::
het_429_12	bough%1:20:00::	rough%3:00:00::
het_430_5	alarmingly%4:02:00::	alarming%3:00:00::
het_431_11	sparingly%4:02:00::	daringly%4:02:00::
het_434_3	th%1:27:00::	tsh%1:27:00::
het_435_32	tail%1:05:00::	tall%3:00:00::
het_440_13	vainly%4:02:00::	mainly%4:02:00::
het_442_12	principal%1:21:01::	principle%1:09:03::
het_444_6	disney%1:18:00::	dinner%1:13:00::
het_445_11	bare%2:35:00::	base%2:31:00::
het_446_28	bullion%1:06:00::	billion%1:23:01::
het_450_11	monotonously%4:02:00::	monotonous%5:00:00:dull:03
het_451_15	gait%1:28:00::	wait%2:42:00::
het_453_10	rune%1:10:00::	run%2:38:00::
het_454_16	obtusely%4:02:00::	obtuse%3:00:00::
het_457_9	swarm%2:38:00::	warm%3:00:01::
het_458_12	omen%1:11:00::	open%2:35:00::
het_459_16	patiently%4:02:00::	patently%4:02:00::
het_460_1	guerrilla%1:18:00::	guerilla%1:18:00::
het_461_10	greece%1:15:00::	greene%1:18:00::
het_464_10	fang%1:05:00::	hang%2:35:03::
het_467_5	influential%3:00:00::	inferential%3:01:00::
het_468_19	tack%2:35:00::	talk%2:32:01::
het_469_13	innocuous%3:00:00::	innoxious%5:00:00:innocuous:00
het_471_16	phase%1:28:00::	chase%2:38:00::
het_473_9	gladly%4:02:00::	lady%1:18:02::
het_477_3	seize%2:35:00::	size%1:07:00::
het_478_14	guiltily%4:02:00::	guilty%3:00:00::
het_479_15	russian%3:01:00::	russia%1:15:00::
het_480_17	caw%2:32:00::	car%1:06:00::
het_481_32	prince%1:18:00::	price%1:07:00::
het_483_2	waist%1:08:00::	wait%2:42:00::
het_485_11	naval%3:01:00::	navel%1:08:00::
het_486_15	mussel%1:05:00::	musset%1:18:00::
het_488_15	torque%1:19:00::	toque%1:06:00::
het_489_21	corps%1:14:00::	corpse%1:08:00::
het_491_5	crotchety%5:00:00:ill-natured:00	crotchet%1:06:00::
het_492_8	grossly%4:02:00::	crossly%4:02:00::
het_493_13	dam%1:06:00::	day%1:28:00::
het_494_7	clause%1:10:00::	cause%2:36:00::
het_496_5	illusion%1:09:01::	allusion%1:10:00::
het_497_5	humerus%1:08:00::	humorous%3:00:00::
het_498_17	aisle%1:06:00::	isle%1:17:00::
het_499_9	stirrup%1:06:00::	stir_up%2:35:00::
het_501_16	hilariously%4:02:00::	hilarious%5:00:00:humorous:00
het_502_9	weight%1:07:00::	weigh%2:42:01::
het_503_14	eire%1:15:00::	fire%1:11:00::
het_504_10	evilly%4:02:00::	evil%3:00:00::
het_505_7	raisin%1:13:00::	raising%1:11:00::
het_506_19	secretively%4:02:00::	secretive%5:00:00:uncommunicative:00
het_508_11	wastefully%4:02:00::	tastefully%4:02:00::
het_509_9	wail%2:32:00::	wait%2:42:00::
het_510_8	heir%1:18:00::	hear%2:39:00::
het_513_28	edam%1:13:00::	adam%1:18:00::
het_514_9	peek%1:04:00::	week%1:28:00::
het_516_11	sovereignty%1:26:00::	sovereign%1:18:00::
het_517_3	god%1:18:00::	go%2:38:00::
het_518_8	tempo%1:28:01::	tempt%2:32:01::
het_519_7	guess%2:31:00::	guest%1:18:00::
het_520_20	philately%1:04:00::	privately%4:02:00::
het_522_5	knead%2:35:00::	snead%1:18:00::
het_523_17	grow%2:30:03::	row%1:14:00::
het_524_17	roomer%1:18:00::	roofer%1:18:00::
het_525_27	carat%1:23:00::	cart%1:06:00::
het_527_31	frieze%1:06:01::	freeze%2:30:00::
het_528_11	rectified%5:00:00:corrected:00	rectifier%1:06:00::
het_530_5	toll%1:07:01::	tell%2:32:04::
het_534_11	slide%2:38:01::	side%1:15:02::
het_535_18	louse%1:05:01::	house%1:06:00::
het_537_18	sweet%3:00:02::	sweep%2:38:01::
het_538_7	holler%2:32:06::	holder%1:06:00::
het_539_20	coarse%3:00:00::	course%1:04:01::
het_540_14	ironically%4:02:00::	chronically%4:02:00::
het_542_14	heavily%4:02:00::	heavy%3:00:01::
het_543_15	transparent%5:00:00:clear:02	grandparent%1:18:00::
het_545_15	privately%4:02:00::	private%3:00:00::
het_548_8	womb%1:08:00::	bomb%1:06:00::
het_549_7	consonant%1:10:00::	consonantal%3:00:02::
het_550_7	margarine%1:13:00::	margarin%1:13:00::
het_552_11	screen%1:06:06::	scree%1:17:00::
het_553_10	zinc%1:27:00::	inc%1:14:00::
het_554_10	bamboozle%2:32:00::	bamboo%1:20:00::
het_555_7	derangement%1:04:00::	arrangement%1:09:01::
het_556_18	plane%1:06:01::	place%2:35:00::
het_559_13	consomme%1:13:00::	consume%2:34:00::
het_560_8	cheetah%1:05:00::	chetah%1:05:00::
het_561_7	vault%1:06:01::	fault%1:04:00::
het_564_23	yuan%1:14:00::	guan%1:05:00::
het_566_6	beta%1:10:00::	bet%2:32:00::
het_567_12	psalm%1:10:00::	palm%1:08:00::
het_571_9	slay%2:41:00::	say%2:32:00::
het_573_11	esteem%1:26:00::	seem%2:39:00::
het_574_16	espresso%1:13:00::	express%2:32:01::
het_578_10	wait%2:42:00::	want%2:37:00::
het_579_8	dime%1:21:00::	time%1:11:00::
het_580_25	hare%1:05:00::	have%2:40:00::
het_582_15	briefly%4:02:00::	chiefly%4:02:00::
het_583_2	lead%2:38:01::	head%1:08:00::
het_584_17	negatively%4:02:00::	relatively%4:02:00::
het_585_8	lather%1:17:00::	later%4:02:01::
het_586_12	butter%1:13:00::	better%3:00:00::
het_587_8	slay%2:41:00::	say%2:32:00::
het_589_40	prophet%1:18:00::	prophets%1:10:00::
het_592_13	bough%1:20:00::	rough%3:00:00::
het_593_21	sirius%1:17:00::	siris%1:20:00::
het_595_12	ache%2:37:06::	acre%1:23:00::
het_597_32	feat%1:04:00::	fear%1:12:00::
het_600_4	sea%1:17:00::	see%2:39:00::
het_605_14	tartly%4:02:00::	partly%4:02:00::
het_606_19	tryst%1:04:00::	trust%2:31:00::
het_607_17	coolly%4:02:00::	colly%2:35:00::
het_608_10	clothing%1:06:00::	clotting%1:22:00::
het_609_14	vise%1:06:00::	rise%2:38:00::
het_610_64	phlox%1:20:00::	plot%1:09:00::
het_611_7	sale%1:04:00::	same%3:00:02::
het_612_12	pointlessly%4:02:00::	painlessly%4:02:01::
het_617_7	finnish%1:10:00::	finish%2:30:02::
het_618_11	sunday%1:28:00::	sunray%1:19:00::
het_619_8	sale%1:04:00::	same%3:00:02::
het_621_17	shucks%1:07:00::	shuck%1:27:00::
het_622_8	whiskey%1:13:00::	whisky%1:13:00::
het_624_17	charmingly%4:02:00::	alarmingly%4:02:00::
het_625_2	son%1:18:00::	so%4:02:02::
het_627_18	drought%1:26:00::	draught%1:13:00::
het_628_19	offal%1:13:00::	offer%2:40:02::
het_629_7	alloy%1:26:00::	allow%2:41:00::
het_630_10	liaison%1:10:00::	liaise%2:32:00::
het_631_12	periodically%4:02:00::	periodical%1:10:00::
het_633_9	sagely%4:02:00::	safely%4:02:00::
het_634_4	son%1:18:00::	so%4:02:02::
het_635_12	root%1:20:00::	room%1:06:00::
het_636_8	wave%1:11:01::	have%2:40:00::
het_638_7	condiment%1:13:00::	confident%3:00:00::
het_639_19	author%1:18:00::	actor%1:18:00::
het_640_8	junk%1:27:00::	june%1:28:00::
het_643_21	fortitude%1:07:00::	certitude%1:09:00::
het_644_23	weight%1:07:00::	weigh%2:42:01::
het_645_11	creek%1:17:00::	cheek%1:08:00::
het_646_8	dragon%1:18:02::	aragon%1:15:00::
het_647_12	feudal%3:01:00::	medal%1:10:00::
het_649_8	wanly%4:02:00::	manly%3:00:00::
het_651_19	nicely%4:02:00::	nicety%1:07:00::
het_652_18	succor%1:04:00::	succory%1:20:00::
het_653_17	beau%1:18:00::	bear%2:42:01::
het_654_4	son%1:18:00::	so%4:02:02::
het_655_14	ponder%2:31:00::	wonder%2:31:00::
het_656_14	navel%1:08:00::	novel%1:10:00::
het_657_16	rationally%4:02:00::	nationally%4:02:02::
het_661_10	sole%1:06:00::	some%3:00:00::
het_662_11	descent%1:07:00::	descend%2:38:00::
het_663_10	inn%1:06:00::	in%4:02:01::
het_665_16	scream%2:32:01::	stream%1:17:00::
het_666_11	don%2:29:00::	do%2:41:01::
het_667_14	miner%1:18:00::	mine%1:06:01::
het_669_8	bawl%2:32:00::	ball%1:06:01::
het_670_5	now%4:02:05::	not%4:02:00::
het_672_11	bear%2:42:01::	year%1:28:01::
het_674_15	geek%1:18:00::	week%1:28:00::
het_675_14	samurai%1:14:00::	samara%1:20:00::
het_676_14	stationery%1:10:00::	stationary%5:00:00:fixed:00
het_678_22	crutch%1:06:00::	clutch%2:35:00::
het_681_16	deer%1:05:00::	peer%2:39:00::
het_683_11	wantonly%4:02:00::	antony%1:18:00::
het_684_20	burrow%1:17:00::	borrow%2:40:00::
het_685_16	leek%1:13:00::	week%1:28:00::
het_686_8	grade%1:14:00::	trade%1:04:00::
het_689_11	hi%1:10:00::	hr%1:28:00::
het_691_19	bitingly%4:02:00::	pityingly%4:02:00::
het_692_6	ash%1:27:01::	ask%2:32:01::
het_693_12	raze%2:36:00::	rate%1:28:00::
het_694_4	misconception%1:09:00::	disconcertion%1:12:00::
het_698_8	spade%1:06:01::	space%1:03:00::
het_699_9	flue%1:06:00::	flee%2:38:00::
het_703_15	berth%1:04:00::	birth%1:28:00::
het_704_7	dye%2:30:00::	eye%1:08:00::
het_706_9	soot%1:27:00::	foot%1:08:01::
het_708_15	byte%1:23:00::	bite%2:35:00::
het_709_10	bale%1:06:00::	base%2:31:00::
het_710_20	simile%1:10:00::	smile%2:29:00::
het_711_20	queue%1:08:00::	quite%4:02:02::
het_714_11	trenchantly%4:02:00::	trenchancy%1:07:00::
het_716_11	manor%1:06:00::	major%3:00:06::
het_717_16	pensively%4:02:00::	passively%4:02:00::
het_718_18	irony%1:10:01::	iron%1:27:00::
het_719_8	harangue%2:32:00::	haranguer%1:18:00::
het_721_16	liter%1:23:00::	later%4:02:01::
het_722_2	son%1:18:00::	so%4:02:02::
het_723_10	pane%1:06:00::	page%1:10:00::
het_724_8	lamb%1:05:00::	lamp%1:06:00::
het_725_12	kiln%1:06:00::	kill%2:35:00::
het_730_11	knave%1:06:00::	knawe%1:20:00::
het_731_18	drain%2:38:00::	rain%1:19:00::
het_732_16	heartlessly%4:02:00::	harmlessly%4:02:00::
het_733_7	wait%2:42:00::	want%2:37:00::
het_735_9	heal%2:30:00::	hear%2:39:00::
het_736_11	peace%1:26:00::	place%2:35:00::
het_737_10	raven%1:05:00::	haven%1:06:00::
het_740_10	census%1:04:00::	ensue%2:42:00::
het_742_17	phase%1:28:00::	chase%2:38:00::
het_743_10	pan%1:06:01::	man%1:18:00::
het_746_13	seaman%1:18:00::	saman%1:20:00::
het_749_30	roll%2:38:00::	role%1:04:00::
het_750_7	persistence%1:07:02::	persistency%1:07:00::
het_751_11	c%1:23:02::	cm%1:23:00::
het_752_15	aunt%1:18:00::	ant%1:05:00::
het_753_10	inn%1:06:00::	in%4:02:01::
het_754_8	breed%1:14:00::	bleed%2:29:00::
het_755_21	minstrel%1:18:00::	minster%1:06:00::
het_756_13	corporal%1:18:00::	corporeal%3:00:00::
het_757_16	cuttingly%4:02:00::	cutting%1:04:03::
het_758_15	piece%1:06:00::	apiece%4:02:00::
het_759_12	incremental%5:00:00:additive:00	increment%1:07:00::
het_760_10	see%2:39:00::	seem%2:39:00::
het_761_15	revolution%1:04:00::	resolution%1:10:01::
het_762_2	rite%1:04:00::	write%2:36:00::
het_763_3	wet%3:00:01::	get%2:40:00::
het_764_11	remora%1:05:00::	remove%2:30:00::
het_765_2	cd%1:06:00::	cm%1:23:00::
het_768_17	brail%1:06:00::	brain%1:08:00::
het_769_8	rugged%3:00:00::	bugged%5:00:00:wired:00
het_770_13	break%2:30:03::	creak%2:39:00::
het_771_11	whey%1:13:00::	whet%2:39:00::
het_773_11	quarterly%3:01:00::	quarter%1:23:01::
het_775_8	ceiling%1:06:00::	coiling%5:00:00:coiled:00
het_776_12	suer%1:18:00::	sue%2:41:00::
het_777_23	tolkien%1:18:00::	token%1:10:00::
het_781_13	bawl%2:32:00::	ball%1:06:01::
het_782_18	disjointedly%4:02:00::	disjointed%5:00:00:divided:00
het_783_16	truffle%1:13:00::	ruffle%2:37:00::
het_785_13	steel%1:27:00::	steal%2:40:00::
het_786_7	mutton%1:13:00::	button%1:06:00::
het_791_9	whey%1:13:00::	whet%2:39:00::
het_793_10	intone%2:32:04::	intoned%5:00:00:rhythmical:00
het_794_11	cryptically%4:02:00::	critically%4:02:00::
het_795_21	summarise%2:32:00::	summarize%2:32:00::
het_798_17	oily%5:00:00:coated:00	only%4:02:02::
het_799_15	chablis%1:13:00::	challis%1:06:00::
het_802_12	hosta%1:20:00::	host%1:18:02::
het_803_13	wicket%1:06:00::	ticket%1:10:01::
het_804_11	pail%1:06:00::	fail%2:41:02::
het_805_11	foot%1:08:01::	food%1:03:00::
het_806_15	boringly%4:02:00::	lovingly%4:02:00::
het_807_11	maternity%1:07:00::	paternity%1:04:00::
het_810_11	census%1:04:00::	ensue%2:42:00::
het_813_9	passion%1:12:00::	pass_on%2:40:01::
het_814_19	torte%1:13:00::	forte%1:07:01::
het_815_17	ovum%1:08:00::	over%4:02:01::
het_818_9	leek%1:13:00::	week%1:28:00::
het_821_25	root%1:20:00::	room%1:06:00::
het_822_11	pigment%1:27:00::	figment%1:09:00::
het_824_10	dryly%4:02:00::	wryly%4:02:00::
het_825_12	plaque%1:08:00::	plague%2:43:00::
het_826_10	libel%1:10:00::	label%2:32:00::
het_827_31	meet%2:38:01::	meat%1:13:01::
het_828_7	pint%1:23:01::	point%1:09:00::
het_830_10	stonily%4:02:00::	strongly%4:02:00::
het_832_1	pray%2:32:00::	pay%2:40:00::
het_834_20	whine%2:32:01::	white%3:00:01::
