het_1_14	allege%2:32:00::	distribute%2:40:00::
het_117_31	iris%1:06:00::	trimming%1:06:00::
het_119_7	son%1:18:00::	shot_glass%1:06:00::
het_121_15	discriminative_stimulus%1:09:00::	due%1:21:00::
het_122_7	mane%1:08:01::	mane%1:08:01::
het_123_15	boulder%1:15:00::	boulder%1:17:00::
het_124_12	pigeon%1:05:00::	pinion%1:06:00::
het_125_7	plague%1:26:01::	positron_emission_tomography%1:04:00::
het_126_40	lodger%1:18:00::	roller%1:06:00::
het_129_12	doggedly%4:02:00::	dogged%5:00:00:stubborn:00
het_131_17	philately%1:04:00::	phylactery%1:10:00::
het_133_9	taut%5:00:00:tense:03	tact%1:07:00::
het_134_16	feat%1:04:00::	neat%5:00:00:undiluted:00
het_137_24	concentrate%2:31:00::	knit%1:06:01::
het_138_18	leaf%1:20:00::	bouquet%1:06:00::
het_140_14	synergy%1:22:00::	energy%1:26:00::
het_141_6	cosine%1:24:00::	suffer%2:30:02::
het_145_14	bellow%2:32:01::	mate%1:23:00::
het_148_5	flippantly%4:02:00::	flippant%5:00:00:frivolous:00
het_149_7	reflectively%4:02:00::	reflective%5:00:00:intellectual:00
het_150_9	pier%1:06:01::	bier%1:06:00::
het_153_13	steak%1:13:00::	steamer%2:38:00::
het_154_15	presciently%4:02:00::	can%2:30:00::
het_156_2	pistol%1:06:00::	prison%1:26:00::
het_157_4	freud%1:18:00::	breed%2:35:00::
het_158_7	whine%2:32:00::	mallet%1:06:01::
het_159_13	hostel%1:06:01::	server%1:06:01::
het_162_5	suite%1:14:01::	smite%2:35:00::
het_165_18	sporadically%4:02:00::	periodical%1:10:00::
het_166_26	capitol%1:06:01::	das_kapital%1:10:00::
het_168_10	monet%1:18:00::	genet%1:05:00::
het_172_20	grate%2:35:00::	seemliness%1:07:00::
het_174_7	weak%5:00:00:stupid:00	peck%2:35:01::
het_177_7	granite%1:07:00::	grandee%1:18:00::
het_179_17	uphold%2:32:02::	unfold%2:35:00::
het_181_23	graciously%4:02:00::	graceful%3:00:00::
het_183_14	tee%2:35:01::	tea%1:14:00::
het_184_9	mourn%2:37:01::	tan%1:26:00::
het_185_13	kitten%2:29:00::	sting%2:35:01::
het_186_20	dandy%1:18:00::	shank%2:35:00::
het_187_18	painfully%4:02:01::	manfully%4:02:00::
het_188_17	pullet%1:05:00::	shot%1:06:00::
het_189_10	reflux%1:26:00::	reflex%1:04:00::
het_193_15	boo%2:32:00::	bog%1:17:00::
het_195_11	mourn%2:37:01::	moonlight%1:19:00::
het_196_13	comet%1:17:00::	colt%1:06:00::
het_197_6	peace%1:10:00::	phase%2:30:00::
het_200_17	wisely%4:02:00::	sanely%4:02:01::
het_201_7	descent%1:17:00::	derive%2:42:00::
het_202_7	unsheathed%3:00:00::	brae%1:17:00::
het_203_9	drip%1:06:00::	tripper%1:06:00::
het_204_12	gnu%1:05:00::	gunman%1:18:01::
het_206_12	atmosphere%1:26:01::	ambulance%1:06:00::
het_208_9	chant%2:32:00::	kin%1:14:00::
het_209_17	sea_bass%1:13:00::	spend%2:42:00::
het_213_9	wok%1:06:00::	son%1:18:00::
het_216_10	coup_d'etat%1:04:00::	bull%1:18:00::
het_217_10	porpoise%1:05:00::	tortoise%1:05:00::
het_218_9	phase%2:30:00::	furrow%2:35:02::
het_219_11	fare%1:18:00::	open_fire%2:33:00::
het_221_14	role%1:04:01::	reeve%2:35:00::
het_222_22	grater%1:06:00::	volcanic_crater%1:17:00::
het_223_7	foul%2:33:00::	soul%1:10:00::
het_224_9	dye%1:27:00::	die%2:33:00::
het_227_11	geek%1:18:01::	greek%1:18:00::
het_228_11	gaily%4:02:00::	daily%4:02:00::
het_229_8	sail%1:06:01::	trouble%2:29:00::
het_231_11	cereal%1:13:00::	unwrap%2:32:00::
het_234_9	solitaire%1:04:00::	wisdom%1:09:01::
het_235_11	lute%1:06:00::	let%2:41:00::
het_239_7	private_detective%1:18:00::	pivot%1:06:00::
het_240_5	ruck%1:14:00::	steer%2:38:00::
het_244_12	engorgement%1:04:00::	enforcement%1:04:00::
het_246_11	write%2:36:10::	writhe%2:38:00::
het_247_20	department_of_energy%1:14:00::	due%1:21:00::
het_248_11	devoutly%4:02:00::	pious%3:00:00::
het_249_13	apatite%1:27:00::	appetite%1:12:00::
het_250_9	spade%2:35:00::	tad%1:23:00::
het_251_20	wilde%1:18:00::	tilde%1:10:00::
het_252_13	officiously%4:02:00::	interfering%5:00:00:intrusive:01
het_253_22	weight_unit%1:23:00::	eight-spot%1:06:00::
het_257_12	bark%2:35:00::	dark%5:00:00:ill-natured:00
het_258_9	confidant%1:18:00::	convinced%5:00:00:certain:02
het_259_15	census%2:32:00::	consul%1:18:00::
het_261_26	fissure%1:08:00::	offspring%1:18:00::
het_263_10	grizzly%1:05:00::	grizzle%2:37:00::
het_264_9	lapp%1:18:00::	lap%2:39:00::
het_265_10	loess%1:27:00::	loss%1:21:00::
het_267_12	negatively%4:02:00::	negative%5:00:00:charged:00
het_268_15	broth%1:13:00::	foam%1:17:00::
het_276_6	graze%2:35:02::	seemliness%1:07:00::
het_277_22	bluff%5:00:00:steep:00	boulder%1:15:00::
het_278_12	diplomatically%4:02:00::	diplomatic%3:00:00::
het_282_6	marx%1:18:00::	ear%1:20:00::
het_283_19	squash_racket%1:06:00::	astatine%1:27:00::
het_284_14	stun%2:39:00::	snooze%2:29:00::
het_285_11	farce%2:30:00::	side%1:15:00::
het_287_4	garden%1:06:01::	garden%1:06:01::
het_288_8	gorge%2:34:00::	rout%2:35:00::
het_289_12	hymn%2:32:00::	hymen%1:08:00::
het_292_7	solar_flare%1:19:00::	care%1:12:00::
het_293_1	abstinence%1:04:00::	settling%1:11:00::
het_294_22	affray%1:04:01::	fad%1:09:00::
het_296_8	steal%2:33:00::	stead%1:04:00::
het_298_17	star%2:36:00::	spare%2:34:00::
het_300_8	symphony_orchestra%1:14:00::	symptom%1:26:00::
het_302_20	dirk%1:06:00::	dark%5:00:00:ill-natured:00
het_303_8	stink%2:42:00::	shank%2:35:00::
het_305_8	bravely%4:02:00::	courage%1:07:00::
het_306_16	lamely%4:02:00::	recently%4:02:00::
het_308_31	sailplane%2:38:00::	soap%1:21:00::
het_311_14	yeast%1:27:00::	beast%1:18:00::
het_312_8	granulate%2:29:00::	tarnish%2:35:00::
het_313_17	haik%1:06:00::	mortarboard%1:06:01::
het_314_3	soul%1:10:00::	soup%2:29:00::
het_315_9	barbarous%5:00:00:noncivilized:00	savage%1:18:00::
het_316_11	pail%1:23:00::	fail%2:41:01::
het_318_12	tease%2:32:00::	tease%2:32:00::
het_320_6	turf%1:17:00::	sow%2:32:00::
het_322_12	tone%2:29:00::	stone%1:07:00::
het_323_12	promise%2:32:00::	profile%1:15:00::
het_324_6	rioting%1:26:00::	solution%1:14:00::
het_325_7	vitamin_c%1:27:00::	compact_disk%1:06:00::
het_326_11	promenade%1:06:00::	maul%2:35:01::
het_328_3	praise%2:32:00::	upgrade%1:07:00::
het_329_8	weaken%2:30:00::	deafen%2:30:01::
het_331_10	poodle%1:05:00::	urine%1:27:00::
het_332_18	pout%2:29:00::	meow%2:32:00::
het_333_11	parish%1:15:00::	brassy%5:00:00:tasteless:02
het_334_11	taxis%1:04:01::	bloc%1:14:00::
het_335_25	breath%1:19:00::	wreath%1:06:00::
het_336_14	subside%2:30:00::	subside%2:30:00::
het_337_12	peddle%2:40:00::	spank%2:35:00::
het_338_9	why%1:16:00::	wit%1:10:00::
het_341_13	lumbar%3:01:00::	lumber%2:38:00::
het_342_10	varnish%1:06:00::	tarnish%2:35:00::
het_345_17	grimly%4:02:00::	begrimed%5:00:00:dirty:01
het_350_11	white%1:17:00::	shred%1:23:00::
het_351_38	domestic_fowl%1:05:00::	jester%1:18:00::
het_353_14	meteor%1:19:00::	miter_joint%1:06:00::
het_354_7	maine%1:15:00::	marine%1:18:01::
het_356_14	handy%5:00:00:adroit:00	hired_hand%1:18:00::
het_357_18	fare%1:18:00::	open_fire%2:33:00::
het_358_10	platter%1:06:00::	poultice%2:29:00::
het_360_10	sheepishly%4:02:00::	sheeplike%5:00:00:docile:00
het_362_13	pair%2:41:00::	fairly%4:02:00::
het_363_8	bidder%1:18:01::	bide%2:42:00::
het_364_11	census%2:32:00::	result%2:42:00::
het_365_16	jung%1:18:00::	dung%2:29:00::
het_366_25	feint%2:36:00::	faint%2:29:00::
het_369_8	flatly%4:02:00::	thrash%2:35:00::
het_370_33	belle%1:18:00::	belay%2:35:00::
het_374_9	abhor%2:37:00::	lathe%1:06:00::
het_375_20	humerus%1:08:00::	humorous%3:00:00::
het_377_19	wanton%2:42:01::	canyon%1:17:00::
het_380_16	sheepskin%1:27:00::	overcharge%2:40:00::
het_381_12	loftily%4:02:00::	lustily%4:02:00::
het_382_21	level%2:36:00::	rave%1:11:00::
het_384_10	bridle%2:35:00::	rebel%2:41:00::
het_386_8	baroque%5:00:00:fancy:00	bark%1:06:00::
het_387_16	kiln%1:06:00::	skin%1:06:02::
het_388_14	battleful%5:00:00:aggressive:00	finespun%5:00:00:refined:01
het_389_18	sirius%1:17:00::	virus%1:10:00::
het_391_17	grossly%4:02:00::	grassy%3:00:00::
het_393_8	mouton%1:13:00::	release%1:06:01::
het_394_15	contentedly%4:02:00::	content%2:34:00::
het_396_12	urn%1:06:01::	tan%1:26:00::
het_398_8	cornea%1:08:00::	effect%1:10:00::
het_399_4	peddle%2:40:00::	spank%2:35:00::
het_400_17	gecko%1:05:00::	echo%1:07:02::
het_405_8	wade%2:38:00::	ebb%1:22:01::
het_406_19	wistfully%4:02:00::	pensive%5:00:00:sad:00
het_408_10	basel%1:15:00::	gale%1:19:00::
het_409_11	stalin%1:18:00::	stain%2:30:01::
het_410_16	slowly%4:02:02::	white%5:00:00:covered:00
het_411_15	stationery%1:10:00::	stationary%5:00:00:fixed:00
het_415_13	impertinently%4:02:00::	dearth%1:07:00::
het_416_4	seemliness%1:07:00::	seemliness%1:07:00::
het_417_18	sail%1:06:00::	toilet%1:06:01::
het_418_19	oar%1:06:00::	sailplane%2:38:00::
het_419_14	son%1:18:00::	sow%2:32:00::
het_420_15	ante%2:33:00::	touch%1:23:00::
het_421_15	gravy%1:13:00::	scratch%2:35:04::
het_424_12	twirl%2:38:00::	whisk%2:35:00::
het_426_15	callus%2:30:00::	calloused%5:00:00:tough:02
het_427_29	footage%1:21:00::	scrounge%2:40:00::
het_428_8	target%1:06:00::	butte%1:15:00::
het_429_12	bough%1:20:00::	cough%2:29:00::
het_430_5	alarmingly%4:02:00::	glaringly%4:02:00::
het_431_11	meagerly%4:02:00::	spare%2:34:00::
het_434_3	fourth%5:00:00:ordinal:00	loath%5:00:00:unwilling:00
het_435_32	tail%1:06:02::	trail%2:35:03::
het_440_13	vainly%4:02:00::	chiefly%4:02:00::
het_442_12	star%1:18:00::	principle%1:09:04::
het_444_6	disney%1:18:00::	kidney%1:08:00::
het_445_11	unsheathed%3:00:00::	root%1:10:00::
het_446_28	bullion%1:21:00::	release%1:06:01::
het_450_11	monotonously%4:02:00::	flat%5:00:00:unmodulated:00
het_451_15	gait%1:04:01::	tease%2:32:00::
het_453_10	rune%1:10:00::	ruse%1:04:00::
het_454_16	dumbly%4:02:01::	obtuse%5:00:00:simple:01
het_457_9	swarm%1:14:00::	warmly%4:02:01::
het_458_12	omen%1:11:00::	oven%1:06:00::
het_459_16	patiently%4:02:00::	patient%1:18:00::
het_460_1	guerrilla%1:18:00::	puerile%3:01:00::
het_461_10	greece%1:15:01::	breech%1:06:00::
het_464_10	fang%1:05:00::	fan%2:35:01::
het_467_5	influential%3:00:00::	uninfluential%3:00:00::
het_468_19	tack%1:04:00::	sack%2:35:00::
het_469_13	innocuous%5:00:00:inoffensive:01	innoxious%5:00:00:innocuous:00
het_471_16	phase%2:30:00::	furrow%2:35:02::
het_473_9	gladly%4:02:00::	deadly%5:00:00:virulent:00
het_477_3	seize%2:35:09::	visit%2:41:02::
het_478_14	guiltily%4:02:00::	guilty%5:00:00:ashamed:00
het_479_15	russian%1:18:00::	fustian%1:06:00::
het_480_17	caw%2:32:00::	cam%1:06:00::
het_481_32	prince%1:18:00::	price%1:10:00::
het_483_2	waist%1:08:00::	whist%1:04:00::
het_485_11	naval%3:01:00::	rival%2:33:00::
het_486_15	mussel%1:05:00::	vessel%1:06:01::
het_488_15	torsion%1:19:00::	clique%1:14:00::
het_489_21	corporation%1:14:00::	corn_whiskey%1:13:00::
het_491_5	cantankerous%5:00:00:ill-natured:00	ratchet%1:06:00::
het_492_8	grossly%4:02:00::	megascopic%5:00:00:visible:00
het_493_13	decameter%1:23:00::	dame%1:18:01::
het_494_7	clause%1:10:00::	pause%1:28:00::
het_496_5	magic_trick%1:04:00::	allusion%1:10:00::
het_497_5	humerus%1:08:00::	humorous%3:00:00::
het_498_17	aisle%1:06:02::	isle%1:17:00::
het_499_9	stirrup%1:06:00::	stir%1:26:01::
het_501_16	hilariously%4:02:00::	hilarious%5:00:00:humorous:00
het_502_9	weight_unit%1:23:00::	eight-spot%1:06:00::
het_503_14	ireland%1:15:01::	open_fire%2:33:00::
het_504_10	wickedly%4:02:00::	malefic%5:00:00:maleficent:00
het_505_7	raisin%1:13:00::	raising%1:07:00::
het_506_19	secretively%4:02:00::	close%5:00:00:uncommunicative:00
het_508_11	wastefully%4:02:00::	wasteful%5:00:00:destructive:00
het_509_9	lament%1:10:02::	hail%2:42:00::
het_510_8	successor%1:18:00::	pier%1:06:01::
het_513_28	edam%1:13:00::	decameter%1:23:00::
het_514_9	peek%1:04:00::	point%1:25:00::
het_516_11	sovereignty%1:07:00::	eternity%1:28:01::
het_517_3	idol%1:06:00::	soundbox%1:06:01::
het_518_8	tempo%1:28:01::	tempt%2:37:00::
het_519_7	guess%2:32:00::	node%1:06:00::
het_520_20	philately%1:04:00::	privately%4:02:01::
het_522_5	massage%2:35:00::	plead%2:32:01::
het_523_17	turn%2:30:03::	radiance%1:19:00::
het_524_17	lodger%1:18:00::	cooler%1:06:01::
het_525_27	carat%1:23:00::	handcart%1:06:00::
het_527_31	frieze%1:06:00::	freak%1:18:00::
het_528_11	reform%2:30:04::	certify%2:41:00::
het_530_5	toll%2:40:00::	doll%1:06:00::
het_534_11	slide%2:38:02::	slide%1:04:00::
het_535_18	worm%1:18:00::	theater%1:06:00::
het_537_18	sweetly%4:02:00::	sweet%1:13:00::
het_538_7	shout%2:32:01::	roller%1:05:02::
het_539_20	coarse%5:00:00:inferior:02	craze%2:30:00::
het_540_14	ironically%4:02:00::	ironic%5:00:00:incongruous:00
het_542_14	heavily%4:02:06::	celestial%3:01:00::
het_543_15	transparent%5:00:00:obvious:00	transpire%2:29:00::
het_545_15	privately%4:02:01::	secret%5:00:00:inward:00
het_548_8	uterus%1:08:00::	word%1:23:00::
het_549_7	consonant%1:10:01::	constant%1:23:00::
het_550_7	margarine%1:13:00::	magazine%1:06:01::
het_552_11	sieve%1:06:00::	religious_doctrine%1:10:00::
het_553_10	zinc%1:27:00::	wing%1:13:00::
het_554_10	bamboozle%2:32:00::	galley%1:06:00::
het_555_7	derangement%1:26:00::	disability%1:26:00::
het_556_18	plane%2:35:03::	plan%2:36:00::
het_559_13	consomme%1:13:00::	devour%2:34:01::
het_560_8	cheetah%1:05:00::	impudence%1:10:00::
het_561_7	vault%1:06:02::	haul%2:35:00::
het_564_23	yuan%1:14:00::	swan%2:38:01::
het_566_6	beta%5:00:00:exploratory:00	tick%2:39:01::
het_567_12	psalm%2:36:00::	palm%1:23:00::
het_571_9	murder%2:41:00::	stay%2:41:00::
het_573_11	admiration%1:12:01::	teem%2:42:00::
het_574_16	espresso%1:13:00::	natural_depression%1:17:00::
het_578_10	wait%2:41:00::	big_dipper%1:17:00::
het_579_8	dime_bag%1:06:00::	die%2:33:00::
het_580_25	hare%2:38:00::	harem%1:06:00::
het_582_15	concisely%4:02:00::	brief%1:10:00::
het_583_2	star%1:18:00::	read/write_head%1:06:00::
het_584_17	negatively%4:02:00::	negative%5:00:00:charged:00
het_585_8	lather%2:30:00::	nothing%1:23:00::
het_586_12	butter%1:18:00::	pantry%1:06:00::
het_587_8	murder%2:41:00::	stay%2:41:00::
het_589_40	prophet%1:18:01::	propel%2:35:00::
het_592_13	bough%1:20:00::	roughly%4:02:02::
het_593_21	sirius%1:17:00::	sirius%1:17:00::
het_595_12	ache%2:37:06::	one%1:23:00::
het_597_32	feat%1:04:00::	flat%5:00:00:unmodulated:00
het_600_4	sea%1:17:00::	pasture%1:15:00::
het_605_14	tartly%4:02:00::	partially%4:02:00::
het_606_19	tryst%1:14:00::	trust%2:40:01::
het_607_17	coolly%4:02:00::	flocculent%5:00:00:soft:01
het_608_10	clothing%1:06:00::	nothing%1:23:00::
het_609_14	vise%1:06:00::	compete%2:33:00::
het_610_64	phlox%1:20:00::	plot%2:36:03::
het_611_7	sale%1:10:00::	ease%1:26:01::
het_612_12	pointlessly%4:02:00::	pointless%3:00:00::
het_617_7	finnish%1:10:00::	stopping_point%1:28:00::
het_619_8	sale%1:10:00::	stale%2:29:00::
het_621_17	shuck%2:30:00::	traumatize%2:29:00::
het_622_8	whiskey%1:13:00::	whisker%1:05:00::
het_624_17	charmingly%4:02:00::	charming%5:00:00:supernatural:00
het_625_2	son%1:18:01::	sow%2:32:00::
het_627_18	drought%1:28:00::	gulp%1:04:00::
het_628_19	offal%1:13:00::	fad%1:09:00::
het_629_7	alloy%1:27:00::	bowling_alley%1:06:00::
het_630_10	liaison%1:10:00::	pinion%1:06:00::
het_631_12	sporadically%4:02:00::	prodigal%1:18:00::
het_633_9	wisely%4:02:00::	sanely%4:02:01::
het_634_4	son%1:18:01::	short_ton%1:23:00::
het_635_12	solution%1:14:00::	putrefaction%1:26:00::
het_636_8	wave%1:18:00::	wavy%5:00:00:curly:00
het_638_7	condiment%1:13:00::	message%1:10:00::
het_639_19	writer%1:18:00::	actor%1:18:01::
het_640_8	junk%1:06:01::	hunk%1:17:00::
het_643_21	fortitude%1:07:00::	multitude%1:14:00::
het_644_23	weight_unit%1:23:00::	eight-spot%1:06:00::
het_645_11	brook%1:17:00::	malodor%1:09:00::
het_646_8	dragon%1:18:01::	dragoon%1:18:00::
het_647_12	feudal%3:01:00::	feud%2:33:00::
het_649_8	wanly%4:02:00::	manly%3:00:00::
het_651_19	nicely%4:02:00::	nuance%1:10:00::
het_652_18	succor%2:41:00::	succor%2:41:00::
het_653_17	dandy%1:18:00::	tick%2:39:01::
het_654_4	son%1:18:00::	short_ton%1:23:00::
het_655_14	chew_over%2:31:00::	gender%1:10:00::
het_656_14	navel%1:08:00::	seaport%1:15:00::
het_657_16	rationally%4:02:00::	rationality%1:07:00::
het_661_10	sole%2:30:00::	soon%4:02:00::
het_662_11	descent%1:17:00::	descant%1:10:00::
het_663_10	hostel%1:06:01::	nothing%1:23:00::
het_665_16	yell%2:32:00::	streaming%5:00:00:unprocessed:00
het_666_11	preceptor%1:18:00::	short_ton%1:23:00::
het_667_14	miner%1:18:00::	mime%1:18:00::
het_669_8	yawp%2:32:01::	stadium%1:06:00::
het_670_5	now%4:02:07::	overawe%2:37:00::
het_672_11	tidal_bore%1:11:00::	bore_bit%1:06:00::
het_674_15	geek%1:18:01::	malodor%1:09:00::
het_675_14	samurai%1:18:00::	natural%5:00:00:normal:01
het_676_14	stationery%1:10:00::	stationary%5:00:00:fixed:00
het_678_22	crutch%1:06:00::	frame%2:32:00::
het_681_16	deer%1:05:00::	sneer%1:10:00::
het_683_11	wantonly%4:02:01::	wanton%2:42:01::
het_684_20	burrow%1:17:00::	burial_mound%1:06:00::
het_685_16	leek%1:20:00::	meet%2:42:00::
het_686_8	rate%2:31:00::	seemliness%1:07:00::
het_689_11	hawaii%1:15:00::	helium%1:27:00::
het_691_19	piercingly%4:02:00::	wittingly%4:02:00::
het_692_6	ash%2:30:00::	asp%1:05:02::
het_693_12	level%2:36:00::	subspecies%1:14:00::
het_694_4	misconception%1:09:00::	bisection%1:04:00::
het_698_8	spade%2:35:00::	tad%1:23:00::
het_699_9	flue_pipe%1:06:00::	flute%1:06:02::
het_703_15	position%1:04:01::	depth%1:26:00::
het_704_7	dye%1:27:00::	die%2:33:00::
het_706_9	carbon_black%1:27:00::	touch%1:26:00::
het_708_15	byte%1:23:00::	bye%1:10:01::
het_709_10	basel%1:15:00::	bane%1:26:00::
het_710_20	simile%1:10:00::	smile%2:32:00::
het_711_20	queue%1:08:00::	fugue%1:10:00::
het_714_11	trenchantly%4:02:00::	searching%5:00:00:intelligent:00
het_716_11	manor%1:21:00::	minor%3:00:04::
het_717_16	pensively%4:02:00::	pensive%5:00:00:sad:00
het_718_18	irony%1:10:00::	iron%2:35:00::
het_719_8	harangue%2:32:00::	promote%2:41:00::
het_721_16	liter%1:23:00::	litter%2:29:00::
het_722_2	son%1:18:00::	sow%2:32:00::
het_723_10	paneling%1:06:00::	page%2:41:00::
het_724_8	lamb%2:29:00::	lab%1:06:00::
het_725_12	kiln%1:06:00::	skin%1:06:02::
het_730_11	rogue%1:18:00::	nave%1:06:00::
het_731_18	drain%1:04:01::	trace%2:35:00::
het_732_16	heartlessly%4:02:00::	heartless%5:00:00:spiritless:00
het_733_7	wait%2:41:00::	expect%2:31:01::
het_735_9	bring_around%2:29:01::	read/write_head%1:06:00::
het_736_11	peace%1:10:00::	yellowish_pink%1:07:00::
het_737_10	raven%1:05:00::	rave%1:11:00::
het_740_10	census%2:32:00::	consul%1:18:00::
het_742_17	phase%2:30:00::	furrow%2:35:02::
het_743_10	paneling%1:06:00::	pine%1:20:00::
het_746_13	mariner%1:18:00::	shaman%1:18:00::
het_749_30	wheel%2:38:02::	doll%1:06:00::
het_750_7	continuity%1:07:00::	persistent%5:00:00:continual:00
het_751_11	vitamin_c%1:27:00::	yttrium%1:27:00::
het_752_15	aunt%1:18:00::	vaunt%1:10:00::
het_753_10	hostel%1:06:01::	indium%1:27:00::
het_754_8	breed%2:35:00::	shed_blood%2:29:00::
het_755_21	minstrel%1:18:01::	tinsel%2:40:00::
het_756_13	corporal%1:18:00::	corporeal%3:00:00::
het_757_16	cuttingly%4:02:00::	wittingly%4:02:00::
het_758_15	while%1:28:00::	each%4:02:00::
het_759_12	incremental%5:00:00:additive:00	increase%1:22:00::
het_760_10	seeded_player%1:18:00::	weed%1:06:01::
het_761_15	rotation%1:11:00::	solution%1:10:00::
het_762_2	rite%1:04:01::	sting%2:35:01::
het_763_3	wet%3:00:01::	out%5:00:00:impossible:00
het_764_11	remora%1:05:00::	reform%2:30:08::
het_765_2	compact_disk%1:06:00::	doctor_of_optometry%1:10:00::
het_768_17	brail%2:35:00::	bail%2:30:01::
het_769_8	rugged%5:00:00:difficult:00	torment%2:37:01::
het_770_13	unwrap%2:32:00::	bread%2:35:00::
het_771_11	whey%1:13:00::	why%1:16:00::
het_773_11	quarterly%1:10:00::	charlatanism%1:04:00::
het_775_8	ceiling%1:07:01::	spirit%1:26:00::
het_776_12	suitor%1:18:00::	surely%4:02:00::
het_777_23	tolkien%1:18:00::	token%1:06:00::
het_781_13	yawp%2:32:01::	brawl%1:04:00::
het_782_18	disjointedly%4:02:00::	disjointed%5:00:00:injured:00
het_783_16	truffle%1:13:02::	tittup%2:38:00::
het_785_13	sword%1:06:00::	steal%2:33:00::
het_786_7	mouton%1:13:00::	release%1:06:01::
het_791_9	whey%1:13:00::	why%1:16:00::
het_793_10	intonate%2:32:01::	tone%2:29:00::
het_794_11	cryptically%4:02:00::	cabalistic%5:00:00:esoteric:00
het_795_21	summarize%2:42:00::	submarine%2:35:02::
het_798_17	oily%5:00:00:coated:00	thwart%2:41:00::
het_799_15	chablis%1:13:00::	thai%1:10:00::
het_802_12	hosta%1:20:00::	server%1:06:01::
het_803_13	wicket%1:06:00::	rickety%5:00:00:ill:01
